Date,EUROPE MID CAP Mid Cap
2001-01-01,402.146
2001-01-02,401.392
2001-01-03,393.811
2001-01-04,398.359
2001-01-05,398.866
2001-01-08,396.257
2001-01-09,392.766
2001-01-10,393.04
2001-01-11,398.996
2001-01-12,401.52
2001-01-15,399.159
2001-01-16,395.504
2001-01-17,399.845
2001-01-18,405.055
2001-01-19,403.476
2001-01-22,401.053
2001-01-23,402.143
2001-01-24,398.364
2001-01-25,399.455
2001-01-26,399.134
2001-01-29,398.594
2001-01-30,402.74
2001-01-31,407.185
2001-02-01,410.759
2001-02-02,405.48
2001-02-05,405.886
2001-02-06,405.68
2001-02-07,403.763
2001-02-08,399.425
2001-02-09,398.67
2001-02-12,401.721
2001-02-13,398.975
2001-02-14,395.481
2001-02-15,393.468
2001-02-16,394.238
2001-02-19,394.707
2001-02-20,390.368
2001-02-21,389.452
2001-02-22,386.348
2001-02-23,383.945
2001-02-26,385.907
2001-02-27,390.174
2001-02-28,388.204
2001-03-01,386.816
2001-03-02,389.367
2001-03-05,387.974
2001-03-06,393.062
2001-03-07,392.887
2001-03-08,393.871
2001-03-09,390.749
2001-03-12,383.421
2001-03-13,373.085
2001-03-14,364.316
2001-03-15,365.535
2001-03-16,356.473
2001-03-19,355.012
2001-03-20,358.645
2001-03-21,350.105
2001-03-22,333.648
2001-03-23,342.529
2001-03-26,350.47
2001-03-27,355.325
2001-03-28,351.502
2001-03-29,349.3
2001-03-30,351.158
2001-04-02,348.401
2001-04-03,342.828
2001-04-04,346.974
2001-04-05,350.618
2001-04-06,351.494
2001-04-09,353.766
2001-04-10,354.658
2001-04-11,354.867
2001-04-12,358.493
2001-04-13,358.493
2001-04-16,355.447
2001-04-17,353.795
2001-04-18,357.508
2001-04-19,364.247
2001-04-20,367.863
2001-04-23,363.678
2001-04-24,362.616
2001-04-25,363.433
2001-04-26,367.264
2001-04-27,367.163
2001-04-30,369.438
2001-05-01,370.356
2001-05-02,371.286
2001-05-03,367.95
2001-05-04,368.69
2001-05-07,369.011
2001-05-08,368.204
2001-05-09,365.399
2001-05-10,367.347
2001-05-11,365.529
2001-05-14,362.553
2001-05-15,364.972
2001-05-16,366.731
2001-05-17,369.276
2001-05-18,370.399
2001-05-21,371.737
2001-05-22,371.802
2001-05-23,368.364
2001-05-24,366.309
2001-05-25,366.126
2001-05-28,367.343
2001-05-29,364.084
2001-05-30,362.585
2001-05-31,360.608
2001-06-01,359.701
2001-06-04,360.894
2001-06-05,362.41
2001-06-06,360.512
2001-06-07,362.052
2001-06-08,361.002
2001-06-11,355.782
2001-06-12,353.908
2001-06-13,355.631
2001-06-14,354.301
2001-06-15,352.14
2001-06-18,351.081
2001-06-19,349.986
2001-06-20,344.716
2001-06-21,346.15
2001-06-22,346.836
2001-06-25,348.571
2001-06-26,345.345
2001-06-27,345.372
2001-06-28,344.019
2001-06-29,345.697
2001-07-02,346.987
2001-07-03,345.429
2001-07-04,343.474
2001-07-05,337.625
2001-07-06,335.868
2001-07-09,336.533
2001-07-10,339.039
2001-07-11,337.437
2001-07-12,336.913
2001-07-13,336.761
2001-07-16,336.253
2001-07-17,333.478
2001-07-18,338.511
2001-07-19,340.627
2001-07-20,340.753
2001-07-23,339.148
2001-07-24,338.669
2001-07-25,337.733
2001-07-26,337.983
2001-07-27,340.298
2001-07-30,343.132
2001-07-31,345.023
2001-08-01,349.081
2001-08-02,352.539
2001-08-03,352.28
2001-08-06,349.54
2001-08-07,347.192
2001-08-08,345.197
2001-08-09,345.405
2001-08-10,347.108
2001-08-13,348.905
2001-08-14,350.19
2001-08-15,353.688
2001-08-16,351.501
2001-08-17,350.446
2001-08-20,347.778
2001-08-21,349.103
2001-08-22,351.233
2001-08-23,349.086
2001-08-24,351.726
2001-08-27,350.59
2001-08-28,349.095
2001-08-29,348.235
2001-08-30,343.204
2001-08-31,342.422
2001-09-03,338.922
2001-09-04,335.942
2001-09-05,332.432
2001-09-06,328.303
2001-09-07,327.886
2001-09-10,321.42
2001-09-11,308.961
2001-09-12,306.638
2001-09-13,308.415
2001-09-14,301.788
2001-09-17,298.579
2001-09-18,294.165
2001-09-19,293.412
2001-09-20,281.26
2001-09-21,269.456
2001-09-24,278.412
2001-09-25,285.794
2001-09-26,288.684
2001-09-27,289.267
2001-09-28,293.216
2001-10-01,291.837
2001-10-02,291.122
2001-10-03,293.626
2001-10-04,299.815
2001-10-05,301.286
2001-10-08,300.349
2001-10-09,301.605
2001-10-10,302.662
2001-10-11,306.122
2001-10-12,307.959
2001-10-15,306.132
2001-10-16,308.784
2001-10-17,312.886
2001-10-18,307.901
2001-10-19,303.747
2001-10-22,302.559
2001-10-23,306.036
2001-10-24,307.887
2001-10-25,306.89
2001-10-26,310.292
2001-10-29,311.54
2001-10-30,307.428
2001-10-31,308.557
2001-11-01,311.099
2001-11-02,311.503
2001-11-05,313.538
2001-11-06,314.688
2001-11-07,317.155
2001-11-08,319.361
2001-11-09,319.4
2001-11-12,315.528
2001-11-13,317.714
2001-11-14,321.496
2001-11-15,322.943
2001-11-16,325.659
2001-11-19,327.164
2001-11-20,324.829
2001-11-21,321.463
2001-11-22,323.737
2001-11-23,322.297
2001-11-26,324.321
2001-11-27,323.622
2001-11-28,322.021
2001-11-29,321.318
2001-11-30,324.714
2001-12-03,321.662
2001-12-04,324.826
2001-12-05,330.771
2001-12-06,333.555
2001-12-07,332.467
2001-12-10,328.508
2001-12-11,327.514
2001-12-12,326.926
2001-12-13,323.096
2001-12-14,322.759
2001-12-17,327.296
2001-12-18,327.441
2001-12-19,324.474
2001-12-20,322.351
2001-12-21,321.012
2001-12-24,319.199
2001-12-25,319.196
2001-12-26,319.889
2001-12-27,325.526
2001-12-28,326.648
2001-12-31,329.413
