Date,EUROPE MID CAP Mid Cap
2001-01-01,411.788
2001-01-02,411.011
2001-01-03,403.249
2001-01-04,407.905
2001-01-05,408.423
2001-01-08,405.75
2001-01-09,402.175
2001-01-10,402.455
2001-01-11,408.544
2001-01-12,411.128
2001-01-15,408.707
2001-01-16,404.964
2001-01-17,409.41
2001-01-18,414.744
2001-01-19,413.127
2001-01-22,410.644
2001-01-23,411.759
2001-01-24,407.89
2001-01-25,409.003
2001-01-26,408.673
2001-01-29,408.12
2001-01-30,412.366
2001-01-31,416.917
2001-02-01,420.572
2001-02-02,415.167
2001-02-05,415.583
2001-02-06,415.372
2001-02-07,413.409
2001-02-08,408.967
2001-02-09,408.193
2001-02-12,411.317
2001-02-13,408.506
2001-02-14,404.927
2001-02-15,402.867
2001-02-16,403.655
2001-02-19,404.135
2001-02-20,399.693
2001-02-21,398.755
2001-02-22,395.576
2001-02-23,393.116
2001-02-26,395.123
2001-02-27,399.491
2001-02-28,397.472
2001-03-01,396.051
2001-03-02,398.662
2001-03-05,397.237
2001-03-06,402.44
2001-03-07,402.255
2001-03-08,403.263
2001-03-09,400.06
2001-03-12,392.555
2001-03-13,381.973
2001-03-14,372.996
2001-03-15,374.241
2001-03-16,364.963
2001-03-19,363.467
2001-03-20,367.186
2001-03-21,358.422
2001-03-22,341.57
2001-03-23,350.659
2001-03-26,358.785
2001-03-27,363.755
2001-03-28,359.831
2001-03-29,357.568
2001-03-30,359.446
2001-04-02,356.618
2001-04-03,350.914
2001-04-04,355.151
2001-04-05,358.863
2001-04-06,359.719
2001-04-09,362.039
2001-04-10,362.937
2001-04-11,363.095
2001-04-12,366.796
2001-04-13,366.796
2001-04-16,363.68
2001-04-17,361.989
2001-04-18,365.789
2001-04-19,372.679
2001-04-20,376.364
2001-04-23,372.074
2001-04-24,370.972
2001-04-25,371.782
2001-04-26,375.681
2001-04-27,375.513
2001-04-30,377.84
2001-05-01,378.772
2001-05-02,379.7
2001-05-03,376.284
2001-05-04,377.0
2001-05-07,377.298
2001-05-08,376.471
2001-05-09,373.603
2001-05-10,375.584
2001-05-11,373.711
2001-05-14,370.65
2001-05-15,373.108
2001-05-16,374.896
2001-05-17,377.471
2001-05-18,378.616
2001-05-21,379.862
2001-05-22,379.901
2001-05-23,376.375
2001-05-24,374.272
2001-05-25,374.05
2001-05-28,375.292
2001-05-29,371.951
2001-05-30,370.407
2001-05-31,368.36
2001-06-01,367.405
2001-06-04,368.617
2001-06-05,370.157
2001-06-06,368.209
2001-06-07,369.772
2001-06-08,368.687
2001-06-11,363.354
2001-06-12,361.428
2001-06-13,363.183
2001-06-14,361.806
2001-06-15,359.588
2001-06-18,358.489
2001-06-19,357.359
2001-06-20,351.959
2001-06-21,353.421
2001-06-22,354.121
2001-06-25,355.887
2001-06-26,352.593
2001-06-27,352.604
2001-06-28,351.211
2001-06-29,352.918
2001-07-02,354.217
2001-07-03,352.624
2001-07-04,350.618
2001-07-05,344.646
2001-07-06,342.853
2001-07-09,343.528
2001-07-10,346.081
2001-07-11,344.445
2001-07-12,343.91
2001-07-13,343.75
2001-07-16,343.224
2001-07-17,340.389
2001-07-18,345.508
2001-07-19,347.667
2001-07-20,347.794
2001-07-23,346.15
2001-07-24,345.661
2001-07-25,344.703
2001-07-26,344.958
2001-07-27,347.317
2001-07-30,350.212
2001-07-31,352.142
2001-08-01,356.283
2001-08-02,359.814
2001-08-03,359.549
2001-08-06,356.752
2001-08-07,354.356
2001-08-08,352.32
2001-08-09,352.532
2001-08-10,354.27
2001-08-13,356.104
2001-08-14,357.416
2001-08-15,360.986
2001-08-16,358.754
2001-08-17,357.677
2001-08-20,354.949
2001-08-21,356.301
2001-08-22,358.475
2001-08-23,356.284
2001-08-24,358.978
2001-08-27,357.815
2001-08-28,356.278
2001-08-29,355.4
2001-08-30,350.266
2001-08-31,349.466
2001-09-03,345.894
2001-09-04,342.85
2001-09-05,339.267
2001-09-06,335.053
2001-09-07,334.624
2001-09-10,328.024
2001-09-11,315.308
2001-09-12,312.938
2001-09-13,314.752
2001-09-14,307.988
2001-09-17,304.714
2001-09-18,300.208
2001-09-19,299.44
2001-09-20,287.038
2001-09-21,274.992
2001-09-24,284.128
2001-09-25,291.662
2001-09-26,294.598
2001-09-27,295.194
2001-09-28,299.223
2001-10-01,297.816
2001-10-02,297.087
2001-10-03,299.643
2001-10-04,305.958
2001-10-05,307.458
2001-10-08,306.498
2001-10-09,307.779
2001-10-10,308.858
2001-10-11,312.389
2001-10-12,314.263
2001-10-15,312.399
2001-10-16,315.106
2001-10-17,319.291
2001-10-18,314.204
2001-10-19,309.965
2001-10-22,308.753
2001-10-23,312.301
2001-10-24,314.19
2001-10-25,313.169
2001-10-26,316.64
2001-10-29,317.91
2001-10-30,313.714
2001-10-31,314.866
2001-11-01,317.46
2001-11-02,317.869
2001-11-05,319.946
2001-11-06,321.119
2001-11-07,323.637
2001-11-08,325.889
2001-11-09,325.928
2001-11-12,321.977
2001-11-13,324.207
2001-11-14,328.067
2001-11-15,329.537
2001-11-16,332.308
2001-11-19,333.844
2001-11-20,331.461
