Date,WORLD SMID CAP SMID (Small+Mid Cap)
1994-05-31,271.493
1994-06-30,273.568
1994-07-29,276.41
1994-08-31,282.698
1994-09-30,276.847
1994-10-31,279.627
1994-11-30,264.379
1994-12-30,268.674
1995-01-31,263.639
1995-02-28,264.309
1995-03-31,273.953
1995-04-28,280.315
1995-05-31,278.097
1995-06-30,280.34
1995-07-31,295.509
1995-08-31,293.093
1995-09-29,296.771
1995-10-31,288.035
1995-11-30,294.955
1995-12-29,303.202
1996-01-31,306.754
1996-02-29,312.683
1996-03-29,319.086
1996-04-30,334.605
1996-05-31,336.534
1996-06-28,332.382
1996-07-31,315.393
1996-08-30,322.46
1996-09-30,329.326
1996-10-31,326.32
1996-11-29,335.111
1996-12-31,332.055
1997-01-31,331.205
1997-02-28,330.179
1997-03-31,319.518
1997-04-30,318.394
1997-05-30,345.629
1997-06-30,357.918
1997-07-31,365.331
1997-08-29,358.551
1997-09-30,372.758
1997-10-31,357.804
1997-11-28,349.409
1997-12-31,348.283
1998-01-30,353.248
1998-02-27,379.262
1998-03-31,396.094
1998-04-30,400.341
1998-05-29,392.15
1998-06-30,387.722
1998-07-31,375.516
1998-08-31,316.804
1998-09-30,322.18
1998-10-30,344.387
1998-11-30,359.927
1998-12-31,375.029
1999-01-29,377.315
1999-02-26,362.363
1999-03-31,374.617
1999-04-30,400.786
1999-05-31,397.315
1999-06-30,417.583
1999-07-30,422.088
1999-08-31,424.082
1999-09-30,423.711
1999-10-29,430.673
1999-11-30,450.149
1999-12-31,485.974
2000-01-31,474.156
2000-02-29,517.997
2000-03-31,519.402
2000-04-28,480.341
2000-05-31,467.003
2000-06-30,497.0
2000-07-31,479.838
2000-08-31,507.858
2000-09-29,488.682
2000-10-31,462.026
2000-11-30,427.924
2000-12-29,448.974
2001-01-31,462.45
2001-02-28,434.544
2001-03-30,403.76
2001-04-30,436.356
2001-05-31,441.639
2001-06-29,435.467
2001-07-31,421.267
2001-08-31,410.731
2001-09-28,358.624
2001-10-31,375.129
2001-11-30,395.765
2001-12-31,404.785
2002-01-31,397.812
2002-02-28,395.938
2002-03-29,421.187
2002-04-30,423.897
2002-05-31,426.781
2002-06-28,401.886
2002-07-31,361.586
2002-08-30,361.654
2002-09-30,330.279
2002-10-31,341.956
2002-11-29,362.939
2002-12-31,350.603
2003-01-31,342.915
2003-02-28,336.799
2003-03-31,338.026
2003-04-30,367.401
2003-05-30,400.094
2003-06-30,407.855
2003-07-31,421.949
2003-08-29,441.077
2003-09-30,446.029
2003-10-31,480.294
2003-11-28,490.171
2003-12-31,511.966
2004-01-30,527.791
2004-02-27,540.843
2004-03-31,549.133
2004-04-30,530.07
2004-05-31,537.299
2004-06-30,556.711
2004-07-30,532.081
2004-08-31,533.304
2004-09-30,552.286
2004-10-29,568.199
2004-11-30,609.647
2004-12-31,636.084
2005-01-31,626.873
2005-02-28,648.791
2005-03-31,637.482
2005-04-29,615.385
2005-05-31,634.378
2005-06-30,650.965
2005-07-29,681.463
2005-08-31,687.116
2005-09-30,704.249
2005-10-31,682.572
2005-11-30,711.379
2005-12-30,734.73
2006-01-31,784.334
2006-02-28,780.919
2006-03-31,809.543
2006-04-28,831.281
2006-05-31,796.359
2006-06-30,792.406
2006-07-31,779.51
2006-08-31,800.608
2006-09-29,808.473
2006-10-31,842.631
2006-11-30,874.902
2006-12-29,888.756
2007-01-31,907.694
2007-02-28,915.488
2007-03-30,935.732
2007-04-30,970.486
2007-05-31,1000.0
2007-06-29,987.61
2007-07-31,957.313
2007-08-31,945.119
2007-09-28,974.317
2007-10-31,1007.222
2007-11-30,943.846
2007-12-31,930.107
2008-01-31,858.551
2008-02-29,862.501
2008-03-31,853.787
2008-04-30,894.115
2008-05-30,925.731
2008-06-30,849.665
2008-07-31,820.476
2008-08-29,818.017
2008-09-30,705.208
2008-10-31,543.233
2008-11-28,504.573
2008-12-31,533.096
2009-01-30,492.961
2009-02-27,442.226
2009-03-31,477.53
2009-04-30,550.845
2009-05-29,598.508
2009-06-30,600.628
2009-07-31,653.459
2009-08-31,691.211
2009-09-30,730.149
2009-10-30,703.514
2009-11-30,723.71
2009-12-31,753.409
2010-01-29,730.578
2010-02-26,747.787
2010-03-31,802.62
2010-04-30,825.254
2010-05-31,747.558
2010-06-30,718.11
2010-07-30,775.324
2010-08-31,743.592
2010-09-30,826.878
2010-10-29,858.418
2010-11-30,856.63
2010-12-31,930.998
2011-01-31,943.988
2011-02-28,980.265
2011-03-31,987.382
2011-04-29,1026.285
2011-05-31,1008.821
2011-06-30,987.733
2011-07-29,964.658
2011-08-31,891.07
2011-09-30,795.678
2011-10-31,886.779
2011-11-30,863.804
2011-12-30,856.317
2012-01-31,914.876
2012-02-29,957.933
2012-03-30,967.76
2012-04-30,959.354
2012-05-31,871.328
2012-06-29,905.515
2012-07-31,909.231
2012-08-31,938.136
2012-09-28,968.129
2012-10-31,963.094
2012-11-30,976.355
2012-12-31,1006.481
2013-01-31,1062.175
2013-02-28,1070.679
2013-03-29,1105.006
2013-04-30,1129.133
2013-05-31,1136.157
2013-06-28,1111.362
2013-07-31,1178.766
2013-08-30,1155.965
2013-09-30,1229.894
2013-10-31,1267.057
2013-11-29,1282.031
2013-12-31,1313.906
2014-01-31,1284.364
2014-02-28,1356.362
2014-03-31,1350.864
2014-04-30,1341.535
2014-05-30,1364.845
2014-06-30,1407.113
2014-07-31,1362.18
2014-08-29,1400.494
2014-09-30,1332.677
2014-10-31,1351.212
2014-11-28,1368.435
2014-12-31,1367.403
2015-01-30,1348.679
2015-02-27,1431.312
2015-03-31,1426.979
2015-04-30,1447.838
2015-05-29,1461.977
2015-06-30,1438.698
2015-07-31,1443.439
2015-08-31,1364.991
2015-09-30,1309.416
2015-10-30,1393.544
2015-11-30,1399.6
2015-12-31,1368.05
2016-01-29,1266.44
2016-02-29,1275.122
2016-03-31,1380.85
2016-04-29,1411.222
2016-05-31,1421.656
2016-06-30,1394.618
2016-07-29,1470.363
2016-08-31,1469.07
2016-09-30,1487.914
2016-10-31,1440.165
2016-11-30,1482.947
2016-12-30,1510.503
2017-01-31,1553.803
2017-02-28,1587.66
2017-03-31,1601.431
2017-04-28,1633.167
2017-05-31,1656.23
2017-06-30,1674.816
2017-07-31,1713.754
2017-08-31,1713.287
2017-09-29,1767.082
2017-10-31,1795.107
2017-11-30,1836.861
2017-12-29,1866.174
2018-01-31,1942.567
2018-02-28,1862.737
2018-03-30,1855.91
2018-04-30,1873.971
2018-05-31,1905.12
2018-06-29,1898.657
2018-07-31,1930.285
2018-08-31,1960.12
2018-09-28,1943.47
2018-10-31,1758.285
2018-11-30,1768.835
2018-12-31,1620.394
2019-01-31,1779.589
2019-02-28,1842.845
2019-03-29,1844.834
2019-04-30,1905.382
2019-05-31,1791.174
2019-06-28,1902.887
2019-07-31,1910.201
2019-08-30,1854.507
2019-09-30,1896.799
2019-10-31,1947.746
2019-11-29,2006.707
2019-12-31,2064.926
2020-01-31,2025.852
2020-02-28,1841.333
2020-03-31,1488.901
2020-04-30,1678.49
2020-05-29,1796.573
2020-06-30,1840.615
2020-07-31,1922.803
2020-08-31,2022.301
2020-09-30,1981.541
2020-10-30,1970.321
2020-11-30,2262.599
2020-12-31,2400.895
2021-01-29,2417.899
2021-02-26,2522.569
2021-03-31,2579.412
2021-04-30,2689.4
2021-05-31,2723.253
2021-06-30,2731.976
2021-07-30,2739.64
2021-08-31,2808.559
2021-09-30,2710.205
2021-10-29,2822.709
2021-11-30,2707.773
2021-12-31,2813.582
2022-01-31,2605.417
2022-02-28,2597.309
2022-03-31,2628.598
2022-04-29,2426.578
2022-05-31,2424.545
2022-06-30,2183.638
2022-07-29,2372.172
2022-08-31,2293.004
2022-09-30,2058.859
2022-10-31,2212.855
2022-11-30,2367.745
2022-12-30,2292.008
2023-01-31,2494.279
2023-02-28,2435.992
2023-03-31,2395.576
2023-04-28,2401.264
2023-05-31,2329.739
2023-06-30,2475.748
2023-07-31,2589.224
2023-08-31,2495.734
2023-09-29,2374.347
2023-10-31,2239.704
2023-11-30,2459.28
2023-12-29,2663.324
2024-01-31,2613.154
2024-02-29,2707.546
2024-03-29,2818.224
2024-04-30,2685.498
2024-05-31,2784.742
2024-06-28,2737.918
2024-07-31,2892.064
2024-08-30,2941.625
2024-09-30,3007.046
2024-10-31,2928.844
2024-11-29,3111.313
2024-12-31,2931.811
2025-01-31,3045.442
2025-02-28,2980.169
2025-03-31,2882.929
2025-04-30,2910.448
2025-05-30,3075.953
2025-06-30,3205.98
2025-07-31,3238.996
2025-08-29,3364.29
2025-09-30,3412.244
