Date,WORLD SMID CAP SMID (Small+Mid Cap)
1994-05-31,280.379
1994-06-30,282.453
1994-07-29,285.343
1994-08-31,291.822
1994-09-30,285.75
1994-10-31,288.6
1994-11-30,272.852
1994-12-30,277.271
1995-01-31,272.064
1995-02-28,272.744
1995-03-31,282.637
1995-04-28,289.163
1995-05-31,286.801
1995-06-30,289.032
1995-07-31,304.618
1995-08-31,302.113
1995-09-29,305.866
1995-10-31,296.844
1995-11-30,303.962
1995-12-29,312.442
1996-01-31,316.091
1996-02-29,322.184
1996-03-29,328.722
1996-04-30,344.659
1996-05-31,346.565
1996-06-28,342.209
1996-07-31,324.663
1996-08-30,331.923
1996-09-30,338.949
1996-10-31,335.835
1996-11-29,344.871
1996-12-31,341.709
1997-01-31,340.824
1997-02-28,339.745
1997-03-31,328.719
1997-04-30,327.501
1997-05-30,355.431
1997-06-30,367.984
1997-07-31,375.555
1997-08-29,368.573
1997-09-30,383.129
1997-10-31,367.742
1997-11-28,359.103
1997-12-31,357.928
1998-01-30,363.017
1998-02-27,389.736
1998-03-31,406.963
1998-04-30,411.253
1998-05-29,402.744
1998-06-30,398.098
1998-07-31,385.515
1998-08-31,325.228
1998-09-30,330.709
1998-10-30,353.491
1998-11-30,369.428
1998-12-31,384.91
1999-01-29,387.236
1999-02-26,371.856
1999-03-31,384.328
1999-04-30,411.116
1999-05-31,407.484
1999-06-30,428.194
1999-07-30,432.78
1999-08-31,434.776
1999-09-30,434.321
1999-10-29,441.432
1999-11-30,461.352
1999-12-31,498.018
2000-01-31,485.884
2000-02-29,530.759
2000-03-31,532.066
2000-04-28,491.973
2000-05-31,478.206
2000-06-30,508.822
2000-07-31,491.193
2000-08-31,519.81
2000-09-29,500.082
2000-10-31,472.77
2000-11-30,437.82
2000-12-29,459.296
2001-01-31,473.046
2001-02-28,444.447
2001-03-30,412.818
2001-04-30,446.022
2001-05-31,451.227
2001-06-29,444.803
2001-07-31,430.249
2001-08-31,419.427
2001-09-28,366.117
2001-10-31,382.929
2001-11-30,403.936
2001-12-31,413.077
2002-01-31,405.926
2002-02-28,403.958
2002-03-29,429.564
2002-04-30,432.215
2002-05-31,434.978
2002-06-28,409.487
2002-07-31,368.379
2002-08-30,368.343
2002-09-30,336.246
2002-10-31,348.055
2002-11-29,369.299
2002-12-31,356.617
2003-01-31,348.737
2003-02-28,342.398
2003-03-31,343.417
2003-04-30,373.079
2003-05-30,406.04
2003-06-30,413.74
2003-07-31,427.951
2003-08-29,447.23
2003-09-30,452.094
2003-10-31,486.746
2003-11-28,496.633
2003-12-31,518.542
2004-01-30,534.502
2004-02-27,547.586
2004-03-31,555.714
2004-04-30,536.223
2004-05-31,543.25
2004-06-30,562.68
2004-07-30,537.694
2004-08-31,538.76
2004-09-30,557.751
2004-10-29,573.732
2004-11-30,615.408
2004-12-31,641.87
2005-01-31,632.496
2005-02-28,654.441
2005-03-31,642.756
2005-04-29,620.228
2005-05-31,639.007
2005-06-30,655.473
2005-07-29,686.073
2005-08-31,691.573
2005-09-30,708.587
2005-10-31,686.672
2005-11-30,715.444
2005-12-30,738.679
2006-01-31,788.448
2006-02-28,784.826
2006-03-31,813.235
2006-04-28,834.792
2006-05-31,799.265
2006-06-30,795.002
2006-07-31,781.936
2006-08-31,802.892
2006-09-29,810.503
2006-10-31,844.62
2006-11-30,876.751
2006-12-29,890.301
2007-01-31,909.158
2007-02-28,916.744
2007-03-30,936.559
2007-04-30,970.994
2007-05-31,1000.0
2007-06-29,987.264
2007-07-31,956.83
2007-08-31,944.374
2007-09-28,973.229
2007-10-31,1005.923
2007-11-30,942.375
2007-12-31,928.325
2008-01-31,856.787
2008-02-29,860.477
2008-03-31,851.268
2008-04-30,890.966
2008-05-30,921.816
