Date,WORLD SMID CAP SMID (Small+Mid Cap)
2001-01-01,459.307
2001-01-02,448.963
2001-01-03,456.214
2001-01-04,453.175
2001-01-05,446.849
2001-01-08,444.369
2001-01-09,442.749
2001-01-10,447.134
2001-01-11,451.599
2001-01-12,453.673
2001-01-15,453.181
2001-01-16,455.243
2001-01-17,457.805
2001-01-18,461.583
2001-01-19,460.461
2001-01-22,461.155
2001-01-23,466.744
2001-01-24,465.52
2001-01-25,465.036
2001-01-26,464.726
2001-01-29,469.152
2001-01-30,472.097
2001-01-31,473.046
2001-02-01,475.03
2001-02-02,469.386
2001-02-05,468.519
2001-02-06,469.887
2001-02-07,467.617
2001-02-08,464.246
2001-02-09,461.627
2001-02-12,464.382
2001-02-13,462.201
2001-02-14,461.996
2001-02-15,464.039
2001-02-16,459.941
2001-02-19,459.421
2001-02-20,454.306
2001-02-21,448.961
2001-02-22,445.021
2001-02-23,444.907
2001-02-26,451.094
2001-02-27,449.017
2001-02-28,444.447
2001-03-01,442.962
2001-03-02,442.924
2001-03-05,442.408
2001-03-06,448.376
2001-03-07,449.713
2001-03-08,448.887
2001-03-09,443.549
2001-03-12,430.985
2001-03-13,427.39
2001-03-14,419.514
2001-03-15,419.001
2001-03-16,411.236
2001-03-19,415.467
2001-03-20,413.132
2001-03-21,407.847
2001-03-22,399.006
2001-03-23,408.321
2001-03-26,415.877
2001-03-27,419.541
2001-03-28,414.388
2001-03-29,410.835
2001-03-30,412.818
2001-04-02,406.889
2001-04-03,398.961
2001-04-04,400.111
2001-04-05,411.194
2001-04-06,408.004
2001-04-09,409.975
2001-04-10,416.261
2001-04-11,416.44
2001-04-12,422.457
2001-04-13,422.601
2001-04-16,419.723
2001-04-17,421.363
2001-04-18,431.621
2001-04-19,438.216
2001-04-20,437.357
2001-04-23,432.891
2001-04-24,432.043
2001-04-25,436.97
2001-04-26,441.0
2001-04-27,443.079
2001-04-30,446.022
2001-05-01,451.037
2001-05-02,452.953
2001-05-03,449.275
2001-05-04,452.527
2001-05-07,451.56
2001-05-08,450.67
2001-05-09,448.704
2001-05-10,449.35
2001-05-11,447.293
2001-05-14,444.783
2001-05-15,447.289
2001-05-16,452.507
2001-05-17,458.22
2001-05-18,458.707
2001-05-21,465.603
2001-05-22,465.965
2001-05-23,461.344
2001-05-24,461.623
2001-05-25,460.199
2001-05-28,460.097
2001-05-29,456.207
2001-05-30,449.714
2001-05-31,451.227
2001-06-01,453.385
2001-06-04,454.835
2001-06-05,458.86
2001-06-06,456.216
2001-06-07,458.549
2001-06-08,456.575
2001-06-11,451.121
2001-06-12,448.596
2001-06-13,448.383
2001-06-14,442.112
2001-06-15,440.25
2001-06-18,436.438
2001-06-19,435.334
2001-06-20,435.677
2001-06-21,437.52
2001-06-22,436.02
2001-06-25,435.778
2001-06-26,436.541
2001-06-27,437.08
2001-06-28,438.156
2001-06-29,444.803
2001-07-02,442.406
2001-07-03,441.594
2001-07-04,440.322
2001-07-05,435.659
2001-07-06,429.059
2001-07-09,428.511
2001-07-10,426.686
2001-07-11,425.037
2001-07-12,431.084
2001-07-13,431.645
2001-07-16,428.188
2001-07-17,428.81
2001-07-18,428.324
2001-07-19,430.077
2001-07-20,429.606
2001-07-23,424.93
2001-07-24,421.122
2001-07-25,423.656
2001-07-26,427.164
2001-07-27,428.855
2001-07-30,427.86
2001-07-31,430.249
2001-08-01,433.944
2001-08-02,437.088
2001-08-03,435.802
2001-08-06,432.268
2001-08-07,431.222
2001-08-08,426.991
2001-08-09,425.671
2001-08-10,427.395
2001-08-13,428.343
2001-08-14,430.213
2001-08-15,431.929
2001-08-16,430.96
2001-08-17,427.889
2001-08-20,426.455
2001-08-21,425.421
2001-08-22,428.197
2001-08-23,426.214
2001-08-24,429.627
2001-08-27,429.152
2001-08-28,425.823
2001-08-29,424.326
2001-08-30,419.322
2001-08-31,419.427
2001-09-03,416.826
2001-09-04,415.47
2001-09-05,410.91
2001-09-06,405.511
2001-09-07,401.573
2001-09-10,396.133
2001-09-11,393.049
2001-09-12,387.105
2001-09-13,388.682
2001-09-14,388.356
2001-09-17,372.15
2001-09-18,368.832
2001-09-19,365.629
2001-09-20,355.094
2001-09-21,345.927
2001-09-24,354.278
2001-09-25,358.312
