Date,WORLD SMID CAP SMID (Small+Mid Cap)
2001-12-19,398.451
2001-12-20,395.787
2001-12-21,397.232
2001-12-24,397.309
2001-12-25,397.295
2001-12-26,398.8
2001-12-27,402.622
2001-12-28,405.268
2001-12-31,404.785
2002-01-01,404.783
2002-01-02,405.085
2002-01-03,408.941
2002-01-04,412.277
2002-01-07,410.51
2002-01-08,408.922
2002-01-09,407.931
2002-01-10,407.049
2002-01-11,404.867
2002-01-14,401.239
2002-01-15,401.207
2002-01-16,395.698
2002-01-17,397.879
2002-01-18,396.567
2002-01-21,396.837
2002-01-22,393.721
2002-01-23,396.904
2002-01-24,398.576
2002-01-25,397.396
2002-01-28,398.4
2002-01-29,394.232
2002-01-30,394.951
2002-01-31,397.812
2002-02-01,396.571
2002-02-04,391.532
2002-02-05,388.668
2002-02-06,386.036
2002-02-07,384.565
2002-02-08,388.615
2002-02-11,393.232
2002-02-12,394.467
2002-02-13,396.767
2002-02-14,396.429
2002-02-15,395.128
2002-02-18,394.634
2002-02-19,388.658
2002-02-20,390.078
2002-02-21,388.821
2002-02-22,390.464
2002-02-25,392.693
2002-02-26,394.531
2002-02-27,396.366
2002-02-28,395.938
2002-03-01,401.463
2002-03-04,411.392
2002-03-05,410.722
2002-03-06,415.194
2002-03-07,418.804
2002-03-08,420.816
2002-03-11,422.441
2002-03-12,419.134
2002-03-13,416.511
2002-03-14,418.3
2002-03-15,420.787
2002-03-18,421.883
2002-03-19,423.831
2002-03-20,421.085
2002-03-21,422.077
2002-03-22,420.124
2002-03-25,416.014
2002-03-26,417.38
2002-03-27,420.384
2002-03-28,421.828
2002-03-29,421.187
2002-04-01,421.28
2002-04-02,419.331
2002-04-03,417.45
2002-04-04,418.317
2002-04-05,418.701
2002-04-08,419.305
2002-04-09,418.646
2002-04-10,423.128
2002-04-11,419.298
2002-04-12,421.109
2002-04-15,421.19
2002-04-16,426.833
2002-04-17,428.059
2002-04-18,428.382
2002-04-19,428.504
2002-04-22,426.173
2002-04-23,425.703
2002-04-24,424.763
2002-04-25,425.334
2002-04-26,422.466
2002-04-29,420.636
2002-04-30,423.897
2002-05-01,425.954
2002-05-02,426.057
2002-05-03,426.149
2002-05-06,422.546
2002-05-07,419.394
2002-05-08,425.856
2002-05-09,423.042
2002-05-10,420.347
2002-05-13,422.781
2002-05-14,426.461
2002-05-15,428.473
2002-05-16,428.295
2002-05-17,431.648
2002-05-20,429.857
2002-05-21,427.533
2002-05-22,428.123
2002-05-23,430.006
2002-05-24,428.441
2002-05-27,428.151
2002-05-28,428.196
2002-05-29,426.43
2002-05-30,426.351
2002-05-31,426.781
2002-06-03,420.882
2002-06-04,418.731
2002-06-05,418.983
2002-06-06,415.043
2002-06-07,414.991
2002-06-10,414.993
2002-06-11,411.192
2002-06-12,409.622
2002-06-13,405.386
2002-06-14,402.723
2002-06-17,409.258
2002-06-18,409.73
2002-06-19,405.353
2002-06-20,402.145
2002-06-21,400.119
2002-06-24,398.561
2002-06-25,395.15
2002-06-26,393.406
2002-06-27,396.92
2002-06-28,401.886
2002-07-01,396.206
2002-07-02,387.3
2002-07-03,384.606
2002-07-04,384.84
2002-07-05,394.592
2002-07-08,392.856
2002-07-09,388.901
2002-07-10,380.208
2002-07-11,376.89
2002-07-12,375.965
2002-07-15,372.47
2002-07-16,369.506
2002-07-17,371.112
2002-07-18,367.678
2002-07-19,359.376
2002-07-22,349.376
2002-07-23,339.823
2002-07-24,346.475
2002-07-25,347.986
2002-07-26,346.674
2002-07-29,359.666
2002-07-30,362.749
2002-07-31,361.586
2002-08-01,354.774
2002-08-02,348.298
2002-08-05,339.811
2002-08-06,343.862
2002-08-07,347.257
2002-08-08,353.234
2002-08-09,355.782
2002-08-12,354.895
2002-08-13,350.535
2002-08-14,357.797
2002-08-15,361.882
2002-08-16,363.511
2002-08-19,367.253
2002-08-20,364.577
2002-08-21,369.386
2002-08-22,373.343
2002-08-23,368.317
2002-08-26,371.252
2002-08-27,368.768
2002-08-28,362.505
2002-08-29,362.187
2002-08-30,361.654
2002-09-02,360.919
2002-09-03,352.418
2002-09-04,354.784
2002-09-05,350.67
2002-09-06,355.313
2002-09-09,356.04
2002-09-10,357.63
2002-09-11,358.524
2002-09-12,352.898
2002-09-13,352.38
2002-09-16,350.001
2002-09-17,346.126
2002-09-18,343.542
2002-09-19,337.618
2002-09-20,337.22
2002-09-23,331.283
2002-09-24,326.121
2002-09-25,331.552
2002-09-26,337.115
2002-09-27,333.426
2002-09-30,330.279
2002-10-01,333.431
2002-10-02,328.626
2002-10-03,325.191
2002-10-04,319.161
2002-10-07,311.746
2002-10-08,312.755
2002-10-09,305.764
2002-10-10,312.219
2002-10-11,321.896
2002-10-14,322.826
2002-10-15,334.8
2002-10-16,329.153
2002-10-17,336.842
2002-10-18,337.344
2002-10-21,342.311
2002-10-22,337.734
2002-10-23,339.362
2002-10-24,337.74
2002-10-25,341.134
2002-10-28,340.75
2002-10-29,337.067
2002-10-30,340.675
2002-10-31,341.956
2002-11-01,346.346
2002-11-04,350.379
2002-11-05,351.488
2002-11-06,354.39
2002-11-07,349.503
2002-11-08,345.981
2002-11-11,339.538
2002-11-12,342.607
2002-11-13,341.522
2002-11-14,346.541
2002-11-15,348.84
2002-11-18,347.524
2002-11-19,345.011
2002-11-20,348.938
2002-11-21,356.734
2002-11-22,358.067
2002-11-25,359.126
2002-11-26,353.647
2002-11-27,360.561
2002-11-28,362.85
2002-11-29,362.939
2002-12-02,362.839
2002-12-03,358.072
2002-12-04,355.416
2002-12-05,353.079
2002-12-06,353.915
2002-12-09,347.65
2002-12-10,350.901
2002-12-11,351.948
2002-12-12,352.115
2002-12-13,348.84
2002-12-16,353.054
2002-12-17,351.873
2002-12-18,347.008
2002-12-19,346.104
2002-12-20,349.245
2002-12-23,350.13
2002-12-24,349.734
