Date,NORWAY LARGE VALUE Large Cap
2001-01-01,196.767
2001-01-02,199.227
2001-01-03,196.263
2001-01-04,198.404
2001-01-05,204.271
2001-01-08,205.144
2001-01-09,204.909
2001-01-10,206.114
2001-01-11,205.935
2001-01-12,203.679
2001-01-15,202.836
2001-01-16,201.875
2001-01-17,201.634
2001-01-18,201.893
2001-01-19,198.479
2001-01-22,201.221
2001-01-23,200.962
2001-01-24,201.599
2001-01-25,201.145
2001-01-26,203.919
2001-01-29,205.762
2001-01-30,211.333
2001-01-31,210.717
2001-02-01,214.721
2001-02-02,213.053
2001-02-05,213.443
2001-02-06,214.083
2001-02-07,212.502
2001-02-08,209.611
2001-02-09,210.202
2001-02-12,205.151
2001-02-13,201.747
2001-02-14,197.416
2001-02-15,194.556
2001-02-16,194.908
2001-02-19,195.905
2001-02-20,194.277
2001-02-21,194.675
2001-02-22,196.908
2001-02-23,196.128
2001-02-26,198.2
2001-02-27,201.31
2001-02-28,200.225
2001-03-01,199.439
2001-03-02,201.562
2001-03-05,202.426
2001-03-06,207.857
2001-03-07,205.067
2001-03-08,206.288
2001-03-09,205.008
2001-03-12,201.005
2001-03-13,195.791
2001-03-14,190.025
2001-03-15,192.256
2001-03-16,187.197
2001-03-19,187.559
2001-03-20,191.123
2001-03-21,189.428
2001-03-22,184.444
2001-03-23,186.548
2001-03-26,187.262
2001-03-27,189.733
2001-03-28,186.491
2001-03-29,185.696
2001-03-30,188.947
2001-04-02,188.504
2001-04-03,187.332
2001-04-04,187.112
2001-04-05,188.106
2001-04-06,189.267
2001-04-09,190.122
2001-04-10,193.698
2001-04-11,194.945
2001-04-12,196.796
2001-04-13,196.796
2001-04-16,194.792
2001-04-17,193.015
2001-04-18,194.591
2001-04-19,195.283
2001-04-20,196.804
2001-04-23,197.602
2001-04-24,201.466
2001-04-25,200.54
2001-04-26,201.777
2001-04-27,203.276
2001-04-30,205.43
2001-05-01,206.643
2001-05-02,205.854
2001-05-03,200.587
2001-05-04,200.192
2001-05-07,201.728
2001-05-08,201.008
2001-05-09,201.456
2001-05-10,199.733
2001-05-11,201.994
2001-05-14,197.486
2001-05-15,198.478
2001-05-16,197.768
2001-05-17,197.788
2001-05-18,201.396
2001-05-21,201.742
2001-05-22,201.622
