Date,NORWAY LARGE VALUE Large Cap
1994-11-30,1000.0
1994-12-30,1135.234
1995-01-31,1155.252
1995-02-28,1092.646
1995-03-31,1053.195
1995-04-28,1102.308
1995-05-31,1073.005
1995-06-30,1114.603
1995-07-31,1186.779
1995-08-31,952.734
1995-09-29,1040.809
1995-10-31,1027.224
1995-11-30,806.728
1996-05-31,212.688
1996-06-28,219.717
1996-07-31,193.833
1996-08-30,206.33
1996-09-30,210.229
1996-10-31,207.001
1996-11-29,226.347
1996-12-31,242.521
1997-01-31,253.312
1997-02-28,224.815
1997-03-31,224.505
1997-04-30,222.016
1997-05-30,228.002
1997-06-30,240.267
1997-07-31,234.722
1997-08-29,245.652
1997-09-30,264.222
1997-10-31,243.549
1997-11-28,227.081
1997-12-31,215.416
1998-01-30,203.308
1998-02-27,197.987
1998-03-31,219.968
1998-04-30,229.887
1998-05-29,206.64
1998-06-30,200.169
1998-07-31,202.53
1998-08-31,162.43
1998-09-30,165.704
1998-10-30,197.547
1998-11-30,171.326
1998-12-31,153.515
1999-01-29,163.722
1999-02-26,154.358
1999-03-31,185.489
1999-04-30,207.678
1999-05-31,183.282
1999-06-30,174.554
1999-07-30,180.321
1999-08-31,192.798
1999-09-30,195.757
1999-10-29,184.611
1999-11-30,180.792
1999-12-31,193.429
2000-01-31,183.518
2000-02-29,172.366
2000-03-31,175.168
2000-04-28,172.559
2000-05-31,180.164
2000-06-30,198.544
2000-07-31,182.552
2000-08-31,202.605
2000-09-29,197.324
2000-10-31,187.035
2000-11-30,189.129
2000-12-29,196.767
2001-01-31,210.717
2001-02-28,200.225
2001-03-30,188.947
2001-04-30,205.43
2001-05-31,197.971
2001-06-29,196.495
2001-07-31,198.993
2001-08-31,193.983
2001-09-28,172.332
2001-10-31,179.128
2001-11-30,184.959
2001-12-31,196.679
2002-01-31,188.034
2002-02-28,200.669
2002-03-29,222.228
2002-04-30,230.893
2002-05-31,239.021
2002-06-28,233.844
2002-07-31,207.66
2002-08-30,213.369
2002-09-30,189.971
2002-10-31,189.326
2002-11-29,193.971
2002-12-31,220.225
2003-01-31,203.553
2003-02-28,192.546
