Date,NORWAY LARGE VALUE Large Cap
2001-01-01,186.256
2001-01-02,188.584
2001-01-03,185.779
2001-01-04,187.806
2001-01-05,193.359
2001-01-08,194.186
2001-01-09,193.963
2001-01-10,195.103
2001-01-11,194.934
2001-01-12,192.799
2001-01-15,192.001
2001-01-16,191.091
2001-01-17,190.863
2001-01-18,191.108
2001-01-19,187.876
2001-01-22,190.472
2001-01-23,190.227
2001-01-24,190.83
2001-01-25,190.4
2001-01-26,193.026
2001-01-29,194.771
2001-01-30,200.044
2001-01-31,199.461
2001-02-01,203.251
2001-02-02,201.672
2001-02-05,202.041
2001-02-06,202.647
2001-02-07,201.151
2001-02-08,198.414
2001-02-09,198.973
2001-02-12,194.192
2001-02-13,190.97
2001-02-14,186.87
2001-02-15,184.163
2001-02-16,184.496
2001-02-19,185.44
2001-02-20,183.899
2001-02-21,184.276
2001-02-22,186.39
2001-02-23,185.651
2001-02-26,187.613
2001-02-27,190.556
2001-02-28,189.529
2001-03-01,188.785
2001-03-02,190.795
2001-03-05,191.613
2001-03-06,196.754
2001-03-07,194.113
2001-03-08,195.269
2001-03-09,194.057
2001-03-12,190.267
2001-03-13,185.332
2001-03-14,179.874
2001-03-15,181.986
2001-03-16,177.197
2001-03-19,177.54
2001-03-20,180.913
2001-03-21,179.309
2001-03-22,174.591
2001-03-23,176.583
2001-03-26,177.259
2001-03-27,179.597
2001-03-28,176.529
2001-03-29,175.777
2001-03-30,178.854
2001-04-02,178.434
2001-04-03,177.325
2001-04-04,177.117
2001-04-05,178.058
2001-04-06,179.156
2001-04-09,179.966
2001-04-10,183.35
2001-04-11,184.531
2001-04-12,186.283
2001-04-13,186.283
2001-04-16,184.386
2001-04-17,182.704
2001-04-18,184.196
2001-04-19,184.851
2001-04-20,186.291
2001-04-23,187.046
2001-04-24,190.704
2001-04-25,189.827
2001-04-26,190.998
2001-04-27,192.417
2001-04-30,194.456
2001-05-01,195.605
2001-05-02,194.857
2001-05-03,190.667
2001-05-04,190.291
2001-05-07,191.751
2001-05-08,191.067
2001-05-09,191.492
2001-05-10,189.854
2001-05-11,192.114
2001-05-14,187.827
2001-05-15,188.77
2001-05-16,188.096
2001-05-17,188.114
2001-05-18,191.546
2001-05-21,191.875
2001-05-22,191.761
2001-05-23,189.895
2001-05-24,189.986
2001-05-25,193.33
