Date,NORWAY LARGE VALUE Large Cap
1994-11-30,1000.0
1994-12-30,1135.234
1995-01-31,1155.252
1995-02-28,1092.646
1995-03-31,1053.195
1995-04-28,1102.308
1995-05-31,1078.468
1995-06-30,1120.278
1995-07-31,1192.821
1995-08-31,957.585
1995-09-29,1046.108
1995-10-31,1032.454
1995-11-30,810.836
1996-05-31,196.953
1996-06-28,203.461
1996-07-31,179.493
1996-08-30,191.065
1996-09-30,194.675
1996-10-31,191.686
1996-11-29,209.602
1996-12-31,224.579
1997-01-31,234.571
1997-02-28,208.183
1997-03-31,207.896
1997-04-30,206.604
1997-05-30,212.174
1997-06-30,223.587
1997-07-31,218.427
1997-08-29,228.598
1997-09-30,245.879
1997-10-31,226.641
1997-11-28,211.317
1997-12-31,200.462
1998-01-30,189.195
1998-02-27,184.243
1998-03-31,204.697
1998-04-30,214.736
1998-05-29,193.347
1998-06-30,187.292
1998-07-31,189.501
1998-08-31,151.981
1998-09-30,155.044
1998-10-30,184.838
1998-11-30,160.304
1998-12-31,143.64
1999-01-29,153.189
1999-02-26,144.428
1999-03-31,173.556
1999-04-30,195.378
1999-05-31,172.427
1999-06-30,164.215
1999-07-30,169.641
1999-08-31,181.379
1999-09-30,184.163
1999-10-29,173.678
1999-11-30,170.085
1999-12-31,181.973
2000-01-31,172.649
2000-02-29,162.157
2000-03-31,164.793
2000-04-28,163.341
2000-05-31,170.54
2000-06-30,187.938
2000-07-31,172.8
2000-08-31,191.782
2000-09-29,186.783
2000-10-31,177.044
2000-11-30,179.026
2000-12-29,186.256
2001-01-31,199.461
2001-02-28,189.529
2001-03-30,178.854
2001-04-30,194.456
2001-05-31,188.288
2001-06-29,186.884
2001-07-31,189.26
2001-08-31,184.495
2001-09-28,163.903
2001-10-31,170.367
2001-11-30,175.913
2001-12-31,187.06
2002-01-31,178.837
2002-02-28,190.854
2002-03-29,211.359
2002-04-30,219.6
2002-05-31,229.096
2002-06-28,224.133
2002-07-31,199.037
2002-08-30,204.509
2002-09-30,182.082
2002-10-31,181.464
2002-11-29,185.916
2002-12-31,211.08
2003-01-31,195.101
2003-02-28,184.55
