Date,USA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,96.439
2001-01-03,100.36
2001-01-04,98.809
2001-01-05,96.898
2001-01-08,97.071
2001-01-09,97.381
2001-01-10,99.501
2001-01-11,100.707
2001-01-12,101.186
2001-01-15,101.186
2001-01-16,102.575
2001-01-17,102.19
2001-01-18,102.456
2001-01-19,100.923
2001-01-22,101.415
2001-01-23,103.534
2001-01-24,103.475
2001-01-25,103.423
2001-01-26,103.594
2001-01-29,105.007
2001-01-30,105.513
2001-01-31,105.086
2001-02-01,105.605
2001-02-02,104.5
2001-02-05,104.864
2001-02-06,105.46
2001-02-07,106.206
2001-02-08,105.462
2001-02-09,104.528
2001-02-12,106.689
2001-02-13,106.41
2001-02-14,106.535
2001-02-15,107.257
2001-02-16,105.501
2001-02-19,105.501
2001-02-20,104.259
2001-02-21,102.599
2001-02-22,101.142
2001-02-23,101.208
2001-02-26,103.221
2001-02-27,101.603
2001-02-28,100.741
2001-03-01,100.842
2001-03-02,101.693
2001-03-05,101.648
2001-03-06,102.459
2001-03-07,103.576
2001-03-08,103.203
2001-03-09,101.708
2001-03-12,98.642
2001-03-13,99.339
2001-03-14,97.636
2001-03-15,97.608
2001-03-16,95.471
2001-03-19,96.818
2001-03-20,95.542
2001-03-21,93.998
2001-03-22,93.041
2001-03-23,95.306
2001-03-26,95.936
2001-03-27,97.437
2001-03-28,95.344
2001-03-29,95.077
2001-03-30,97.985
2001-04-02,95.329
2001-04-03,92.577
2001-04-04,92.484
2001-04-05,96.225
2001-04-06,94.07
2001-04-09,95.368
2001-04-10,97.322
2001-04-11,96.722
2001-04-12,97.968
2001-04-13,97.968
2001-04-16,97.149
2001-04-17,98.243
2001-04-18,99.582
2001-04-19,100.112
2001-04-20,99.158
2001-04-23,98.727
2001-04-24,99.241
2001-04-25,101.481
2001-04-26,102.573
2001-04-27,103.866
2001-04-30,104.358
2001-05-01,105.287
2001-05-02,105.4
2001-05-03,104.184
2001-05-04,105.455
2001-05-07,104.938
2001-05-08,105.413
2001-05-09,105.194
2001-05-10,105.498
2001-05-11,104.877
2001-05-14,105.125
2001-05-15,105.561
2001-05-16,106.824
2001-05-17,108.137
2001-05-18,108.328
2001-05-21,109.993
2001-05-22,110.282
2001-05-23,108.587
2001-05-24,109.123
2001-05-25,108.961
2001-05-28,108.961
2001-05-29,108.389
2001-05-30,106.97
2001-05-31,107.216
2001-06-01,108.355
2001-06-04,109.756
2001-06-05,111.339
2001-06-06,110.15
2001-06-07,110.701
2001-06-08,110.046
2001-06-11,109.412
2001-06-12,109.61
2001-06-13,109.462
2001-06-14,107.582
2001-06-15,107.3
2001-06-18,106.24
2001-06-19,105.931
2001-06-20,106.881
2001-06-21,107.426
2001-06-22,105.671
2001-06-25,104.86
2001-06-26,106.82
2001-06-27,107.665
2001-06-28,108.811
2001-06-29,112.047
2001-07-02,109.641
2001-07-03,109.209
2001-07-04,109.209
2001-07-05,108.909
2001-07-06,107.402
2001-07-09,107.772
2001-07-10,106.897
2001-07-11,106.711
2001-07-12,108.773
2001-07-13,109.362
2001-07-16,108.329
2001-07-17,109.792
2001-07-18,109.272
2001-07-19,110.385
2001-07-20,110.392
2001-07-23,109.332
2001-07-24,107.55
2001-07-25,108.055
2001-07-26,109.505
2001-07-27,109.554
2001-07-30,109.643
2001-07-31,109.635
2001-08-01,110.19
2001-08-02,110.503
2001-08-03,110.202
2001-08-06,109.084
2001-08-07,109.124
2001-08-08,107.646
2001-08-09,108.022
2001-08-10,108.26
2001-08-13,108.606
2001-08-14,109.3
2001-08-15,109.644
2001-08-16,110.633
2001-08-17,109.404
2001-08-20,109.894
2001-08-21,108.571
2001-08-22,109.631
2001-08-23,108.613
2001-08-24,109.822
2001-08-27,109.131
2001-08-28,108.178
2001-08-29,108.179
2001-08-30,107.301
2001-08-31,107.293
2001-09-03,107.293
2001-09-04,107.487
2001-09-05,106.982
2001-09-06,105.317
2001-09-07,103.397
2001-09-10,101.846
2001-09-11,101.846
2001-09-12,101.846
2001-09-13,101.846
2001-09-14,101.846
2001-09-17,95.981
2001-09-18,94.383
2001-09-19,92.235
2001-09-20,88.443
2001-09-21,86.417
2001-09-24,89.741
2001-09-25,90.233
2001-09-26,89.038
2001-09-27,89.819
2001-09-28,92.846
2001-10-01,90.984
2001-10-02,92.071
2001-10-03,95.262
2001-10-04,96.508
2001-10-05,95.951
2001-10-08,95.156
2001-10-09,94.455
2001-10-10,97.835
2001-10-11,100.82
2001-10-12,100.262
2001-10-15,100.402
2001-10-16,101.535
2001-10-17,99.148
2001-10-18,98.355
2001-10-19,99.289
2001-10-22,100.682
2001-10-23,100.083
2001-10-24,100.415
2001-10-25,102.725
2001-10-26,103.662
2001-10-29,101.526
2001-10-30,99.446
2001-10-31,100.708
2001-11-01,102.524
2001-11-02,102.172
2001-11-05,103.353
2001-11-06,104.74
2001-11-07,104.743
2001-11-08,104.313
2001-11-09,103.851
2001-11-12,104.266
2001-11-13,106.532
2001-11-14,107.641
2001-11-15,106.671
2001-11-16,107.142
2001-11-19,109.043
2001-11-20,107.858
2001-11-21,107.56
2001-11-22,107.56
2001-11-23,109.076
2001-11-26,109.897
2001-11-27,109.928
2001-11-28,107.66
2001-11-29,109.718
2001-11-30,109.362
2001-12-03,108.503
2001-12-04,111.269
2001-12-05,114.619
2001-12-06,115.338
2001-12-07,114.968
2001-12-10,113.343
2001-12-11,113.542
2001-12-12,113.541
2001-12-13,111.847
2001-12-14,112.081
2001-12-17,113.713
2001-12-18,115.054
2001-12-19,114.547
2001-12-20,112.501
2001-12-21,114.77
2001-12-24,115.382
2001-12-25,115.382
2001-12-26,116.608
2001-12-27,117.285
2001-12-28,117.889
2001-12-31,116.604
2002-01-01,116.605
2002-01-02,116.439
2002-01-03,118.312
2002-01-04,119.493
2002-01-07,118.153
2002-01-08,118.853
2002-01-09,118.284
2002-01-10,118.203
2002-01-11,116.835
2002-01-14,114.873
2002-01-15,115.347
2002-01-16,113.005
2002-01-17,114.143
2002-01-18,112.39
