Date,USA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,96.439
2001-01-03,100.36
2001-01-04,98.816
2001-01-05,96.905
2001-01-08,97.079
2001-01-09,97.392
2001-01-10,99.515
2001-01-11,100.722
2001-01-12,101.201
2001-01-15,101.201
2001-01-16,102.59
2001-01-17,102.205
2001-01-18,102.472
2001-01-19,100.94
2001-01-22,101.432
2001-01-23,103.551
2001-01-24,103.492
2001-01-25,103.441
2001-01-26,103.613
2001-01-29,105.032
2001-01-30,105.539
2001-01-31,105.114
2001-02-01,105.64
2001-02-02,104.536
2001-02-05,104.9
2001-02-06,105.498
2001-02-07,106.245
2001-02-08,105.502
2001-02-09,104.568
2001-02-12,106.73
2001-02-13,106.457
2001-02-14,106.584
2001-02-15,107.307
2001-02-16,105.55
2001-02-19,105.55
2001-02-20,104.308
2001-02-21,102.648
2001-02-22,101.191
2001-02-23,101.257
2001-02-26,103.276
2001-02-27,101.663
2001-02-28,100.8
2001-03-01,100.904
2001-03-02,101.756
2001-03-05,101.71
2001-03-06,102.523
2001-03-07,103.64
2001-03-08,103.269
2001-03-09,101.774
2001-03-12,98.706
2001-03-13,99.404
2001-03-14,97.703
2001-03-15,97.676
2001-03-16,95.538
2001-03-19,96.886
2001-03-20,95.609
2001-03-21,94.064
2001-03-22,93.107
2001-03-23,95.373
2001-03-26,96.003
2001-03-27,97.505
2001-03-28,95.414
2001-03-29,95.149
2001-03-30,98.058
2001-04-02,95.4
2001-04-03,92.646
2001-04-04,92.554
2001-04-05,96.298
2001-04-06,94.144
2001-04-09,95.446
2001-04-10,97.405
2001-04-11,96.805
2001-04-12,98.052
2001-04-13,98.052
2001-04-16,97.232
2001-04-17,98.327
2001-04-18,99.667
2001-04-19,100.198
2001-04-20,99.243
2001-04-23,98.812
2001-04-24,99.326
2001-04-25,101.568
2001-04-26,102.666
2001-04-27,103.964
2001-04-30,104.457
2001-05-01,105.386
2001-05-02,105.503
2001-05-03,104.295
2001-05-04,105.568
2001-05-07,105.05
2001-05-08,105.526
2001-05-09,105.311
2001-05-10,105.615
2001-05-11,104.999
2001-05-14,105.248
2001-05-15,105.685
2001-05-16,106.95
2001-05-17,108.264
2001-05-18,108.456
2001-05-21,110.123
2001-05-22,110.413
2001-05-23,108.717
2001-05-24,109.254
2001-05-25,109.092
2001-05-28,109.092
2001-05-29,108.525
2001-05-30,107.11
2001-05-31,107.359
2001-06-01,108.5
2001-06-04,109.904
2001-06-05,111.489
2001-06-06,110.301
2001-06-07,110.852
2001-06-08,110.197
2001-06-11,109.562
2001-06-12,109.76
2001-06-13,109.616
2001-06-14,107.734
2001-06-15,107.451
2001-06-18,106.39
2001-06-19,106.08
2001-06-20,107.033
2001-06-21,107.578
2001-06-22,105.822
2001-06-25,105.009
2001-06-26,106.972
2001-06-27,107.822
2001-06-28,108.97
2001-06-29,112.211
2001-07-02,109.801
2001-07-03,109.369
2001-07-04,109.369
2001-07-05,109.069
2001-07-06,107.562
2001-07-09,107.936
2001-07-10,107.06
2001-07-11,106.877
2001-07-12,108.941
2001-07-13,109.532
2001-07-16,108.497
2001-07-17,109.963
2001-07-18,109.443
2001-07-19,110.558
2001-07-20,110.565
2001-07-23,109.503
2001-07-24,107.718
2001-07-25,108.224
2001-07-26,109.677
2001-07-27,109.734
2001-07-30,109.824
2001-07-31,109.816
2001-08-01,110.375
2001-08-02,110.691
2001-08-03,110.391
2001-08-06,109.271
2001-08-07,109.316
2001-08-08,107.837
2001-08-09,108.214
2001-08-10,108.453
2001-08-13,108.804
2001-08-14,109.501
2001-08-15,109.849
2001-08-16,110.841
2001-08-17,109.61
2001-08-20,110.1
2001-08-21,108.776
2001-08-22,109.837
2001-08-23,108.819
2001-08-24,110.031
2001-08-27,109.338
2001-08-28,108.385
2001-08-29,108.397
2001-08-30,107.517
2001-08-31,107.51
2001-09-03,107.51
2001-09-04,107.705
2001-09-05,107.201
2001-09-06,105.533
2001-09-07,103.609
2001-09-10,102.056
2001-09-11,102.056
2001-09-12,102.056
2001-09-13,102.056
2001-09-14,102.056
2001-09-17,96.182
2001-09-18,94.582
2001-09-19,92.43
2001-09-20,88.631
2001-09-21,86.6
2001-09-24,89.931
2001-09-25,90.425
2001-09-26,89.229
2001-09-27,90.013
2001-09-28,93.047
2001-10-01,91.181
2001-10-02,92.27
2001-10-03,95.475
2001-10-04,96.725
2001-10-05,96.167
2001-10-08,95.37
2001-10-09,94.669
2001-10-10,98.058
2001-10-11,101.05
2001-10-12,100.492
2001-10-15,100.633
2001-10-16,101.768
2001-10-17,99.377
2001-10-18,98.584
2001-10-19,99.521
2001-10-22,100.917
2001-10-23,100.316
2001-10-24,100.65
2001-10-25,102.967
2001-10-26,103.905
2001-10-29,101.768
2001-10-30,99.684
2001-10-31,100.951
2001-11-01,102.777
2001-11-02,102.425
2001-11-05,103.61
2001-11-06,105.0
2001-11-07,105.006
2001-11-08,104.575
2001-11-09,104.112
2001-11-12,104.528
2001-11-13,106.806
2001-11-14,107.92
2001-11-15,106.951
2001-11-16,107.424
2001-11-19,109.33
2001-11-20,108.144
2001-11-21,107.845
2001-11-22,107.845
2001-11-23,109.366
2001-11-26,110.188
2001-11-27,110.219
2001-11-28,107.951
2001-11-29,110.017
2001-11-30,109.66
2001-12-03,108.798
2001-12-04,111.572
2001-12-05,114.933
2001-12-06,115.656
2001-12-07,115.286
2001-12-10,113.658
2001-12-11,113.858
2001-12-12,113.858
2001-12-13,112.16
2001-12-14,112.394
2001-12-17,114.031
2001-12-18,115.376
2001-12-19,114.868
2001-12-20,112.817
2001-12-21,115.092
2001-12-24,115.706
2001-12-25,115.706
2001-12-26,116.945
2001-12-27,117.636
2001-12-28,118.251
2001-12-31,116.962
2002-01-01,116.963
2002-01-02,116.796
2002-01-03,118.676
2002-01-04,119.861
2002-01-07,118.516
2002-01-08,119.22
2002-01-09,118.65
2002-01-10,118.57
2002-01-11,117.198
2002-01-14,115.23
2002-01-15,115.705
2002-01-16,113.36
2002-01-17,114.502
2002-01-18,112.742
