Date,SWITZERLAND GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,127.649
1975-02-28,141.252
1975-03-31,135.976
1975-04-30,141.031
1975-05-30,141.765
1975-06-30,138.569
1975-07-31,131.968
1975-08-29,126.078
1975-09-30,118.951
1975-10-31,134.286
1975-11-28,138.869
1975-12-31,145.637
1976-01-30,149.544
1976-02-27,151.36
1976-03-31,151.258
1976-04-30,149.389
1976-05-31,151.618
1976-06-30,155.338
1976-07-30,158.807
1976-08-31,162.167
1976-09-30,160.999
1976-10-29,156.169
1976-11-30,157.879
1976-12-31,167.51
1977-01-31,165.001
1977-02-28,162.098
1977-03-31,163.701
1977-04-29,157.134
1977-05-31,152.586
1977-06-30,156.332
1977-07-29,160.001
1977-08-31,167.212
1977-09-30,178.013
1977-10-31,187.506
1977-11-30,197.738
1977-12-30,215.605
1978-01-31,228.62
1978-02-28,230.585
1978-03-31,229.448
1978-04-28,212.444
1978-05-31,221.928
1978-06-30,230.684
1978-07-31,247.048
1978-08-31,271.442
1978-09-29,280.113
1978-10-31,287.416
1978-11-30,244.911
1978-12-29,268.39
1979-01-31,282.27
1979-02-28,284.074
1979-03-30,284.981
1979-04-30,275.368
1979-05-31,268.029
1979-06-29,284.035
1979-07-31,287.81
1979-08-31,295.748
1979-09-28,324.14
1979-10-31,294.002
1979-11-30,304.665
1979-12-31,313.877
1980-01-31,319.588
1980-02-29,300.117
1980-03-31,255.536
1980-04-30,289.421
1980-05-30,291.181
1980-06-30,303.356
1980-07-31,308.1
1980-08-29,310.873
1980-09-30,316.319
1980-10-31,309.157
1980-11-28,309.978
1980-12-31,305.593
1981-01-30,269.755
1981-02-27,267.316
1981-03-31,269.666
1981-04-30,247.643
1981-05-29,234.283
1981-06-30,244.784
1981-07-31,233.738
1981-08-31,227.862
1981-09-30,231.005
1981-10-30,251.514
1981-11-30,273.591
1981-12-31,269.3
1982-01-29,258.746
1982-02-26,248.782
1982-03-31,243.362
1982-04-30,243.234
1982-05-31,236.825
1982-06-30,215.575
1982-07-30,213.538
1982-08-31,214.784
1982-09-30,211.094
1982-10-29,225.427
1982-11-30,242.141
1982-12-31,263.62
1983-01-31,262.212
1983-02-28,262.645
1983-03-31,262.164
1983-04-29,272.1
1983-05-31,260.12
1983-06-30,263.172
1983-07-29,266.851
1983-08-31,255.431
1983-09-30,262.578
1983-10-31,268.132
1983-11-30,272.068
1983-12-30,287.328
1984-01-31,280.467
1984-02-29,286.905
1984-03-30,289.176
1984-04-30,285.186
1984-05-31,271.401
1984-06-29,258.765
1984-07-31,240.654
1984-08-31,256.515
1984-09-28,250.756
1984-10-31,255.135
1984-11-30,254.024
1984-12-31,254.942
1985-01-31,262.079
1985-02-28,247.713
1985-03-29,270.049
1985-04-30,287.695
1985-05-31,296.295
1985-06-28,324.276
1985-07-31,368.149
1985-08-30,389.429
1985-09-30,383.566
1985-10-31,442.961
1985-11-29,484.661
1985-12-31,522.452
1986-01-31,511.632
1986-02-28,540.323
1986-03-31,566.636
1986-04-30,637.971
1986-05-30,606.443
1986-06-30,639.435
1986-07-31,643.9
1986-08-29,721.698
1986-09-30,695.796
1986-10-31,702.524
1986-11-28,775.007
1986-12-31,787.369
1987-01-30,783.862
1987-02-27,759.3
1987-03-31,781.716
1987-04-30,771.976
1987-05-29,733.193
1987-06-30,771.417
1987-07-31,807.645
1987-08-31,830.295
1987-09-30,828.447
1987-10-30,667.713
1987-11-30,637.417
1987-12-31,645.554
1988-01-29,606.202
1988-02-29,640.218
1988-03-31,634.33
1988-04-29,626.31
1988-05-31,596.99
1988-06-30,600.704
1988-07-29,593.626
1988-08-31,577.328
1988-09-30,596.163
1988-10-31,656.65
1988-11-30,638.193
1988-12-30,632.396
1989-01-31,606.448
1989-02-28,620.894
1989-03-31,607.508
1989-04-28,633.361
1989-05-31,589.593
1989-06-30,690.633
1989-07-31,783.613
1989-08-31,767.868
1989-09-29,783.761
1989-10-31,753.759
1989-11-30,791.058
1989-12-29,817.598
1990-01-31,827.777
1990-02-28,821.793
1990-03-30,808.726
1990-04-30,801.743
1990-05-31,924.205
1990-06-29,935.728
1990-07-31,950.413
1990-08-31,854.577
1990-09-28,745.306
1990-10-31,809.034
1990-11-30,783.607
1990-12-31,786.649
1991-01-31,823.758
1991-02-28,875.971
1991-03-29,835.506
1991-04-30,837.302
1991-05-31,872.069
1991-06-28,786.534
1991-07-31,832.436
1991-08-30,818.742
1991-09-30,819.805
1991-10-31,829.069
1991-11-29,820.066
1991-12-31,885.38
1992-01-31,897.984
1992-02-28,894.977
1992-03-31,882.431
1992-04-30,896.274
1992-05-29,974.775
1992-06-30,1038.53
1992-07-31,1047.06
1992-08-31,1069.853
1992-09-30,1158.785
1992-10-30,1059.145
1992-11-30,1049.586
1992-12-31,1111.642
1993-01-29,1067.677
1993-02-26,1045.319
1993-03-31,1120.998
1993-04-30,1146.123
1993-05-31,1244.528
1993-06-30,1239.175
1993-07-30,1174.213
1993-08-31,1267.771
1993-09-30,1318.879
1993-10-29,1380.198
1993-11-30,1389.92
1993-12-31,1514.502
1994-01-31,1689.884
1994-02-28,1609.069
1994-03-31,1600.214
1994-04-29,1567.884
1994-05-31,1548.865
1994-06-30,1581.919
1994-07-29,1484.007
1994-08-31,1605.346
1994-09-30,1578.817
1994-10-31,1581.152
1994-11-30,1561.973
1994-12-30,1626.3
1995-01-31,1623.593
1995-02-28,1755.568
1995-03-31,1868.728
1995-04-28,1905.699
1995-05-31,1956.765
1995-06-30,2025.086
1995-07-31,2080.191
1995-08-31,2064.675
1995-09-29,2178.543
1995-10-31,2246.517
1995-11-30,2315.446
1995-12-29,2430.723
1996-01-31,2300.466
1996-02-29,2426.62
1996-03-29,2627.679
1996-04-30,2527.141
1996-05-31,2463.989
1996-06-28,2549.395
1996-07-31,2492.081
1996-08-30,2606.771
1996-09-30,2532.298
1996-10-31,2535.883
1996-11-29,2533.716
1996-12-31,2505.906
1997-01-31,2630.706
1997-02-28,2638.892
1997-03-31,2774.943
1997-04-30,2827.965
1997-05-30,2984.658
1997-06-30,3278.952
1997-07-31,3381.956
1997-08-29,3055.283
1997-09-30,3234.925
1997-10-31,3235.357
1997-11-28,3292.299
1997-12-31,3431.096
1998-01-30,3588.227
1998-02-27,3919.821
1998-03-31,3786.457
1998-04-30,3596.977
1998-05-29,3676.778
1998-06-30,3601.359
1998-07-31,3790.52
1998-08-31,3501.993
1998-09-30,3528.47
1998-10-30,3861.881
1998-11-30,4009.454
1998-12-31,4206.817
1999-01-29,4184.556
1999-02-26,4000.534
1999-03-31,3814.772
