Date,SWITZERLAND GROWTH Standard (Large+Mid Cap)
1992-08-31,916.657
1992-09-30,992.443
1992-10-30,906.718
1992-11-30,898.176
1992-12-31,950.935
1993-01-29,912.955
1993-02-26,893.481
1993-03-31,957.79
1993-04-30,978.816
1993-05-31,1062.452
1993-06-30,1057.483
1993-07-30,1001.63
1993-08-31,1081.041
1993-09-30,1124.184
1993-10-29,1176.055
1993-11-30,1183.924
1993-12-31,1289.651
1994-01-31,1438.607
1994-02-28,1369.337
1994-03-31,1361.322
1994-04-29,1333.308
1994-05-31,1316.617
1994-06-30,1344.163
1994-07-29,1260.412
1994-08-31,1362.969
1994-09-30,1339.866
1994-10-31,1341.261
1994-11-30,1324.478
1994-12-30,1378.485
1995-01-31,1375.61
1995-02-28,1486.877
1995-03-31,1582.033
1995-04-28,1612.668
1995-05-31,1655.255
1995-06-30,1712.399
1995-07-31,1758.327
1995-08-31,1744.586
1995-09-29,1840.118
1995-10-31,1896.852
1995-11-30,1954.417
1995-12-29,2051.049
1996-01-31,1940.477
1996-02-29,2046.225
1996-03-29,2215.081
1996-04-30,2129.606
1996-05-31,2075.65
1996-06-28,2146.894
1996-07-31,2097.821
1996-08-30,2193.643
1996-09-30,2130.274
1996-10-31,2132.586
1996-11-29,2130.102
1996-12-31,2106.081
1997-01-31,2210.352
1997-02-28,2216.608
1997-03-31,2330.24
1997-04-30,2374.131
1997-05-30,2505.017
1997-06-30,2751.376
1997-07-31,2837.188
1997-08-29,2562.505
1997-09-30,2712.552
1997-10-31,2712.268
1997-11-28,2759.372
1997-12-31,2875.083
1998-01-30,3006.14
1998-02-27,3283.322
1998-03-31,3170.933
1998-04-30,3011.514
1998-05-29,3077.574
1998-06-30,3013.713
1998-07-31,3171.262
1998-08-31,2929.103
1998-09-30,2950.386
1998-10-30,3228.189
1998-11-30,3350.589
1998-12-31,3514.55
1999-01-29,3495.012
1999-02-26,3340.385
1999-03-31,3184.467
1999-04-30,2997.136
1999-05-31,2924.464
1999-06-30,2857.328
1999-07-30,2928.77
1999-08-31,2940.169
1999-09-30,2936.364
1999-10-29,2978.791
1999-11-30,2993.07
1999-12-31,2983.533
2000-01-31,2669.254
2000-02-29,2649.921
2000-03-31,2783.134
2000-04-28,2765.659
2000-05-31,2824.257
2000-06-30,2891.606
2000-07-31,2816.485
2000-08-31,2696.07
2000-09-29,2630.863
2000-10-31,2633.49
2000-11-30,2806.898
2000-12-29,3010.77
2001-01-31,2839.857
2001-02-28,2696.681
2001-03-30,2492.985
2001-04-30,2541.152
2001-05-31,2516.265
2001-06-29,2405.693
2001-07-31,2351.595
2001-08-31,2358.446
2001-09-28,2352.776
2001-10-31,2332.897
2001-11-30,2320.303
2001-12-31,2385.684
2002-01-31,2341.279
2002-02-28,2491.23
2002-03-29,2576.881
2002-04-30,2721.263
2002-05-31,2787.317
2002-06-28,2752.082
2002-07-31,2489.881
2002-08-30,2485.003
2002-09-30,2415.167
2002-10-31,2360.191
2002-11-29,2316.652
2002-12-31,2323.919
2003-01-31,2283.128
2003-02-28,2247.258
2003-03-31,2257.473
2003-04-30,2409.999
2003-05-30,2452.51
2003-06-30,2493.976
2003-07-31,2614.241
2003-08-29,2483.291
2003-09-30,2604.322
2003-10-31,2717.492
2003-11-28,2877.785
2003-12-31,3111.36
2004-01-30,3161.803
2004-02-27,3170.191
2004-03-31,3082.742
2004-04-30,3160.444
2004-05-31,3203.889
2004-06-30,3152.255
2004-07-30,3088.344
2004-08-31,3067.461
2004-09-30,3159.209
2004-10-29,3179.138
2004-11-30,3348.095
2004-12-31,3510.349
2005-01-31,3352.75
2005-02-28,3504.865
2005-03-31,3407.37
2005-04-29,3522.917
2005-05-31,3567.536
2005-06-30,3522.025
2005-07-29,3704.443
2005-08-31,3728.056
2005-09-30,3850.669
2005-10-31,3987.962
2005-11-30,4007.442
2005-12-30,4087.133
2006-01-31,4312.295
2006-02-28,4225.425
2006-03-31,4368.847
2006-04-28,4580.482
2006-05-31,4478.682
2006-06-30,4481.025
2006-07-31,4658.377
2006-08-31,4760.743
2006-09-29,4763.015
2006-10-31,4955.02
2006-11-30,5055.052
2006-12-29,5116.768
2007-01-31,5227.018
2007-02-28,5025.097
2007-03-30,5147.534
2007-04-30,5500.695
2007-05-31,5403.416
2007-06-29,5330.614
2007-07-31,5285.682
2007-08-31,5123.973
2007-09-28,5343.485
2007-10-31,5420.639
2007-11-30,5586.636
2007-12-31,5375.788
2008-01-31,5096.311
2008-02-29,5378.462
2008-03-31,5506.381
2008-04-30,5378.404
2008-05-30,5562.0
2008-06-30,5373.911
2008-07-31,5365.391
2008-08-29,5146.989
2008-09-30,4635.161
2008-10-31,4107.332
2008-11-28,3814.067
2008-12-31,4162.577
2009-01-30,3694.124
2009-02-27,3326.181
2009-03-31,3556.699
2009-04-30,3696.65
2009-05-29,4039.473
2009-06-30,4006.321
2009-07-31,4450.732
2009-08-31,4709.922
2009-09-30,4876.049
2009-10-30,4923.328
2009-11-30,5007.645
2009-12-31,5092.414
2010-01-29,4914.836
2010-02-26,4994.294
2010-03-31,5266.712
2010-04-30,5011.198
2010-05-31,4459.514
2010-06-30,4671.032
2010-07-30,4835.026
2010-08-31,5005.618
2010-09-30,5300.627
2010-10-29,5431.158
2010-11-30,5273.221
2010-12-31,5705.262
2011-01-31,5628.64
2011-02-28,5825.675
2011-03-31,5780.306
2011-04-29,6404.175
2011-05-31,6544.774
2011-06-30,6292.433
2011-07-29,6305.491
2011-08-31,5899.779
2011-09-30,5097.018
2011-10-31,5595.779
2011-11-30,5346.176
2011-12-30,5398.676
2012-01-31,5625.152
2012-02-29,5902.983
2012-03-30,6010.702
2012-04-30,5971.563
2012-05-31,5304.967
2012-06-29,5635.906
2012-07-31,5806.966
2012-08-31,5903.028
2012-09-28,6045.44
2012-10-31,6164.004
2012-11-30,6456.697
2012-12-31,6531.25
2013-01-31,7074.371
2013-02-28,7134.076
2013-03-29,7222.397
2013-04-30,7514.801
2013-05-31,7338.319
2013-06-28,7188.487
2013-07-31,7477.547
2013-08-30,7382.904
2013-09-30,7912.385
2013-10-31,8083.41
2013-11-29,8110.248
2013-12-31,8183.514
2014-01-31,8015.675
2014-02-28,8594.609
2014-03-31,8574.152
2014-04-30,8672.822
2014-05-30,8729.101
2014-06-30,8672.753
2014-07-31,8329.429
2014-08-29,8482.726
2014-09-30,8201.76
2014-10-31,8158.256
2014-11-28,8470.889
2014-12-31,8038.832
2015-01-30,8082.628
2015-02-27,8477.015
2015-03-31,8386.007
2015-04-30,8785.042
2015-05-29,8917.818
2015-06-30,8538.598
2015-07-31,8922.384
2015-08-31,8278.192
2015-09-30,7913.545
2015-10-30,8286.739
2015-11-30,8039.98
2015-12-31,8133.148
2016-01-29,7548.147
2016-02-29,7432.855
2016-03-31,7698.624
2016-04-29,7922.462
2016-05-31,7906.837
2016-06-30,7991.93
2016-07-29,8192.961
2016-08-31,8084.511
2016-09-30,8159.274
2016-10-31,7599.205
2016-11-30,7314.605
2016-12-30,7647.338
2017-01-31,7955.287
2017-02-28,8154.126
2017-03-31,8398.868
2017-04-28,8654.843
2017-05-31,9242.787
2017-06-30,9072.564
2017-07-31,9059.132
2017-08-31,9085.212
2017-09-29,9245.067
2017-10-31,9036.733
2017-11-30,9227.239
2017-12-29,9376.542
2018-01-31,9623.516
2018-02-28,8936.363
2018-03-30,8826.812
2018-04-30,8861.633
2018-05-31,8699.0
2018-06-29,8774.797
2018-07-31,9296.319
2018-08-31,9485.715
2018-09-28,9346.747
2018-10-31,8850.43
2018-11-30,8820.267
2018-12-31,8340.985
2019-01-31,8889.927
2019-02-28,9293.244
2019-03-29,9528.779
2019-04-30,9653.415
2019-05-31,9661.131
2019-06-28,10335.169
2019-07-31,10307.747
2019-08-30,10400.671
2019-09-30,10380.739
2019-10-31,10536.689
2019-11-29,10616.306
2019-12-31,11088.021
2020-01-31,11279.558
2020-02-28,10488.816
2020-03-31,10280.4
2020-04-30,10782.211
2020-05-29,11146.16
2020-06-30,11388.462
2020-07-31,12063.764
2020-08-31,12300.206
2020-09-30,12141.361
2020-10-30,11542.484
2020-11-30,11995.209
2020-12-31,12653.442
2021-01-29,12389.789
2021-02-26,11962.408
2021-03-31,12329.016
2021-04-30,13034.062
