Date,SWITZERLAND GROWTH Standard (Large+Mid Cap)
2001-01-01,3629.216
2001-01-02,3658.111
2001-01-03,3675.357
2001-01-04,3618.76
2001-01-05,3547.928
2001-01-08,3505.92
2001-01-09,3477.04
2001-01-10,3427.535
2001-01-11,3443.79
2001-01-12,3401.725
2001-01-15,3381.534
2001-01-16,3378.656
2001-01-17,3369.944
2001-01-18,3433.339
2001-01-19,3377.637
2001-01-22,3383.058
2001-01-23,3403.501
2001-01-24,3360.725
2001-01-25,3392.374
2001-01-26,3413.598
2001-01-29,3404.623
2001-01-30,3416.313
2001-01-31,3423.196
2001-02-01,3430.084
2001-02-02,3408.043
2001-02-05,3451.674
2001-02-06,3431.9
2001-02-07,3421.56
2001-02-08,3383.114
2001-02-09,3390.408
2001-02-12,3408.146
2001-02-13,3355.253
2001-02-14,3285.4
2001-02-15,3287.269
2001-02-16,3295.739
2001-02-19,3317.489
2001-02-20,3257.64
2001-02-21,3275.707
2001-02-22,3246.14
2001-02-23,3217.326
2001-02-26,3230.736
2001-02-27,3263.759
2001-02-28,3250.61
2001-03-01,3274.17
2001-03-02,3307.47
2001-03-05,3315.55
2001-03-06,3295.803
2001-03-07,3279.554
2001-03-08,3257.815
2001-03-09,3242.481
2001-03-12,3202.422
2001-03-13,3143.31
2001-03-14,3060.625
2001-03-15,3082.689
2001-03-16,2985.335
2001-03-19,2954.374
2001-03-20,2956.471
2001-03-21,2926.972
2001-03-22,2768.274
2001-03-23,2855.27
2001-03-26,2961.985
2001-03-27,2975.32
2001-03-28,2951.728
2001-03-29,2961.896
2001-03-30,3012.83
2001-04-02,2932.949
2001-04-03,2903.204
2001-04-04,2952.61
2001-04-05,3012.248
2001-04-06,3008.875
2001-04-09,3074.036
2001-04-10,3070.419
2001-04-11,3072.42
2001-04-12,3105.985
2001-04-13,3105.985
2001-04-16,3074.393
2001-04-17,3070.385
2001-04-18,3059.978
2001-04-19,3079.268
2001-04-20,3097.501
2001-04-23,3059.181
2001-04-24,3077.521
2001-04-25,3076.866
2001-04-26,3097.504
2001-04-27,3085.153
2001-04-30,3082.058
2001-05-01,3091.235
2001-05-02,3098.103
2001-05-03,3076.191
2001-05-04,3100.756
2001-05-07,3143.04
2001-05-08,3128.384
2001-05-09,3093.219
2001-05-10,3119.29
2001-05-11,3139.376
2001-05-14,3122.553
2001-05-15,3160.279
2001-05-16,3197.528
2001-05-17,3196.004
2001-05-18,3187.985
2001-05-21,3192.926
2001-05-22,3184.967
2001-05-23,3171.539
2001-05-24,3163.694
2001-05-25,3144.162
2001-05-28,3155.184
2001-05-29,3121.614
2001-05-30,3126.537
2001-05-31,3052.342
2001-06-01,3055.323
2001-06-04,3062.311
2001-06-05,3099.443
2001-06-06,3095.208
2001-06-07,3109.347
2001-06-08,3085.101
2001-06-11,3042.544
2001-06-12,3033.289
2001-06-13,3063.288
2001-06-14,3053.626
2001-06-15,3046.197
2001-06-18,3039.77
2001-06-19,2952.793
2001-06-20,2948.32
2001-06-21,2955.511
2001-06-22,2897.972
2001-06-25,2906.6
2001-06-26,2867.36
2001-06-27,2831.439
2001-06-28,2868.561
2001-06-29,2914.374
2001-07-02,2939.075
2001-07-03,2906.437
2001-07-04,2880.614
2001-07-05,2831.641
2001-07-06,2821.833
2001-07-09,2833.513
2001-07-10,2793.696
2001-07-11,2799.446
2001-07-12,2810.659
2001-07-13,2820.932
2001-07-16,2822.224
2001-07-17,2802.707
2001-07-18,2871.427
2001-07-19,2933.062
2001-07-20,2913.764
2001-07-23,2887.154
2001-07-24,2825.533
2001-07-25,2781.697
2001-07-26,2784.953
2001-07-27,2821.257
2001-07-30,2832.742
2001-07-31,2848.837
2001-08-01,2896.952
2001-08-02,2918.994
2001-08-03,2914.925
2001-08-06,2915.298
2001-08-07,2895.884
2001-08-08,2881.954
2001-08-09,2848.999
2001-08-10,2804.398
2001-08-13,2875.021
2001-08-14,2883.576
2001-08-15,2888.385
2001-08-16,2888.927
2001-08-17,2890.313
2001-08-20,2853.407
2001-08-21,2931.035
2001-08-22,2926.691
2001-08-23,2890.979
2001-08-24,2905.935
