Date,SWITZERLAND GROWTH Standard (Large+Mid Cap)
2001-01-01,3010.77
2001-01-02,3034.741
2001-01-03,3049.048
2001-01-04,3002.095
2001-01-05,2943.333
2001-01-08,2908.484
2001-01-09,2884.525
2001-01-10,2843.457
2001-01-11,2856.942
2001-01-12,2822.045
2001-01-15,2805.295
2001-01-16,2802.907
2001-01-17,2795.679
2001-01-18,2848.271
2001-01-19,2802.062
2001-01-22,2806.558
2001-01-23,2823.518
2001-01-24,2788.032
2001-01-25,2814.287
2001-01-26,2831.895
2001-01-29,2824.449
2001-01-30,2834.147
2001-01-31,2839.857
2001-02-01,2845.571
2001-02-02,2827.286
2001-02-05,2863.482
2001-02-06,2847.078
2001-02-07,2838.5
2001-02-08,2806.605
2001-02-09,2812.656
2001-02-12,2827.371
2001-02-13,2783.492
2001-02-14,2725.542
2001-02-15,2727.093
2001-02-16,2734.119
2001-02-19,2752.163
2001-02-20,2702.513
2001-02-21,2717.501
2001-02-22,2692.973
2001-02-23,2669.069
2001-02-26,2680.194
2001-02-27,2707.589
2001-02-28,2696.681
2001-03-01,2716.226
2001-03-02,2743.852
2001-03-05,2750.555
2001-03-06,2734.172
2001-03-07,2720.693
2001-03-08,2702.658
2001-03-09,2689.937
2001-03-12,2656.705
2001-03-13,2607.666
2001-03-14,2539.071
2001-03-15,2557.375
2001-03-16,2476.611
2001-03-19,2450.926
2001-03-20,2452.665
2001-03-21,2428.193
2001-03-22,2296.538
2001-03-23,2368.71
2001-03-26,2455.542
2001-03-27,2461.947
2001-03-28,2442.426
2001-03-29,2450.839
2001-03-30,2492.985
2001-04-02,2426.887
2001-04-03,2402.274
2001-04-04,2443.156
2001-04-05,2492.504
2001-04-06,2489.36
2001-04-09,2543.271
2001-04-10,2540.278
2001-04-11,2537.835
2001-04-12,2565.56
2001-04-13,2565.56
2001-04-16,2539.464
2001-04-17,2531.527
2001-04-18,2522.947
2001-04-19,2538.851
2001-04-20,2553.885
2001-04-23,2522.29
2001-04-24,2537.411
2001-04-25,2536.871
2001-04-26,2553.887
2001-04-27,2543.704
2001-04-30,2541.152
2001-05-01,2548.718
2001-05-02,2554.38
2001-05-03,2536.315
2001-05-04,2556.568
2001-05-07,2591.432
2001-05-08,2579.347
2001-05-09,2550.354
2001-05-10,2571.85
2001-05-11,2588.41
2001-05-14,2574.193
2001-05-15,2605.293
2001-05-16,2636.002
2001-05-17,2634.745
2001-05-18,2628.134
2001-05-21,2632.158
2001-05-22,2625.597
2001-05-23,2614.527
2001-05-24,2608.06
2001-05-25,2591.958
2001-05-28,2601.045
2001-05-29,2573.371
2001-05-30,2577.429
2001-05-31,2516.265
2001-06-01,2517.245
2001-06-04,2523.003
2001-06-05,2553.596
2001-06-06,2550.106
2001-06-07,2561.755
2001-06-08,2541.779
2001-06-11,2506.717
2001-06-12,2499.091
2001-06-13,2523.808
2001-06-14,2515.847
2001-06-15,2509.727
2001-06-18,2504.432
2001-06-19,2432.772
2001-06-20,2429.087
2001-06-21,2435.011
2001-06-22,2387.606
2001-06-25,2399.276
2001-06-26,2366.885
2001-06-27,2337.233
2001-06-28,2367.876
2001-06-29,2405.693
2001-07-02,2426.083
2001-07-03,2399.141
2001-07-04,2377.825
2001-07-05,2337.401
2001-07-06,2329.304
2001-07-09,2338.946
2001-07-10,2306.078
2001-07-11,2310.825
2001-07-12,2320.081
2001-07-13,2328.561
2001-07-16,2329.627
2001-07-17,2313.516
2001-07-18,2370.242
2001-07-19,2421.119
2001-07-20,2405.19
2001-07-23,2383.224
2001-07-24,2332.358
2001-07-25,2296.173
2001-07-26,2298.861
2001-07-27,2328.828
2001-07-30,2338.309
2001-07-31,2351.595
2001-08-01,2391.312
2001-08-02,2409.506
2001-08-03,2406.147
2001-08-06,2406.456
2001-08-07,2390.43
2001-08-08,2378.932
2001-08-09,2351.729
2001-08-10,2314.912
2001-08-13,2373.208
2001-08-14,2380.271
2001-08-15,2384.24
2001-08-16,2384.688
2001-08-17,2385.832
2001-08-20,2355.367
2001-08-21,2419.446
2001-08-22,2415.861
2001-08-23,2386.381
2001-08-24,2398.727
2001-08-27,2408.821
