Date,AUSTRALIA SMID CAP SMID (Small+Mid Cap)
1994-05-31,157.854
1994-06-30,150.393
1994-07-29,156.947
1994-08-31,161.0
1994-09-30,156.173
1994-10-31,155.445
1994-11-30,147.699
1994-12-30,150.487
1995-01-31,139.333
1995-02-28,138.435
1995-03-31,137.475
1995-04-28,147.238
1995-05-31,143.154
1995-06-30,140.436
1995-07-31,150.643
1995-08-31,156.79
1995-09-29,161.795
1995-10-31,158.999
1995-11-30,161.718
1995-12-29,167.551
1996-01-31,177.607
1996-02-29,184.918
1996-03-29,186.368
1996-04-30,194.373
1996-05-31,197.74
1996-06-28,193.661
1996-07-31,185.336
1996-08-30,200.816
1996-09-30,204.526
1996-10-31,211.696
1996-11-29,221.649
1996-12-31,219.114
1997-01-31,208.163
1997-02-28,217.2
1997-03-31,216.891
1997-04-30,218.861
1997-05-30,222.158
1997-06-30,225.821
1997-07-31,225.647
1997-08-29,213.832
1997-09-30,220.994
1997-10-31,189.169
1997-11-28,180.911
1997-12-31,183.134
1998-01-30,196.308
1998-02-27,198.14
1998-03-31,193.86
1998-04-30,191.215
1998-05-29,179.875
1998-06-30,165.76
1998-07-31,166.839
1998-08-31,146.176
1998-09-30,161.487
1998-10-30,173.073
1998-11-30,180.289
1998-12-31,179.484
1999-01-29,188.881
1999-02-26,190.834
1999-03-31,198.779
1999-04-30,213.909
1999-05-31,201.395
1999-06-30,206.946
1999-07-30,211.8
1999-08-31,208.404
1999-09-30,212.517
1999-10-29,203.925
1999-11-30,211.285
1999-12-31,223.318
2000-01-31,209.548
2000-02-29,199.873
2000-03-31,203.795
2000-04-28,188.099
2000-05-31,181.407
2000-06-30,205.571
2000-07-31,201.587
2000-08-31,205.992
2000-09-29,188.01
2000-10-31,182.866
2000-11-30,188.761
2000-12-29,200.68
2001-01-31,203.197
2001-02-28,192.447
2001-03-30,173.848
2001-04-30,187.6
2001-05-31,189.337
2001-06-29,199.292
2001-07-31,195.314
2001-08-31,204.097
2001-09-28,181.925
2001-10-31,197.602
2001-11-30,207.885
2001-12-31,208.602
2002-01-31,210.279
2002-02-28,212.99
2002-03-29,223.727
2002-04-30,220.747
2002-05-31,237.458
2002-06-28,227.626
2002-07-31,212.318
2002-08-30,222.545
2002-09-30,212.071
2002-10-31,214.431
2002-11-29,220.05
2002-12-31,223.746
2003-01-31,231.458
2003-02-28,231.623
2003-03-31,234.68
2003-04-30,254.586
2003-05-30,266.446
2003-06-30,280.543
2003-07-31,283.025
2003-08-29,291.491
2003-09-30,310.403
2003-10-31,341.919
2003-11-28,341.998
2003-12-31,369.312
2004-01-30,368.438
2004-02-27,386.932
2004-03-31,393.412
2004-04-30,369.19
2004-05-31,372.717
2004-06-30,374.143
2004-07-30,390.665
2004-08-31,407.279
2004-09-30,434.141
2004-10-29,469.133
2004-11-30,505.05
2004-12-31,528.408
2005-01-31,533.746
2005-02-28,540.665
2005-03-31,527.115
2005-04-29,507.117
2005-05-31,501.041
2005-06-30,536.676
2005-07-29,551.833
2005-08-31,565.61
2005-09-30,602.593
2005-10-31,562.647
2005-11-30,585.706
2005-12-30,600.564
2006-01-31,632.673
2006-02-28,624.075
2006-03-31,628.957
2006-04-28,679.637
2006-05-31,649.344
2006-06-30,652.325
2006-07-31,666.013
2006-08-31,678.331
2006-09-29,685.796
2006-10-31,744.31
2006-11-30,792.931
2006-12-29,826.857
2007-01-31,818.78
2007-02-28,848.451
2007-03-30,901.607
2007-04-30,968.999
