Date,AUSTRALIA SMID CAP SMID (Small+Mid Cap)
2009-10-30,712.582
2009-11-30,728.083
2009-12-31,755.626
2010-01-29,697.482
2010-02-26,701.464
2010-03-31,760.797
2010-04-30,766.79
2010-05-31,633.182
2010-06-30,618.185
2010-07-30,690.931
2010-08-31,686.08
2010-09-30,789.84
2010-10-29,814.278
2010-11-30,793.868
2010-12-31,892.874
2011-01-31,859.637
2011-02-28,900.817
2011-03-31,918.396
2011-04-29,947.852
2011-05-31,916.207
2011-06-30,889.02
2011-07-29,902.48
2011-08-31,851.423
2011-09-30,705.471
2011-10-31,831.049
2011-11-30,777.273
2011-12-30,755.19
2012-01-31,830.568
2012-02-29,881.257
2012-03-30,851.966
2012-04-30,857.871
2012-05-31,739.053
2012-06-29,756.68
2012-07-31,787.878
2012-08-31,785.235
2012-09-28,807.946
2012-10-31,828.729
2012-11-30,831.442
2012-12-31,852.451
2013-01-31,901.538
2013-02-28,916.808
2013-03-29,917.426
2013-04-30,914.262
2013-05-31,816.688
2013-06-28,742.824
2013-07-31,754.271
2013-08-30,767.169
2013-09-30,828.214
2013-10-31,859.036
2013-11-29,803.254
2013-12-31,799.256
2014-01-31,764.171
2014-02-28,827.884
2014-03-31,852.709
2014-04-30,864.378
2014-05-30,875.406
2014-06-30,879.806
2014-07-31,905.968
2014-08-29,923.574
2014-09-30,819.062
2014-10-31,846.41
2014-11-28,802.995
2014-12-31,791.107
2015-01-30,776.752
2015-02-27,839.609
2015-03-31,814.739
2015-04-30,837.323
2015-05-29,836.443
2015-06-30,778.615
2015-07-31,778.828
2015-08-31,718.287
2015-09-30,697.946
2015-10-30,751.534
2015-11-30,765.013
2015-12-31,782.286
2016-01-29,730.011
2016-02-29,750.078
2016-03-31,845.951
2016-04-29,859.051
2016-05-31,847.744
2016-06-30,861.574
2016-07-29,943.454
2016-08-31,926.485
2016-09-30,935.242
2016-10-31,896.054
2016-11-30,881.165
2016-12-30,902.103
2017-01-31,932.889
2017-02-28,965.491
2017-03-31,990.352
2017-04-28,980.548
2017-05-31,977.935
2017-06-30,1014.714
2017-07-31,1040.573
2017-08-31,1059.525
2017-09-29,1046.111
2017-10-31,1078.23
2017-11-30,1099.137
2017-12-29,1153.652
2018-01-31,1184.526
2018-02-28,1147.28
2018-03-30,1098.349
2018-04-30,1127.94
2018-05-31,1143.126
2018-06-29,1141.102
2018-07-31,1159.696
2018-08-31,1154.523
2018-09-28,1139.885
2018-10-31,1035.041
2018-11-30,1025.201
2018-12-31,964.634
2019-01-31,1059.394
2019-02-28,1086.249
2019-03-29,1088.618
2019-04-30,1114.289
2019-05-31,1104.984
2019-06-28,1145.323
2019-07-31,1171.963
2019-08-30,1129.143
2019-09-30,1147.351
2019-10-31,1172.136
2019-11-29,1185.441
2019-12-31,1202.443
2020-01-31,1193.885
2020-02-28,1035.793
2020-03-31,742.526
2020-04-30,910.551
2020-05-29,996.09
2020-06-30,1043.055
2020-07-31,1087.391
2020-08-31,1181.222
2020-09-30,1109.352
2020-10-30,1109.252
2020-11-30,1272.793
2020-12-31,1330.985
2021-01-29,1313.09
2021-02-26,1321.759
2021-03-31,1342.246
2021-04-30,1413.254
2021-05-31,1430.439
2021-06-30,1429.708
2021-07-30,1397.985
2021-08-31,1459.475
2021-09-30,1432.028
2021-10-29,1490.036
2021-11-30,1412.085
2021-12-31,1488.816
2022-01-31,1322.469
2022-02-28,1386.454
2022-03-31,1503.119
2022-04-29,1417.412
2022-05-31,1367.423
2022-06-30,1177.16
2022-07-29,1285.931
2022-08-31,1286.803
2022-09-30,1110.023
2022-10-31,1173.061
2022-11-30,1289.467
2022-12-30,1250.971
2023-01-31,1382.167
2023-02-28,1305.073
2023-03-31,1286.868
2023-04-28,1312.338
2023-05-31,1267.613
2023-06-30,1314.404
2023-07-31,1374.731
2023-08-31,1306.263
2023-09-29,1247.113
2023-10-31,1158.661
2023-11-30,1273.49
2023-12-29,1397.701
2024-01-31,1362.082
2024-02-29,1387.344
2024-03-29,1444.603
2024-04-30,1397.454
2024-05-31,1420.954
2024-06-28,1418.256
2024-07-31,1443.0
2024-08-30,1501.461
2024-09-30,1596.127
2024-10-31,1472.444
2024-11-29,1533.534
2024-12-31,1399.629
2025-01-31,1489.234
2025-02-28,1447.719
2025-03-31,1401.015
2025-04-30,1480.668
2025-05-30,1565.816
2025-06-30,1606.887
2025-07-31,1607.074
