Date,SINGAPORE GROWTH Standard (Large+Mid Cap)
2010-04-30,2335.657
2010-05-31,2135.733
2010-06-30,2214.302
2010-07-30,2411.377
2010-08-31,2411.607
2010-09-30,2635.302
2010-10-29,2787.697
2010-11-30,2724.128
2010-12-31,2909.502
2011-01-31,2823.051
2011-02-28,2692.766
2011-03-31,2847.708
2011-04-29,3007.937
2011-05-31,2898.13
2011-06-30,2827.442
2011-07-29,2920.311
2011-08-31,2595.721
2011-09-30,2188.265
2011-10-31,2500.437
2011-11-30,2274.886
2011-12-30,2250.413
2012-01-31,2562.577
2012-02-29,2649.983
2012-03-30,2622.895
2012-04-30,2628.465
2012-05-31,2316.533
2012-06-29,2451.696
2012-07-31,2626.523
2012-08-31,2640.408
2012-09-28,2723.512
2012-10-31,2691.707
2012-11-30,2715.093
2012-12-31,2801.76
2013-01-31,2851.986
2013-02-28,2849.325
2013-03-29,2865.729
2013-04-30,2886.228
2013-05-31,2743.349
2013-06-28,2625.196
2013-07-31,2704.791
2013-08-30,2556.647
2013-09-30,2739.812
2013-10-31,2836.614
2013-11-29,2784.177
2013-12-31,2750.177
2014-01-31,2545.162
2014-02-28,2642.282
2014-03-31,2703.323
2014-04-30,2812.795
2014-05-30,2845.282
2014-06-30,2854.813
2014-07-31,2971.834
2014-08-29,2894.192
2014-09-30,2762.308
2014-10-31,2745.247
2014-11-28,2761.778
2014-12-31,2742.44
2015-01-30,2646.215
2015-02-27,2622.902
2015-03-31,2603.503
2015-04-30,2838.548
2015-05-29,2680.228
2015-06-30,2643.859
2015-07-31,2510.873
2015-08-31,2231.867
2015-09-30,2108.81
2015-10-30,2324.674
2015-11-30,2198.98
2015-12-31,2238.806
2016-01-29,2015.742
2016-02-29,2082.049
2016-03-31,2318.59
2016-04-29,2330.333
2016-05-31,2259.435
2016-06-30,2382.359
2016-07-29,2430.981
2016-08-31,2381.479
2016-09-30,2404.502
2016-10-31,2282.856
2016-11-30,2262.993
2016-12-30,2214.27
2017-01-31,2409.502
2017-02-28,2477.233
2017-03-31,2499.144
2017-04-28,2517.328
2017-05-31,2532.451
2017-06-30,2542.98
2017-07-31,2673.949
2017-08-31,2631.529
2017-09-29,2598.567
2017-10-31,2720.39
2017-11-30,2804.678
2017-12-29,2842.715
2018-01-31,3040.438
2018-02-28,3060.056
2018-03-30,3008.226
2018-04-30,3245.144
2018-05-31,3079.244
2018-06-29,2843.456
2018-07-31,2863.793
2018-08-31,2775.171
2018-09-28,2849.905
2018-10-31,2563.15
2018-11-30,2675.72
2018-12-31,2646.674
2019-01-31,2813.057
2019-02-28,2800.392
2019-03-29,2820.926
2019-04-30,2999.838
2019-05-31,2701.67
2019-06-28,2978.649
2019-07-31,2980.954
2019-08-30,2818.649
