Date,SINGAPORE GROWTH Standard (Large+Mid Cap)
2001-01-01,1216.074
2001-01-02,1194.808
2001-01-03,1180.231
2001-01-04,1217.269
2001-01-05,1252.709
2001-01-08,1230.836
2001-01-09,1257.477
2001-01-10,1235.072
2001-01-11,1217.165
2001-01-12,1242.454
2001-01-15,1253.08
2001-01-16,1239.517
2001-01-17,1230.357
2001-01-18,1214.371
2001-01-19,1239.851
2001-01-22,1231.106
2001-01-23,1229.234
2001-01-24,1229.234
2001-01-25,1230.364
2001-01-26,1220.369
2001-01-29,1230.888
2001-01-30,1232.902
2001-01-31,1258.514
2001-02-01,1250.371
2001-02-02,1241.977
2001-02-05,1225.923
2001-02-06,1227.221
2001-02-07,1228.054
2001-02-08,1262.826
2001-02-09,1256.825
2001-02-12,1267.483
2001-02-13,1270.196
2001-02-14,1250.946
2001-02-15,1248.862
2001-02-16,1249.243
2001-02-19,1227.149
2001-02-20,1247.378
2001-02-21,1237.235
2001-02-22,1217.492
2001-02-23,1221.551
2001-02-26,1231.45
2001-02-27,1213.213
2001-02-28,1208.369
2001-03-01,1193.08
2001-03-02,1189.254
2001-03-05,1177.934
2001-03-06,1178.941
2001-03-07,1177.615
2001-03-08,1177.394
2001-03-09,1171.122
2001-03-12,1147.47
2001-03-13,1109.547
2001-03-14,1101.015
2001-03-15,1101.083
2001-03-16,1080.062
2001-03-19,1058.807
2001-03-20,1051.27
2001-03-21,1044.859
2001-03-22,1020.67
2001-03-23,1047.272
2001-03-26,1036.233
2001-03-27,987.599
2001-03-28,969.249
2001-03-29,945.847
2001-03-30,970.224
2001-04-02,940.831
2001-04-03,948.626
2001-04-04,944.745
2001-04-05,967.169
2001-04-06,968.772
2001-04-09,918.67
2001-04-10,936.559
2001-04-11,940.024
2001-04-12,908.096
2001-04-13,908.096
2001-04-16,913.368
2001-04-17,900.723
2001-04-18,941.751
2001-04-19,955.506
2001-04-20,954.616
2001-04-23,974.31
2001-04-24,966.094
2001-04-25,962.374
2001-04-26,950.102
2001-04-27,966.823
2001-04-30,981.825
2001-05-01,985.884
2001-05-02,994.033
2001-05-03,989.159
2001-05-04,966.692
2001-05-07,965.368
2001-05-08,961.931
2001-05-09,956.596
2001-05-10,967.096
2001-05-11,976.233
2001-05-14,957.148
2001-05-15,961.341
2001-05-16,951.115
2001-05-17,968.865
2001-05-18,963.381
2001-05-21,963.144
2001-05-22,966.668
2001-05-23,964.15
2001-05-24,964.105
2001-05-25,951.833
2001-05-28,939.376
2001-05-29,942.459
2001-05-30,928.664
2001-05-31,923.393
2001-06-01,919.367
2001-06-04,929.422
2001-06-05,940.305
2001-06-06,936.11
2001-06-07,941.114
2001-06-08,966.557
2001-06-11,952.976
2001-06-12,941.18
2001-06-13,934.057
2001-06-14,921.967
2001-06-15,934.808
2001-06-18,934.607
2001-06-19,926.877
2001-06-20,904.492
2001-06-21,893.737
2001-06-22,908.056
2001-06-25,888.677
2001-06-26,901.076
2001-06-27,895.109
2001-06-28,910.323
2001-06-29,917.704
2001-07-02,913.963
2001-07-03,916.119
2001-07-04,915.7
2001-07-05,914.753
2001-07-06,897.235
2001-07-09,896.97
2001-07-10,908.449
2001-07-11,897.575
2001-07-12,899.221
2001-07-13,888.114
2001-07-16,884.782
2001-07-17,879.686
2001-07-18,867.657
2001-07-19,874.503
2001-07-20,888.905
2001-07-23,887.999
2001-07-24,889.969
2001-07-25,890.997
2001-07-26,896.322
2001-07-27,903.319
2001-07-30,913.366
2001-07-31,931.859
2001-08-01,942.936
2001-08-02,959.011
2001-08-03,948.304
2001-08-06,952.131
2001-08-07,954.651
2001-08-08,949.782
2001-08-09,949.835
2001-08-10,962.876
2001-08-13,961.499
2001-08-14,975.25
2001-08-15,980.488
2001-08-16,972.231
2001-08-17,966.297
2001-08-20,948.07
2001-08-21,954.905
2001-08-22,960.262
2001-08-23,965.73
2001-08-24,955.028
2001-08-27,960.924
2001-08-28,959.735
2001-08-29,965.097
2001-08-30,960.665
2001-08-31,969.992
2001-09-03,965.322
2001-09-04,965.064
2001-09-05,953.573
2001-09-06,932.126
2001-09-07,907.531
2001-09-10,896.479
2001-09-11,909.64
2001-09-12,869.459
2001-09-13,861.418
2001-09-14,845.226
2001-09-17,803.095
2001-09-18,791.66
2001-09-19,793.019
2001-09-20,777.163
2001-09-21,729.421
2001-09-24,748.084
2001-09-25,740.95
2001-09-26,739.531
2001-09-27,756.138
2001-09-28,761.246
2001-10-01,768.851
2001-10-02,781.165
2001-10-03,772.769
2001-10-04,800.825
2001-10-05,791.356
2001-10-08,763.861
2001-10-09,780.101
2001-10-10,765.767
2001-10-11,783.648
2001-10-12,799.99
2001-10-15,805.248
2001-10-16,808.766
2001-10-17,813.494
2001-10-18,786.901
2001-10-19,777.005
2001-10-22,770.783
2001-10-23,783.854
2001-10-24,782.46
2001-10-25,777.721
2001-10-26,774.834
2001-10-29,766.465
2001-10-30,767.607
2001-10-31,752.71
2001-11-01,742.753
2001-11-02,740.225
2001-11-05,745.97
2001-11-06,753.196
2001-11-07,750.164
2001-11-08,756.869
2001-11-09,766.645
2001-11-12,760.018
2001-11-13,757.336
2001-11-14,757.336
2001-11-15,793.799
2001-11-16,784.139
2001-11-19,793.726
2001-11-20,785.951
2001-11-21,791.868
2001-11-22,778.727
2001-11-23,791.089
2001-11-26,806.398
2001-11-27,826.069
2001-11-28,815.1
2001-11-29,799.724
2001-11-30,808.942
2001-12-03,810.516
2001-12-04,825.078
2001-12-05,864.006
2001-12-06,878.276
2001-12-07,874.485
2001-12-10,869.083
2001-12-11,864.044
2001-12-12,859.132
2001-12-13,846.074
2001-12-14,845.935
2001-12-17,845.207
2001-12-18,866.529
2001-12-19,870.491
2001-12-20,868.913
2001-12-21,848.406
2001-12-24,855.612
2001-12-25,855.612
2001-12-26,856.55
2001-12-27,865.958
2001-12-28,873.906
2001-12-31,874.271
2002-01-01,874.271
2002-01-02,870.76
2002-01-03,888.672
2002-01-04,904.3
2002-01-07,918.332
2002-01-08,924.494
2002-01-09,904.589
2002-01-10,917.276
2002-01-11,915.854
2002-01-14,939.886
2002-01-15,912.267
2002-01-16,900.994
2002-01-17,894.728
2002-01-18,892.659
2002-01-21,900.374
2002-01-22,893.351
2002-01-23,898.719
2002-01-24,889.869
2002-01-25,933.396
2002-01-28,959.778
2002-01-29,955.045
2002-01-30,945.426
2002-01-31,955.101
2002-02-01,947.678
2002-02-04,934.571
2002-02-05,919.451
2002-02-06,933.773
2002-02-07,910.351
2002-02-08,920.309
2002-02-11,922.607
2002-02-12,923.405
2002-02-13,923.705
2002-02-14,946.721
2002-02-15,928.404
2002-02-18,923.278
2002-02-19,915.567
2002-02-20,912.136
2002-02-21,912.408
2002-02-22,892.651
2002-02-25,881.626
2002-02-26,888.794
2002-02-27,892.736
2002-02-28,907.938
2002-03-01,913.487
2002-03-04,971.878
2002-03-05,965.965
2002-03-06,955.974
2002-03-07,957.962
2002-03-08,956.045
2002-03-11,964.78
2002-03-12,952.027
2002-03-13,948.442
2002-03-14,952.763
2002-03-15,950.706
2002-03-18,948.988
2002-03-19,965.314
2002-03-20,965.448
2002-03-21,960.033
2002-03-22,958.686
2002-03-25,953.556
2002-03-26,950.487
2002-03-27,952.663
2002-03-28,958.219
2002-03-29,958.219
2002-04-01,947.529
2002-04-02,953.461
2002-04-03,948.718
2002-04-04,949.245
2002-04-05,950.493
2002-04-08,944.736
2002-04-09,934.102
2002-04-10,916.123
2002-04-11,927.109
2002-04-12,929.136
2002-04-15,934.097
2002-04-16,944.535
2002-04-17,952.778
2002-04-18,938.989
2002-04-19,930.542
2002-04-22,930.626
2002-04-23,938.066
2002-04-24,930.879
2002-04-25,921.748
2002-04-26,928.254
