Date,SINGAPORE GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,143.805
1975-02-28,168.842
1975-03-31,179.445
1975-04-30,179.843
1975-05-30,167.042
1975-06-30,150.341
1975-07-31,139.989
1975-08-29,132.889
1975-09-30,133.156
1975-10-31,145.031
1975-11-28,140.555
1975-12-31,149.285
1976-01-30,177.865
1976-02-27,173.987
1976-03-31,159.704
1976-04-30,176.199
1976-05-31,169.179
1976-06-30,172.271
1976-07-30,165.764
1976-08-31,172.969
1976-09-30,170.177
1976-10-29,162.404
1976-11-30,155.004
1976-12-31,164.227
1977-01-31,161.775
1977-02-28,159.513
1977-03-31,154.159
1977-04-29,150.339
1977-05-31,151.157
1977-06-30,154.507
1977-07-29,160.974
1977-08-31,165.26
1977-09-30,160.82
1977-10-31,163.13
1977-11-30,163.876
1977-12-30,167.737
1978-01-31,163.537
1978-02-28,165.719
1978-03-31,177.171
1978-04-28,182.617
1978-05-31,197.405
1978-06-30,220.207
1978-07-31,227.29
1978-08-31,259.74
1978-09-29,231.899
1978-10-31,265.582
1978-11-30,226.646
1978-12-29,233.0
1979-01-31,251.01
1979-02-28,242.119
1979-03-30,260.272
1979-04-30,266.469
1979-05-31,276.197
1979-06-29,266.689
1979-07-31,275.242
1979-08-31,283.378
1979-09-28,303.484
1979-10-31,283.771
1979-11-30,288.283
1979-12-31,303.211
1980-01-31,338.873
1980-02-29,351.341
1980-03-31,311.632
1980-04-30,334.593
1980-05-30,381.394
1980-06-30,431.759
1980-07-31,453.942
1980-08-29,482.507
1980-09-30,453.619
1980-10-31,529.958
1980-11-28,558.211
1980-12-31,541.88
1981-01-30,607.711
1981-02-27,696.127
1981-03-31,661.444
1981-04-30,675.164
1981-05-29,654.959
1981-06-30,700.729
1981-07-31,592.416
1981-08-31,452.625
1981-09-30,445.877
1981-10-30,465.68
1981-11-30,580.964
1981-12-31,589.428
1982-01-29,579.357
1982-02-26,521.683
1982-03-31,498.777
1982-04-30,532.874
1982-05-31,533.802
1982-06-30,475.169
1982-07-30,426.434
1982-08-31,412.538
1982-09-30,424.55
1982-10-29,446.891
1982-11-30,449.716
1982-12-31,476.327
1983-01-31,506.651
1983-02-28,533.237
1983-03-31,552.815
1983-04-29,613.82
1983-05-31,589.871
1983-06-30,603.407
1983-07-29,577.461
1983-08-31,597.649
1983-09-30,603.407
1983-10-31,588.958
1983-11-30,588.2
1983-12-30,628.646
1984-01-31,644.625
1984-02-29,631.189
1984-03-30,617.554
1984-04-30,610.882
1984-05-31,573.179
1984-06-29,537.184
1984-07-31,543.437
1984-08-31,548.896
1984-09-28,531.012
1984-10-31,501.942
1984-11-30,491.819
1984-12-31,488.198
1985-01-31,497.611
1985-02-28,485.173
1985-03-29,489.75
1985-04-30,485.21
1985-05-31,497.461
1985-06-28,474.691
1985-07-31,474.802
1985-08-30,445.268
1985-09-30,484.444
1985-10-31,490.511
1985-11-29,461.008
1985-12-31,412.105
1986-01-31,405.563
1986-02-28,403.309
1986-03-31,367.826
1986-04-30,351.533
1986-05-30,374.802
1986-06-30,419.874
1986-07-31,428.204
1986-08-29,464.675
1986-09-30,452.926
1986-10-31,536.459
1986-11-28,503.216
1986-12-31,516.138
1987-01-30,563.278
1987-02-27,627.288
1987-03-31,607.195
1987-04-30,646.745
1987-05-29,695.204
1987-06-30,705.168
1987-07-31,785.109
1987-08-31,806.651
1987-09-30,788.783
1987-10-30,495.278
1987-11-30,496.662
1987-12-31,516.934
1988-01-29,560.739
1988-02-29,559.433
1988-03-31,589.109
1988-04-29,610.826
1988-05-31,617.083
1988-06-30,653.826
1988-07-29,678.789
1988-08-31,626.418
1988-09-30,621.332
1988-10-31,661.133
1988-11-30,667.759
1988-12-30,693.434
1989-01-31,758.439
1989-02-28,746.736
1989-03-31,757.415
1989-04-28,779.159
1989-05-31,802.199
1989-06-30,817.629
1989-07-31,864.506
1989-08-31,829.492
1989-09-29,843.862
1989-10-31,821.12
1989-11-30,853.874
1989-12-29,915.857
1990-01-31,932.368
1990-02-28,937.927
1990-03-30,898.33
1990-04-30,813.626
1990-05-31,910.967
1990-06-29,923.524
1990-07-31,1001.75
1990-08-31,871.019
1990-09-28,718.186
1990-10-31,785.726
1990-11-30,747.791
1990-12-31,805.504
1991-01-31,833.765
1991-02-28,911.15
1991-03-29,915.836
1991-04-30,947.06
1991-05-31,961.712
1991-06-28,934.356
1991-07-31,930.289
1991-08-30,880.11
1991-09-30,864.334
1991-10-31,891.655
1991-11-29,921.951
1991-12-31,983.81
1992-01-31,1019.986
1992-02-28,1047.361
1992-03-31,996.799
1992-04-30,1024.1
1992-05-29,1040.268
1992-06-30,1031.968
1992-07-31,1016.573
1992-08-31,981.318
1992-09-30,1021.404
1992-10-30,1072.291
1992-11-30,1073.207
1992-12-31,1066.594
1993-01-29,1081.155
1993-02-26,1089.169
1993-03-31,1093.265
1993-04-30,1162.098
1993-05-31,1206.75
1993-06-30,1173.133
1993-07-30,1199.017
1993-08-31,1392.636
1993-09-30,1444.401
1993-10-29,1556.588
1993-11-30,1544.484
1993-12-31,1937.735
1994-01-31,1848.013
1994-02-28,1838.601
1994-03-31,1670.846
1994-04-29,1852.977
1994-05-31,1847.829
1994-06-30,1809.169
1994-07-29,1861.638
1994-08-31,1971.861
1994-09-30,2055.61
1994-10-31,2168.509
1994-11-30,2046.315
1994-12-30,2080.977
1995-01-31,1869.294
1995-02-28,1956.3
1995-03-31,2040.668
1995-04-28,2093.906
1995-05-31,2250.857
1995-06-30,2098.259
1995-07-31,2167.953
1995-08-31,2050.969
1995-09-29,2053.42
1995-10-31,2040.213
1995-11-30,2132.879
1995-12-29,2301.983
1996-01-31,2449.341
1996-02-29,2517.245
1996-03-29,2519.264
1996-04-30,2542.68
1996-05-31,2314.161
1996-06-28,2257.453
1996-07-31,2068.503
1996-08-30,2112.609
1996-09-30,2087.31
1996-10-31,2037.717
1996-11-29,2128.582
1996-12-31,2176.487
1997-01-31,2212.631
1997-02-28,2190.216
1997-03-31,1948.122
1997-04-30,1752.306
1997-05-30,1928.828
1997-06-30,1956.211
1997-07-31,1896.37
1997-08-29,1434.539
1997-09-30,1602.103
1997-10-31,1330.497
1997-11-28,1534.797
1997-12-31,1449.995
1998-01-30,1335.707
1998-02-27,1596.732
1998-03-31,1494.861
1998-04-30,1428.759
1998-05-29,1160.807
1998-06-30,1030.034
1998-07-31,1086.543
1998-08-31,982.095
1998-09-30,1136.713
1998-10-30,1291.842
1998-11-30,1423.703
1998-12-31,1311.954
1999-01-29,1291.373
1999-02-26,1265.319
1999-03-31,1310.883
1999-04-30,1665.621
1999-05-31,1563.816
1999-06-30,1723.18
1999-07-30,1765.164
1999-08-31,1718.705
1999-09-30,1705.497
1999-10-29,1825.119
1999-11-30,1893.299
1999-12-31,2118.887
2000-01-31,1861.685
2000-02-29,1672.399
2000-03-31,1570.894
2000-04-28,1630.172
2000-05-31,1331.038
2000-06-30,1471.254
2000-07-31,1414.777
2000-08-31,1485.062
2000-09-29,1330.271
2000-10-31,1305.261
2000-11-30,1265.342
2000-12-29,1216.074
2001-01-31,1258.514
2001-02-28,1208.369
