Date,WORLD ex USA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,494.006
2001-01-02,490.332
2001-01-03,482.028
2001-01-04,484.167
2001-01-05,481.686
2001-01-08,476.436
2001-01-09,470.034
2001-01-10,468.139
2001-01-11,470.373
2001-01-12,476.734
2001-01-15,476.858
2001-01-16,476.89
2001-01-17,483.397
2001-01-18,491.882
2001-01-19,496.054
2001-01-22,493.916
2001-01-23,493.589
2001-01-24,490.593
2001-01-25,492.687
2001-01-26,490.156
2001-01-29,489.993
2001-01-30,494.474
2001-01-31,500.27
2001-02-01,503.584
2001-02-02,498.735
2001-02-05,495.597
2001-02-06,495.518
2001-02-07,490.763
2001-02-08,486.206
2001-02-09,484.326
2001-02-12,486.161
2001-02-13,483.252
2001-02-14,478.51
2001-02-15,478.951
2001-02-16,477.389
2001-02-19,474.633
2001-02-20,471.83
2001-02-21,466.171
2001-02-22,460.634
2001-02-23,459.482
2001-02-26,462.189
2001-02-27,464.892
2001-02-28,458.404
2001-03-01,452.828
2001-03-02,450.579
2001-03-05,448.661
2001-03-06,458.613
2001-03-07,459.477
2001-03-08,459.764
2001-03-09,455.711
2001-03-12,442.811
2001-03-13,431.463
2001-03-14,422.585
2001-03-15,423.18
2001-03-16,416.101
2001-03-19,415.632
2001-03-20,418.947
2001-03-21,414.417
2001-03-22,399.081
2001-03-23,410.591
2001-03-26,422.084
2001-03-27,424.612
2001-03-28,423.347
2001-03-29,416.046
2001-03-30,414.173
2001-04-02,410.054
2001-04-03,404.102
2001-04-04,406.454
2001-04-05,412.952
2001-04-06,414.362
2001-04-09,412.379
2001-04-10,414.219
2001-04-11,417.184
2001-04-12,423.367
2001-04-13,423.698
2001-04-16,420.524
2001-04-17,418.808
2001-04-18,428.453
2001-04-19,438.785
2001-04-20,440.389
2001-04-23,436.706
2001-04-24,435.397
2001-04-25,437.184
2001-04-26,442.106
2001-04-27,440.909
2001-04-30,443.89
2001-05-01,449.364
2001-05-02,453.001
2001-05-03,451.459
2001-05-04,451.541
2001-05-07,452.683
2001-05-08,450.607
2001-05-09,446.859
2001-05-10,447.768
2001-05-11,445.922
2001-05-14,440.531
2001-05-15,442.417
2001-05-16,441.7
2001-05-17,446.284
2001-05-18,446.144
2001-05-21,450.296
2001-05-22,451.31
2001-05-23,450.465
2001-05-24,448.567
2001-05-25,447.718
2001-05-28,447.295
2001-05-29,444.966
2001-05-30,439.392
2001-05-31,436.46
2001-06-01,436.002
2001-06-04,436.814
2001-06-05,436.764
2001-06-06,434.867
2001-06-07,437.296
2001-06-08,436.683
2001-06-11,431.446
2001-06-12,425.76
2001-06-13,428.589
2001-06-14,426.475
