Date,WORLD ex USA SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,436.012
1994-06-30,448.027
1994-07-29,448.104
1994-08-31,451.636
1994-09-30,439.471
1994-10-31,447.381
1994-11-30,418.834
1994-12-30,425.41
1995-01-31,408.455
1995-02-28,397.9
1995-03-31,414.199
1995-04-28,424.813
1995-05-31,412.347
1995-06-30,406.958
1995-07-31,429.264
1995-08-31,420.507
1995-09-29,425.769
1995-10-31,413.937
1995-11-30,416.801
1995-12-29,432.047
1996-01-31,436.331
1996-02-29,443.517
1996-03-29,454.335
1996-04-30,476.429
1996-05-31,473.332
1996-06-28,473.793
1996-07-31,454.975
1996-08-30,455.786
1996-09-30,457.186
1996-10-31,453.314
1996-11-29,457.141
1996-12-31,445.964
1997-01-31,434.426
1997-02-28,437.641
1997-03-31,428.26
1997-04-30,422.635
1997-05-30,456.888
1997-06-30,467.404
1997-07-31,458.352
1997-08-29,435.109
1997-09-30,438.648
1997-10-31,418.809
1997-11-28,397.483
1997-12-31,388.079
1998-01-30,404.987
1998-02-27,434.437
1998-03-31,455.213
1998-04-30,465.339
1998-05-29,473.013
1998-06-30,460.995
1998-07-31,464.7
1998-08-31,403.349
1998-09-30,387.66
1998-10-30,416.206
1998-11-30,435.459
1998-12-31,451.067
1999-01-29,460.877
1999-02-26,451.073
1999-03-31,466.928
1999-04-30,488.246
1999-05-31,475.781
1999-06-30,506.823
1999-07-30,530.692
1999-08-31,553.748
1999-09-30,564.676
1999-10-29,576.045
1999-11-30,619.277
1999-12-31,668.314
2000-01-31,665.949
2000-02-29,737.036
2000-03-31,713.281
2000-04-28,635.247
2000-05-31,607.436
2000-06-30,633.983
2000-07-31,602.271
2000-08-31,624.656
2000-09-29,591.493
2000-10-31,532.627
2000-11-30,485.804
2000-12-29,493.996
2001-01-31,500.27
2001-02-28,458.404
2001-03-30,414.173
2001-04-30,443.89
2001-05-31,436.46
2001-06-29,411.706
2001-07-31,394.375
2001-08-31,384.683
2001-09-28,333.738
2001-10-31,355.2
2001-11-30,368.96
2001-12-31,364.144
2002-01-31,352.151
2002-02-28,351.625
2002-03-29,370.806
2002-04-30,374.372
2002-05-31,386.207
2002-06-28,366.668
2002-07-31,329.237
2002-08-30,326.614
2002-09-30,293.899
2002-10-31,301.813
2002-11-29,318.121
2002-12-31,307.627
2003-01-31,299.024
2003-02-28,291.671
2003-03-31,289.038
2003-04-30,316.914
2003-05-30,342.906
2003-06-30,353.213
2003-07-31,363.8
2003-08-29,381.314
2003-09-30,399.189
2003-10-31,433.006
2003-11-28,434.437
2003-12-31,459.755
2004-01-30,476.729
2004-02-27,488.814
2004-03-31,501.421
2004-04-30,487.792
2004-05-31,487.984
2004-06-30,507.087
2004-07-30,480.331
2004-08-31,481.303
2004-09-30,495.847
2004-10-29,513.122
2004-11-30,552.283
2004-12-31,576.691
2005-01-31,577.861
2005-02-28,602.746
2005-03-31,587.777
2005-04-29,569.554
2005-05-31,570.794
2005-06-30,584.536
2005-07-29,607.5
2005-08-31,626.707
2005-09-30,652.154
2005-10-31,630.633
2005-11-30,654.944
2005-12-30,698.613
2006-01-31,751.591
2006-02-28,744.353
2006-03-31,778.451
2006-04-28,817.065
2006-05-31,777.664
2006-06-30,766.675
2006-07-31,760.215
2006-08-31,787.125
2006-09-29,788.753
2006-10-31,822.034
2006-11-30,857.038
2006-12-29,886.828
2007-01-31,896.433
2007-02-28,908.592
2007-03-30,942.41
2007-04-30,980.225
2007-05-31,1000.0
2007-06-29,997.987
2007-07-31,990.549
2007-08-31,953.899
2007-09-28,999.224
2007-10-31,1057.615
2007-11-30,985.386
2007-12-31,962.695
2008-01-31,864.484
2008-02-29,903.172
2008-03-31,892.26
2008-04-30,927.545
2008-05-30,953.327
2008-06-30,890.343
2008-07-31,834.077
2008-08-29,805.613
2008-09-30,659.519
2008-10-31,489.293
2008-11-28,468.25
2008-12-31,499.235
2009-01-30,467.267
2009-02-27,426.592
2009-03-31,450.466
2009-04-30,506.147
2009-05-29,575.624
2009-06-30,578.104
2009-07-31,620.77
2009-08-31,653.962
2009-09-30,688.728
2009-10-30,676.061
2009-11-30,693.812
2009-12-31,706.667
2010-01-29,684.987
2010-02-26,682.528
2010-03-31,732.04
2010-04-30,740.014
2010-05-31,655.621
2010-06-30,651.21
2010-07-30,707.909
2010-08-31,689.311
2010-09-30,770.581
2010-10-29,800.823
