Date,WORLD ex USA SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,447.088
1994-06-30,459.251
1994-07-29,459.241
1994-08-31,462.838
1994-09-30,450.323
1994-10-31,458.403
1994-11-30,429.133
1994-12-30,435.851
1995-01-31,418.465
1995-02-28,407.629
1995-03-31,424.232
1995-04-28,435.038
1995-05-31,422.085
1995-06-30,416.385
1995-07-31,439.115
1995-08-31,430.125
1995-09-29,435.452
1995-10-31,423.331
1995-11-30,426.233
1995-12-29,441.797
1996-01-31,446.165
1996-02-29,453.486
1996-03-29,464.457
1996-04-30,486.954
1996-05-31,483.647
1996-06-28,483.966
1996-07-31,464.664
1996-08-30,465.474
1996-09-30,466.837
1996-10-31,462.848
1996-11-29,466.744
1996-12-31,455.308
1997-01-31,443.519
1997-02-28,446.752
1997-03-31,437.076
1997-04-30,431.242
1997-05-30,466.043
1997-06-30,476.653
1997-07-31,467.348
1997-08-29,443.635
1997-09-30,447.159
1997-10-31,426.893
1997-11-28,405.141
1997-12-31,395.535
1998-01-30,412.753
1998-02-27,442.747
1998-03-31,463.807
1998-04-30,473.993
1998-05-29,481.647
1998-06-30,469.258
1998-07-31,472.944
1998-08-31,410.492
1998-09-30,394.456
1998-10-30,423.485
1998-11-30,443.058
1998-12-31,458.886
1999-01-29,468.855
1999-02-26,458.872
1999-03-31,474.881
1999-04-30,496.5
1999-05-31,483.767
1999-06-30,515.277
1999-07-30,539.516
1999-08-31,562.933
1999-09-30,573.98
1999-10-29,585.52
1999-11-30,629.455
1999-12-31,679.275
2000-01-31,676.863
2000-02-29,749.101
2000-03-31,724.834
2000-04-28,645.407
2000-05-31,617.057
2000-06-30,643.981
2000-07-31,611.722
2000-08-31,634.44
2000-09-29,600.689
2000-10-31,540.895
2000-11-30,493.327
2000-12-29,501.622
2001-01-31,507.975
2001-02-28,465.436
2001-03-30,420.4
2001-04-30,450.459
2001-05-31,442.732
2001-06-29,417.532
2001-07-31,399.909
2001-08-31,390.056
2001-09-28,338.329
2001-10-31,360.063
2001-11-30,373.992
2001-12-31,369.082
2002-01-31,356.91
2002-02-28,356.354
2002-03-29,375.659
2002-04-30,379.176
2002-05-31,390.995
2002-06-28,371.139
2002-07-31,333.22
2002-08-30,330.528
2002-09-30,297.351
2002-10-31,305.335
2002-11-29,321.811
2002-12-31,311.174
2003-01-31,302.439
2003-02-28,294.979
2003-03-31,292.101
2003-04-30,320.075
2003-05-30,346.146
2003-06-30,356.446
2003-07-31,367.091
2003-08-29,384.735
2003-09-30,402.686
2003-10-31,436.766
2003-11-28,438.18
2003-12-31,463.677
2004-01-30,480.773
2004-02-27,492.933
2004-03-31,505.446
2004-04-30,491.518
2004-05-31,491.437
2004-06-30,510.57
2004-07-30,483.598
2004-08-31,484.507
2004-09-30,499.04
2004-10-29,516.406
2004-11-30,555.766
2004-12-31,580.287
2005-01-31,581.438
2005-02-28,606.412
2005-03-31,591.168
2005-04-29,572.642
2005-05-31,573.465
2005-06-30,587.134
2005-07-29,610.139
2005-08-31,629.37
2005-09-30,654.811
2005-10-31,633.158
2005-11-30,657.52
2005-12-30,701.293
2006-01-31,754.442
2006-02-28,747.11
2006-03-31,781.068
2006-04-28,819.499
2006-05-31,779.476
2006-06-30,768.312
2006-07-31,761.718
2006-08-31,788.622
2006-09-29,790.107
2006-10-31,823.357
2006-11-30,858.366
2006-12-29,888.126
2007-01-31,897.689
2007-02-28,909.783
2007-03-30,943.326
2007-04-30,980.848
2007-05-31,1000.0
2007-06-29,997.829
2007-07-31,990.289
2007-08-31,953.565
2007-09-28,998.697
2007-10-31,1056.95
2007-11-30,984.692
2007-12-31,961.894
2008-01-31,863.709
2008-02-29,902.263
2008-03-31,890.884
2008-04-30,925.386
2008-05-30,950.372
2008-06-30,887.256
2008-07-31,831.069
2008-08-29,802.62
2008-09-30,656.841
2008-10-31,487.264
2008-11-28,466.229
2008-12-31,497.001
2009-01-30,465.111
