Date,WORLD ex USA SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,501.633
2001-01-02,497.896
2001-01-03,489.465
2001-01-04,491.637
2001-01-05,489.117
2001-01-08,483.786
2001-01-09,477.285
2001-01-10,475.36
2001-01-11,477.628
2001-01-12,484.088
2001-01-15,484.211
2001-01-16,484.244
2001-01-17,490.85
2001-01-18,499.466
2001-01-19,503.702
2001-01-22,501.528
2001-01-23,501.197
2001-01-24,498.155
2001-01-25,500.277
2001-01-26,497.707
2001-01-29,497.54
2001-01-30,502.09
2001-01-31,507.975
2001-02-01,511.339
2001-02-02,506.415
2001-02-05,503.229
2001-02-06,503.145
2001-02-07,498.316
2001-02-08,493.689
2001-02-09,491.78
2001-02-12,493.643
2001-02-13,490.689
2001-02-14,485.873
2001-02-15,486.319
2001-02-16,484.734
2001-02-19,481.935
2001-02-20,479.086
2001-02-21,473.338
2001-02-22,467.715
2001-02-23,466.539
2001-02-26,469.285
2001-02-27,472.029
2001-02-28,465.436
2001-03-01,459.775
2001-03-02,457.491
2001-03-05,455.533
2001-03-06,465.631
2001-03-07,466.502
2001-03-08,466.791
2001-03-09,462.667
2001-03-12,449.571
2001-03-13,438.049
2001-03-14,429.031
2001-03-15,429.634
2001-03-16,422.444
2001-03-19,421.967
2001-03-20,425.328
2001-03-21,420.726
2001-03-22,405.156
2001-03-23,416.837
2001-03-26,428.5
2001-03-27,431.009
2001-03-28,429.719
2001-03-29,422.305
2001-03-30,420.4
2001-04-02,416.214
2001-04-03,410.171
2001-04-04,412.556
2001-04-05,419.149
2001-04-06,420.577
2001-04-09,418.562
2001-04-10,420.43
2001-04-11,423.437
2001-04-12,429.71
2001-04-13,430.046
2001-04-16,426.824
2001-04-17,425.08
2001-04-18,434.868
2001-04-19,445.346
2001-04-20,446.971
2001-04-23,443.223
2001-04-24,441.89
2001-04-25,443.67
2001-04-26,448.658
2001-04-27,447.436
2001-04-30,450.459
2001-05-01,456.008
2001-05-02,459.692
2001-05-03,458.12
2001-05-04,458.188
2001-05-07,459.34
2001-05-08,457.233
2001-05-09,453.426
2001-05-10,454.342
2001-05-11,452.463
2001-05-14,446.971
2001-05-15,448.881
2001-05-16,448.146
2001-05-17,452.797
2001-05-18,452.652
2001-05-21,456.819
2001-05-22,457.825
2001-05-23,456.961
2001-05-24,455.033
2001-05-25,454.169
2001-05-28,453.737
2001-05-29,451.371
2001-05-30,445.715
2001-05-31,442.732
2001-06-01,442.261
2001-06-04,443.077
2001-06-05,443.023
2001-06-06,441.098
2001-06-07,443.553
2001-06-08,442.928
2001-06-11,437.613
2001-06-12,431.844
2001-06-13,434.708
2001-06-14,432.56
2001-06-15,428.202
2001-06-18,424.344
2001-06-19,422.797
2001-06-20,417.291
2001-06-21,419.056
2001-06-22,420.877
2001-06-25,421.484
2001-06-26,418.048
2001-06-27,416.52
2001-06-28,413.656
2001-06-29,417.532
2001-07-02,417.114
2001-07-03,415.949
2001-07-04,412.611
2001-07-05,405.963
2001-07-06,401.315
2001-07-09,398.809
2001-07-10,401.21
2001-07-11,398.189
2001-07-12,401.042
2001-07-13,400.246
2001-07-16,399.158
2001-07-17,395.043
2001-07-18,397.17
2001-07-19,398.601
2001-07-20,398.29
2001-07-23,393.39
2001-07-24,394.195
2001-07-25,394.544
2001-07-26,394.892
2001-07-27,397.285
2001-07-30,396.014
2001-07-31,399.909
2001-08-01,404.887
2001-08-02,411.3
2001-08-03,410.226
2001-08-06,407.675
2001-08-07,405.481
2001-08-08,403.936
2001-08-09,400.823
2001-08-10,402.308
2001-08-13,401.268
2001-08-14,404.733
2001-08-15,409.196
2001-08-16,405.675
2001-08-17,404.889
2001-08-20,399.81
2001-08-21,401.133
2001-08-22,402.669
2001-08-23,399.647
2001-08-24,401.369
2001-08-27,401.397
2001-08-28,398.738
2001-08-29,397.466
2001-08-30,391.986
2001-08-31,390.056
2001-09-03,384.249
2001-09-04,382.872
2001-09-05,377.207
2001-09-06,372.883
2001-09-07,371.964
2001-09-10,363.991
2001-09-11,356.825
2001-09-12,345.447
2001-09-13,347.682
2001-09-14,345.157
2001-09-17,336.666
2001-09-18,336.24
2001-09-19,337.335
2001-09-20,327.867
2001-09-21,317.673
2001-09-24,323.702
2001-09-25,330.699
2001-09-26,332.737
2001-09-27,331.977
2001-09-28,338.329
2001-10-01,337.628
2001-10-02,338.668
2001-10-03,340.246
2001-10-04,347.466
2001-10-05,348.694
2001-10-08,348.371
2001-10-09,348.463
2001-10-10,349.539
2001-10-11,354.605
2001-10-12,356.131
2001-10-15,355.326
2001-10-16,358.45
2001-10-17,363.585
2001-10-18,357.66
2001-10-19,355.47
2001-10-22,355.701
2001-10-23,359.634
2001-10-24,361.799
2001-10-25,362.717
2001-10-26,364.679
2001-10-29,365.2
2001-10-30,360.245
2001-10-31,360.063
2001-11-01,361.417
2001-11-02,361.398
2001-11-05,363.582
2001-11-06,366.367
2001-11-07,367.187
2001-11-08,368.883
2001-11-09,368.265
2001-11-12,365.27
2001-11-13,365.963
2001-11-14,369.814
2001-11-15,372.275
2001-11-16,374.654
2001-11-19,376.605
2001-11-20,374.254
2001-11-21,371.129
2001-11-22,372.723
2001-11-23,371.771
2001-11-26,376.12
2001-11-27,375.873
2001-11-28,373.107
2001-11-29,371.316
2001-11-30,373.992
2001-12-03,369.189
2001-12-04,371.236
2001-12-05,377.513
2001-12-06,380.027
2001-12-07,378.36
2001-12-10,374.303
2001-12-11,372.65
2001-12-12,374.597
2001-12-13,370.075
2001-12-14,367.479
2001-12-17,368.045
2001-12-18,367.437
2001-12-19,364.488
2001-12-20,363.55
2001-12-21,361.258
2001-12-24,359.583
2001-12-25,359.523
2001-12-26,358.994
2001-12-27,364.194
2001-12-28,366.519
2001-12-31,369.082
2002-01-01,369.083
2002-01-02,370.863
2002-01-03,374.539
2002-01-04,377.076
2002-01-07,376.54
2002-01-08,373.273
2002-01-09,373.198
2002-01-10,371.856
2002-01-11,371.571
2002-01-14,369.223
2002-01-15,367.341
2002-01-16,362.491
2002-01-17,362.771
2002-01-18,364.402
2002-01-21,364.275
2002-01-22,361.491
2002-01-23,361.432
2002-01-24,361.672
2002-01-25,358.651
2002-01-28,359.508
2002-01-29,357.785
2002-01-30,355.3
2002-01-31,356.91
2002-02-01,356.11
2002-02-04,354.677
2002-02-05,350.637
2002-02-06,349.163
2002-02-07,348.978
2002-02-08,350.121
2002-02-11,353.884
2002-02-12,355.897
2002-02-13,356.116
2002-02-14,357.54
2002-02-15,357.478
2002-02-18,356.109
2002-02-19,352.092
2002-02-20,349.744
2002-02-21,351.924
2002-02-22,352.224
2002-02-25,352.206
2002-02-26,353.141
2002-02-27,355.848
2002-02-28,356.354
2002-03-01,359.604
2002-03-04,369.223
2002-03-05,368.561
2002-03-06,371.175
2002-03-07,379.61
2002-03-08,380.152
2002-03-11,381.859
2002-03-12,376.619
2002-03-13,374.277
2002-03-14,377.016
2002-03-15,378.804
2002-03-18,378.589
2002-03-19,380.505
2002-03-20,380.007
2002-03-21,378.698
2002-03-22,377.086
2002-03-25,374.461
2002-03-26,373.719
2002-03-27,375.375
2002-03-28,376.565
2002-03-29,375.659
