Date,NEW ZEALAND IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,194.45
2001-01-02,194.143
2001-01-03,192.652
2001-01-04,195.321
2001-01-05,199.864
2001-01-08,198.264
2001-01-09,198.857
2001-01-10,196.307
2001-01-11,198.413
2001-01-12,199.234
2001-01-15,200.044
2001-01-16,202.809
2001-01-17,202.37
2001-01-18,204.677
2001-01-19,208.495
2001-01-22,210.695
2001-01-23,208.993
2001-01-24,204.361
2001-01-25,202.107
2001-01-26,202.278
2001-01-29,202.195
2001-01-30,206.556
2001-01-31,209.575
2001-02-01,213.302
2001-02-02,210.437
2001-02-05,207.154
2001-02-06,207.178
2001-02-07,206.704
2001-02-08,205.232
2001-02-09,205.447
2001-02-12,205.912
2001-02-13,204.832
2001-02-14,198.793
2001-02-15,194.587
2001-02-16,197.346
2001-02-19,197.616
2001-02-20,199.392
2001-02-21,199.506
2001-02-22,196.585
2001-02-23,199.005
2001-02-26,198.063
2001-02-27,200.361
2001-02-28,197.249
2001-03-01,200.633
2001-03-02,203.762
2001-03-05,202.527
2001-03-06,203.555
2001-03-07,204.107
2001-03-08,204.153
2001-03-09,204.291
2001-03-12,203.685
2001-03-13,200.156
2001-03-14,202.36
2001-03-15,202.481
2001-03-16,204.67
2001-03-19,201.804
2001-03-20,205.757
2001-03-21,202.07
2001-03-22,198.02
2001-03-23,201.571
2001-03-26,198.984
2001-03-27,199.068
2001-03-28,198.348
2001-03-29,199.504
2001-03-30,197.171
2001-04-02,197.933
2001-04-03,198.266
2001-04-04,197.836
2001-04-05,197.943
2001-04-06,197.585
2001-04-09,197.731
2001-04-10,196.583
2001-04-11,196.699
2001-04-12,197.795
2001-04-13,197.795
2001-04-16,198.156
2001-04-17,198.052
2001-04-18,198.387
2001-04-19,205.307
2001-04-20,211.186
2001-04-23,206.088
2001-04-24,204.979
2001-04-25,206.236
2001-04-26,207.123
2001-04-27,206.057
2001-04-30,208.054
2001-05-01,209.957
2001-05-02,212.448
2001-05-03,210.838
2001-05-04,207.683
2001-05-07,207.848
2001-05-08,206.127
2001-05-09,207.736
2001-05-10,209.503
2001-05-11,210.749
2001-05-14,208.649
2001-05-15,208.458
2001-05-16,209.42
2001-05-17,212.793
2001-05-18,213.723
2001-05-21,214.719
2001-05-22,212.129
2001-05-23,206.216
2001-05-24,207.23
2001-05-25,208.826
2001-05-28,207.804
2001-05-29,206.193
2001-05-30,201.383
2001-05-31,196.589
2001-06-01,196.947
2001-06-04,196.443
2001-06-05,201.071
2001-06-06,204.732
2001-06-07,206.066
2001-06-08,206.668
2001-06-11,204.694
2001-06-12,205.13
2001-06-13,207.531
2001-06-14,204.142
2001-06-15,204.455
2001-06-18,201.794
2001-06-19,200.896
2001-06-20,201.069
2001-06-21,200.932
2001-06-22,201.666
2001-06-25,200.55
2001-06-26,202.928
2001-06-27,202.629
2001-06-28,202.905
2001-06-29,201.692
2001-07-02,201.938
2001-07-03,200.596
2001-07-04,197.75
2001-07-05,197.353
2001-07-06,196.853
2001-07-09,197.646
2001-07-10,198.738
2001-07-11,196.595
2001-07-12,196.179
2001-07-13,197.83
2001-07-16,197.768
2001-07-17,197.11
2001-07-18,200.028
2001-07-19,202.065
2001-07-20,200.5
2001-07-23,202.186
2001-07-24,202.186
2001-07-25,202.767
2001-07-26,204.802
2001-07-27,203.164
2001-07-30,203.407
2001-07-31,202.14
2001-08-01,204.585
2001-08-02,206.366
2001-08-03,206.203
2001-08-06,204.935
2001-08-07,204.54
2001-08-08,206.261
2001-08-09,207.883
2001-08-10,210.282
2001-08-13,212.111
2001-08-14,211.654
2001-08-15,214.667
2001-08-16,215.284
2001-08-17,217.685
2001-08-20,215.332
2001-08-21,215.565
2001-08-22,217.324
2001-08-23,217.363
2001-08-24,219.354
2001-08-27,221.007
2001-08-28,220.406
2001-08-29,222.283
2001-08-30,222.381
2001-08-31,218.372
2001-09-03,217.956
2001-09-04,215.272
2001-09-05,213.696
2001-09-06,212.239
2001-09-07,210.712
2001-09-10,205.551
2001-09-11,208.28
2001-09-12,197.596
2001-09-13,197.544
2001-09-14,195.676
2001-09-17,182.814
2001-09-18,184.937
2001-09-19,185.537
2001-09-20,184.971
2001-09-21,179.751
2001-09-24,179.253
2001-09-25,183.241
2001-09-26,184.519
2001-09-27,182.414
2001-09-28,186.617
