Date,NEW ZEALAND IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,210.105
2001-01-02,209.772
2001-01-03,208.161
2001-01-04,211.045
2001-01-05,215.955
2001-01-08,214.225
2001-01-09,214.867
2001-01-10,212.111
2001-01-11,214.386
2001-01-12,215.273
2001-01-15,216.207
2001-01-16,219.195
2001-01-17,218.721
2001-01-18,221.215
2001-01-19,225.341
2001-01-22,227.719
2001-01-23,225.879
2001-01-24,220.873
2001-01-25,218.436
2001-01-26,218.621
2001-01-29,218.532
2001-01-30,223.245
2001-01-31,226.508
2001-02-01,230.537
2001-02-02,227.44
2001-02-05,223.892
2001-02-06,223.917
2001-02-07,223.405
2001-02-08,221.815
2001-02-09,222.046
2001-02-12,222.549
2001-02-13,221.382
2001-02-14,214.855
2001-02-15,210.309
2001-02-16,213.291
2001-02-19,213.583
2001-02-20,215.502
2001-02-21,215.626
2001-02-22,212.468
2001-02-23,215.084
2001-02-26,214.066
2001-02-27,216.55
2001-02-28,213.187
2001-03-01,216.843
2001-03-02,220.226
2001-03-05,218.805
2001-03-06,219.916
2001-03-07,220.512
2001-03-08,220.562
2001-03-09,220.711
2001-03-12,220.056
2001-03-13,216.244
2001-03-14,218.624
2001-03-15,218.755
2001-03-16,221.101
2001-03-19,217.988
2001-03-20,222.258
2001-03-21,218.275
2001-03-22,213.901
2001-03-23,217.737
2001-03-26,214.895
2001-03-27,214.985
2001-03-28,214.208
2001-03-29,215.457
2001-03-30,212.844
2001-04-02,213.554
2001-04-03,213.913
2001-04-04,213.45
2001-04-05,213.565
2001-04-06,213.162
2001-04-09,213.319
2001-04-10,212.08
2001-04-11,212.206
2001-04-12,213.388
2001-04-13,213.388
2001-04-16,213.778
2001-04-17,213.568
2001-04-18,213.93
2001-04-19,221.392
2001-04-20,227.732
2001-04-23,222.234
2001-04-24,221.038
2001-04-25,222.394
2001-04-26,223.35
2001-04-27,222.201
2001-04-30,224.354
2001-05-01,226.406
2001-05-02,229.092
2001-05-03,227.356
2001-05-04,223.954
2001-05-07,224.132
2001-05-08,222.276
2001-05-09,224.011
2001-05-10,225.916
2001-05-11,227.26
