Date,NEW ZEALAND IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,184.056
1994-06-30,170.672
1994-07-29,175.866
1994-08-31,185.154
1994-09-30,179.832
1994-10-31,190.9
1994-11-30,190.908
1994-12-30,185.756
1995-01-31,187.798
1995-02-28,191.592
1995-03-31,199.909
1995-04-28,222.324
1995-05-31,218.625
1995-06-30,210.046
1995-07-31,223.364
1995-08-31,215.79
1995-09-29,218.44
1995-10-31,226.237
1995-11-30,219.132
1995-12-29,220.626
1996-01-31,222.446
1996-02-29,227.534
1996-03-29,233.456
1996-04-30,232.63
1996-05-31,218.812
1996-06-28,225.333
1996-07-31,234.232
1996-08-30,244.457
1996-09-30,247.197
1996-10-31,269.087
1996-11-29,275.316
1996-12-31,274.815
1997-01-31,269.353
1997-02-28,256.039
1997-03-31,258.596
1997-04-30,262.07
1997-05-30,274.195
1997-06-30,286.542
1997-07-31,286.319
1997-08-29,273.898
1997-09-30,291.611
1997-10-31,266.296
1997-11-28,257.522
1997-12-31,248.763
1998-01-30,244.16
1998-02-27,250.201
1998-03-31,240.431
1998-04-30,238.121
1998-05-29,222.274
1998-06-30,200.141
1998-07-31,215.561
1998-08-31,188.72
1998-09-30,188.476
1998-10-30,209.428
1998-11-30,218.929
1998-12-31,229.935
1999-01-29,250.696
1999-02-26,250.226
1999-03-31,250.909
1999-04-30,275.387
1999-05-31,233.624
1999-06-30,242.097
1999-07-30,249.902
1999-08-31,243.914
1999-09-30,229.95
1999-10-29,234.085
1999-11-30,241.501
1999-12-31,264.34
2000-01-31,235.48
2000-02-29,226.377
2000-03-31,243.259
2000-04-28,228.251
2000-05-31,211.724
2000-06-30,229.74
2000-07-31,225.386
2000-08-31,216.008
2000-09-29,199.747
2000-10-31,188.37
2000-11-30,198.452
2000-12-29,210.105
2001-01-31,226.508
2001-02-28,213.187
2001-03-30,212.844
2001-04-30,224.354
2001-05-31,211.965
2001-06-29,217.205
2001-07-31,217.688
2001-08-31,235.075
2001-09-28,200.751
2001-10-31,221.825
2001-11-30,233.913
2001-12-31,232.545
2002-01-31,239.54
2002-02-28,243.422
2002-03-29,260.366
2002-04-30,261.554
2002-05-31,295.657
2002-06-28,293.595
2002-07-31,271.652
2002-08-30,286.986
2002-09-30,284.46
2002-10-31,301.331
2002-11-29,300.635
2002-12-31,315.76
2003-01-31,329.135
2003-02-28,323.388
2003-03-31,326.249
2003-04-30,350.468
2003-05-30,381.535
2003-06-30,409.135
2003-07-31,391.529
2003-08-29,398.443
2003-09-30,423.04
2003-10-31,436.378
2003-11-28,466.286
2003-12-31,495.37
2004-01-30,510.194
2004-02-27,505.544
2004-03-31,512.849
2004-04-30,493.766
2004-05-31,493.936
2004-06-30,516.787
2004-07-30,531.66
2004-08-31,538.153
2004-09-30,569.114
2004-10-29,570.69
2004-11-30,635.533
2004-12-31,669.226
2005-01-31,655.677
2005-02-28,705.636
2005-03-31,656.391
2005-04-29,659.401
2005-05-31,641.286
2005-06-30,679.051
2005-07-29,689.401
2005-08-31,693.654
2005-09-30,719.826
2005-10-31,683.333
2005-11-30,688.44
2005-12-30,683.659
2006-01-31,673.527
2006-02-28,662.889
2006-03-31,671.163
2006-04-28,713.565
2006-05-31,687.142
2006-06-30,665.348
2006-07-31,669.359
2006-08-31,676.381
2006-09-29,689.7
2006-10-31,748.128
2006-11-30,800.724
2006-12-29,870.881
2007-01-31,876.552
2007-02-28,863.213
2007-03-30,901.9
2007-04-30,973.114
2007-05-31,1000.0
2007-06-29,1044.458
2007-07-31,1043.873
2007-08-31,909.764
2007-09-28,1042.386
2007-10-31,1027.267
2007-11-30,992.251
2007-12-31,986.494
2008-01-31,904.087
2008-02-29,885.396
2008-03-31,834.001
2008-04-30,875.421
2008-05-30,839.798
2008-06-30,700.262
2008-07-31,720.768
2008-08-29,737.253
2008-09-30,654.438
2008-10-31,532.406
2008-11-28,476.439
2008-12-31,512.122
2009-01-30,451.237
2009-02-27,411.066
2009-03-31,478.837
2009-04-30,481.529
2009-05-29,549.606
2009-06-30,557.126
2009-07-31,619.778
2009-08-31,658.512
2009-09-30,711.761
2009-10-30,736.126
2009-11-30,702.938
2009-12-31,743.302
2010-01-29,700.678
2010-02-26,692.445
2010-03-31,732.494
2010-04-30,764.288
2010-05-31,666.898
2010-06-30,655.473
2010-07-30,696.655
2010-08-31,664.524
2010-09-30,730.487
2010-10-29,792.505
2010-11-30,750.008
2010-12-31,808.212
2011-01-31,798.187
2011-02-28,789.652
2011-03-31,830.74
2011-04-29,891.779
2011-05-31,908.075
2011-06-30,890.279
2011-07-29,915.834
2011-08-31,850.504
2011-09-30,776.449
2011-10-31,783.548
2011-11-30,717.022
2011-12-30,736.739
2012-01-31,763.297
2012-02-29,784.209
2012-03-30,793.585
2012-04-30,793.677
2012-05-31,720.287
2012-06-29,748.637
2012-07-31,783.762
2012-08-31,798.643
2012-09-28,872.272
2012-10-31,891.043
2012-11-30,892.658
2012-12-31,885.035
2013-01-31,928.2
2013-02-28,941.327
2013-03-29,980.92
2013-04-30,1039.779
2013-05-31,951.982
2013-06-28,926.241
2013-07-31,971.357
2013-08-30,923.501
2013-09-30,1061.845
2013-10-31,1095.82
2013-11-29,1063.466
2013-12-31,1042.936
2014-01-31,1082.185
2014-02-28,1133.626
2014-03-31,1219.939
2014-04-30,1192.047
2014-05-30,1156.537
2014-06-30,1174.358
2014-07-31,1127.573
2014-08-29,1124.742
2014-09-30,1036.506
2014-10-31,1041.667
2014-11-28,1055.79
2014-12-31,1103.946
2015-01-30,1037.007
2015-02-27,1121.17
2015-03-31,1103.91
2015-04-30,1125.48
2015-05-29,1078.493
2015-06-30,994.267
2015-07-31,1020.532
2015-08-31,914.656
2015-09-30,915.007
2015-10-30,1037.502
2015-11-30,1025.056
2015-12-31,1130.904
2016-01-29,1037.693
2016-02-29,1083.677
2016-03-31,1232.029
2016-04-29,1230.853
2016-05-31,1253.161
2016-06-30,1303.747
2016-07-29,1425.957
2016-08-31,1413.456
2016-09-30,1400.6
2016-10-31,1279.471
2016-11-30,1253.087
2016-12-30,1229.805
2017-01-31,1340.486
2017-02-28,1358.896
2017-03-31,1313.762
2017-04-28,1334.243
2017-05-31,1382.925
2017-06-30,1464.97
2017-07-31,1514.31
2017-08-31,1495.547
2017-09-29,1552.264
2017-10-31,1545.276
2017-11-30,1569.325
2017-12-29,1668.575
2018-01-31,1775.923
2018-02-28,1834.138
2018-03-30,1793.688
2018-04-30,1750.739
2018-05-31,1766.649
2018-06-29,1799.269
2018-07-31,1769.368
2018-08-31,1882.796
2018-09-28,1811.405
2018-10-31,1641.704
2018-11-30,1712.633
2018-12-31,1681.132
2019-01-31,1796.581
2019-02-28,1911.278
2019-03-29,1993.135
2019-04-30,2019.395
2019-05-31,1927.624
2019-06-28,1989.688
2019-07-31,2146.139
2019-08-30,1938.076
2019-09-30,1915.428
2019-10-31,1981.17
2019-11-29,2217.443
2019-12-31,2350.154
2020-01-31,2306.276
2020-02-28,2234.099
2020-03-31,2056.583
2020-04-30,2241.91
2020-05-29,2325.608
2020-06-30,2638.844
2020-07-31,2785.521
2020-08-31,2829.509
2020-09-30,2552.915
2020-10-30,2624.396
2020-11-30,2817.799
2020-12-31,2752.231
2021-01-29,2740.705
2021-02-26,2445.385
2021-03-31,2415.332
2021-04-30,2543.016
2021-05-31,2311.615
2021-06-30,2320.633
2021-07-30,2313.316
2021-08-31,2439.705
2021-09-30,2403.902
2021-10-29,2474.731
2021-11-30,2320.999
2021-12-31,2350.557
2022-01-31,2034.905
2022-02-28,2120.015
2022-03-31,2124.16
2022-04-29,1889.658
2022-05-31,1821.027
2022-06-30,1662.574
2022-07-29,1761.841
2022-08-31,1743.683
2022-09-30,1530.298
2022-10-31,1622.332
2022-11-30,1836.379
2022-12-30,1854.557
2023-01-31,2021.102
2023-02-28,1934.981
2023-03-31,1954.195
2023-04-28,1945.785
2023-05-31,1799.843
2023-06-30,1858.141
2023-07-31,1911.348
2023-08-31,1737.175
2023-09-29,1687.723
2023-10-31,1561.562
2023-11-30,1765.217
2023-12-29,1860.142
