Date,BELGIUM Standard (Large+Mid Cap)
2001-01-01,6891.032
2001-01-02,6983.473
2001-01-03,6825.157
2001-01-04,6840.227
2001-01-05,6887.805
2001-01-08,6847.809
2001-01-09,6776.866
2001-01-10,6737.446
2001-01-11,6842.313
2001-01-12,6845.018
2001-01-15,6770.098
2001-01-16,6746.383
2001-01-17,6681.123
2001-01-18,6740.063
2001-01-19,6661.606
2001-01-22,6683.012
2001-01-23,6718.43
2001-01-24,6602.909
2001-01-25,6584.699
2001-01-26,6592.272
2001-01-29,6584.081
2001-01-30,6648.18
2001-01-31,6717.062
2001-02-01,6845.415
2001-02-02,6842.86
2001-02-05,6914.893
2001-02-06,6858.741
2001-02-07,6844.695
2001-02-08,6686.285
2001-02-09,6738.036
2001-02-12,6775.994
2001-02-13,6750.243
2001-02-14,6743.619
2001-02-15,6663.653
2001-02-16,6706.724
2001-02-19,6755.03
2001-02-20,6665.695
2001-02-21,6624.339
2001-02-22,6534.842
2001-02-23,6507.38
2001-02-26,6563.904
2001-02-27,6662.615
2001-02-28,6724.971
2001-03-01,6693.066
2001-03-02,6712.947
2001-03-05,6712.547
2001-03-06,6725.94
2001-03-07,6697.826
2001-03-08,6707.915
2001-03-09,6718.707
2001-03-12,6618.71
2001-03-13,6427.7
2001-03-14,6302.555
2001-03-15,6179.838
2001-03-16,5933.046
2001-03-19,5855.995
2001-03-20,5971.026
2001-03-21,5824.576
2001-03-22,5521.25
2001-03-23,5665.035
2001-03-26,5967.7
2001-03-27,6027.6
2001-03-28,5945.195
2001-03-29,5940.983
2001-03-30,6119.18
2001-04-02,6198.345
2001-04-03,6138.471
2001-04-04,6210.625
2001-04-05,6247.674
2001-04-06,6238.476
2001-04-09,6344.469
2001-04-10,6309.449
2001-04-11,6214.918
2001-04-12,6188.973
2001-04-13,6188.973
2001-04-16,6125.59
2001-04-17,6100.771
2001-04-18,6098.602
2001-04-19,6181.104
2001-04-20,6159.769
2001-04-23,6044.851
2001-04-24,6059.263
2001-04-25,6080.421
2001-04-26,6126.452
2001-04-27,6088.845
2001-04-30,6076.247
2001-05-01,6108.46
2001-05-02,6104.801
2001-05-03,6030.696
2001-05-04,5937.614
2001-05-07,5930.305
2001-05-08,5883.907
2001-05-09,5870.504
2001-05-10,5949.95
2001-05-11,5925.234
2001-05-14,5865.427
2001-05-15,5886.827
2001-05-16,5891.472
2001-05-17,5892.323
2001-05-18,5883.878
2001-05-21,5848.371
2001-05-22,5842.708
2001-05-23,5886.402
2001-05-24,5912.975
2001-05-25,5862.513
2001-05-28,5902.723
2001-05-29,5858.365
2001-05-30,5933.846
2001-05-31,5824.014
2001-06-01,5808.467
2001-06-04,5816.358
2001-06-05,5966.443
2001-06-06,6066.206
2001-06-07,6023.367
2001-06-08,6041.718
2001-06-11,5950.076
2001-06-12,5953.751
2001-06-13,6009.83
2001-06-14,6020.626
2001-06-15,5990.239
2001-06-18,6004.907
2001-06-19,5994.12
2001-06-20,5994.639
2001-06-21,6002.373
2001-06-22,6034.721
2001-06-25,6026.304
2001-06-26,6019.556
2001-06-27,6021.271
2001-06-28,5982.852
2001-06-29,5992.442
2001-07-02,6014.92
2001-07-03,6014.552
2001-07-04,6001.73
2001-07-05,5992.331
2001-07-06,5972.332
2001-07-09,5998.425
2001-07-10,6091.624
2001-07-11,6096.536
2001-07-12,6076.191
2001-07-13,6124.945
2001-07-16,6172.761
2001-07-17,6159.188
2001-07-18,6334.517
2001-07-19,6366.498
2001-07-20,6405.245
2001-07-23,6373.144
2001-07-24,6411.29
2001-07-25,6382.232
2001-07-26,6315.779
2001-07-27,6326.659
2001-07-30,6358.343
2001-07-31,6386.623
2001-08-01,6439.104
2001-08-02,6430.992
2001-08-03,6438.685
2001-08-06,6417.521
2001-08-07,6379.816
2001-08-08,6402.921
2001-08-09,6424.362
2001-08-10,6475.452
2001-08-13,6477.176
2001-08-14,6477.544
2001-08-15,6554.255
2001-08-16,6537.077
2001-08-17,6489.229
2001-08-20,6461.137
2001-08-21,6473.63
2001-08-22,6533.29
2001-08-23,6550.772
2001-08-24,6592.327
2001-08-27,6576.467
2001-08-28,6563.852
2001-08-29,6563.127
2001-08-30,6524.426
2001-08-31,6513.912
2001-09-03,6463.35
2001-09-04,6333.592
2001-09-05,6320.374
2001-09-06,6257.244
2001-09-07,6161.168
2001-09-10,6032.879
2001-09-11,5782.96
2001-09-12,5824.735
2001-09-13,5841.022
2001-09-14,5700.543
2001-09-17,5702.145
2001-09-18,5697.717
2001-09-19,5691.75
2001-09-20,5469.919
2001-09-21,5267.927
2001-09-24,5513.02
2001-09-25,5586.624
2001-09-26,5653.206
2001-09-27,5798.192
2001-09-28,5891.442
2001-10-01,5915.428
2001-10-02,5971.965
2001-10-03,5910.516
2001-10-04,6018.086
2001-10-05,6031.615
2001-10-08,5982.35
2001-10-09,5966.175
2001-10-10,5972.687
2001-10-11,5981.416
2001-10-12,5939.358
2001-10-15,5800.542
2001-10-16,5791.668
2001-10-17,5754.87
2001-10-18,5703.684
2001-10-19,5612.454
2001-10-22,5644.207
2001-10-23,5694.731
2001-10-24,5723.936
2001-10-25,5659.566
2001-10-26,5718.111
2001-10-29,5736.971
2001-10-30,5701.729
2001-10-31,5695.523
2001-11-01,5746.165
2001-11-02,5770.102
2001-11-05,5803.863
2001-11-06,5809.291
2001-11-07,5903.093
2001-11-08,5924.451
2001-11-09,5803.554
2001-11-12,5732.518
2001-11-13,5764.83
2001-11-14,5830.488
2001-11-15,5797.988
2001-11-16,5766.186
2001-11-19,5816.284
2001-11-20,5798.296
2001-11-21,5733.511
2001-11-22,5731.779
2001-11-23,5667.45
2001-11-26,5626.929
2001-11-27,5592.574
2001-11-28,5632.15
2001-11-29,5676.767
2001-11-30,5879.637
2001-12-03,5772.336
2001-12-04,5767.866
2001-12-05,5799.349
2001-12-06,5869.263
2001-12-07,5854.585
2001-12-10,5815.014
2001-12-11,5774.829
2001-12-12,5792.074
2001-12-13,5780.765
2001-12-14,5823.355
2001-12-17,5897.205
2001-12-18,5908.983
2001-12-19,5953.905
2001-12-20,5898.581
2001-12-21,5929.59
2001-12-24,5921.201
2001-12-25,5921.201
2001-12-26,5926.259
2001-12-27,6107.614
2001-12-28,6130.363
2001-12-31,6190.151
2002-01-01,6190.151
2002-01-02,6168.645
2002-01-03,6144.631
2002-01-04,6016.302
2002-01-07,5944.46
2002-01-08,5928.962
2002-01-09,5923.771
2002-01-10,5906.235
2002-01-11,5879.405
2002-01-14,5817.319
2002-01-15,5875.686
2002-01-16,5788.64
2002-01-17,5897.853
2002-01-18,5948.196
2002-01-21,5933.849
2002-01-22,5941.691
2002-01-23,6020.47
2002-01-24,6067.276
2002-01-25,5939.391
2002-01-28,5964.285
2002-01-29,5929.588
2002-01-30,5812.938
2002-01-31,5860.144
2002-02-01,5869.354
2002-02-04,5944.298
2002-02-05,5849.834
2002-02-06,5831.091
2002-02-07,5862.33
2002-02-08,5888.846
2002-02-11,5995.631
2002-02-12,5980.454
2002-02-13,5981.273
2002-02-14,6016.313
2002-02-15,5996.841
2002-02-18,5931.739
2002-02-19,5773.375
2002-02-20,5726.978
2002-02-21,5721.69
2002-02-22,5721.808
2002-02-25,5736.056
2002-02-26,5736.839
2002-02-27,5743.906
2002-02-28,5797.071
2002-03-01,5825.686
2002-03-04,5914.942
2002-03-05,5907.31
2002-03-06,5902.933
2002-03-07,5916.422
2002-03-08,5856.302
2002-03-11,5888.503
2002-03-12,5846.128
2002-03-13,5844.12
2002-03-14,5851.768
2002-03-15,5835.713
2002-03-18,5886.132
2002-03-19,5950.313
2002-03-20,5928.354
2002-03-21,5926.992
2002-03-22,5937.425
2002-03-25,5939.343
2002-03-26,5962.616
2002-03-27,5920.988
2002-03-28,5934.2
2002-03-29,5934.2
2002-04-01,5982.835
2002-04-02,5962.412
2002-04-03,6005.859
2002-04-04,6066.633
2002-04-05,5992.126
2002-04-08,5922.56
2002-04-09,5915.65
2002-04-10,5987.344
2002-04-11,6003.29
2002-04-12,6038.142
2002-04-15,6074.632
2002-04-16,6167.893
2002-04-17,6211.67
2002-04-18,6212.501
2002-04-19,6251.584
2002-04-22,6272.215
2002-04-23,6321.058
2002-04-24,6324.579
2002-04-25,6270.287
2002-04-26,6186.972
2002-04-29,6123.972
2002-04-30,6209.043
2002-05-01,6244.185
2002-05-02,6159.254
2002-05-03,6254.632
2002-05-06,6306.268
2002-05-07,6203.983
2002-05-08,6314.231
2002-05-09,6338.883
2002-05-10,6352.216
2002-05-13,6385.872
2002-05-14,6372.745
2002-05-15,6370.152
2002-05-16,6360.48
2002-05-17,6386.637
2002-05-20,6354.297
2002-05-21,6349.869
2002-05-22,6363.874
2002-05-23,6365.353
2002-05-24,6269.184
2002-05-27,6243.724
2002-05-28,6297.656
2002-05-29,6416.603
2002-05-30,6395.741
2002-05-31,6404.864
2002-06-03,6374.449
2002-06-04,6263.31
2002-06-05,6191.951
2002-06-06,6294.955
2002-06-07,6289.871
