Date,BELGIUM Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,101.067
1970-02-27,101.267
1970-03-31,101.957
1970-04-30,100.935
1970-05-29,97.124
1970-06-30,98.128
1970-07-31,104.009
1970-08-31,103.779
1970-09-30,104.731
1970-10-30,106.34
1970-11-30,104.938
1970-12-31,107.181
1971-01-29,116.396
1971-02-26,119.681
1971-03-31,117.423
1971-04-30,121.092
1971-05-31,122.671
1971-06-30,124.006
1971-07-30,128.914
1971-08-31,127.624
1971-09-30,123.823
1971-10-29,120.801
1971-11-30,124.836
1971-12-31,131.093
1972-01-31,139.478
1972-02-29,146.785
1972-03-31,154.211
1972-04-28,153.278
1972-05-31,155.763
1972-06-30,157.539
1972-07-31,166.953
1972-08-31,165.193
1972-09-29,165.851
1972-10-31,164.875
1972-11-30,166.597
1972-12-29,173.123
1973-01-31,185.225
1973-02-28,216.373
1973-03-30,219.082
1973-04-30,223.516
1973-05-31,233.888
1973-06-29,250.438
1973-07-31,242.928
1973-08-31,223.668
1973-09-28,233.861
1973-10-31,241.142
1973-11-30,203.762
1973-12-31,198.397
1974-01-31,194.908
1974-02-28,201.898
1974-03-29,201.461
1974-04-30,208.851
1974-05-31,188.346
1974-06-28,179.255
1974-07-31,185.389
1974-08-30,165.263
1974-09-30,154.665
1974-10-31,167.795
1974-11-29,172.335
1974-12-31,169.979
1975-01-31,198.101
1975-02-28,212.371
1975-03-31,207.845
1975-04-30,216.935
1975-05-30,218.477
1975-06-30,211.107
1975-07-31,198.654
1975-08-29,199.743
1975-09-30,176.903
1975-10-31,184.357
1975-11-28,192.4
1975-12-31,193.58
1976-01-30,211.685
1976-02-27,206.551
1976-03-31,199.859
1976-04-30,201.23
1976-05-31,191.287
1976-06-30,192.996
1976-07-30,193.114
1976-08-31,187.202
1976-09-30,186.985
1976-10-29,185.98
1976-11-30,199.572
1976-12-31,212.095
1977-01-31,205.225
1977-02-28,211.925
1977-03-31,206.34
1977-04-29,211.494
1977-05-31,210.533
1977-06-30,217.563
1977-07-29,221.791
1977-08-31,217.334
1977-09-30,217.718
1977-10-31,219.599
1977-11-30,217.845
1977-12-30,229.736
1978-01-31,240.63
1978-02-28,249.299
1978-03-31,254.159
1978-04-28,266.808
1978-05-31,251.742
1978-06-30,248.346
1978-07-31,256.562
1978-08-31,264.839
1978-09-29,272.178
1978-10-31,301.82
1978-11-30,277.492
1978-12-29,295.846
1979-01-31,310.565
1979-02-28,316.589
1979-03-30,320.988
1979-04-30,317.4
1979-05-31,308.919
1979-06-29,317.886
1979-07-31,325.547
1979-08-31,325.525
1979-09-28,348.443
1979-10-31,329.959
1979-11-30,342.988
1979-12-31,345.838
1980-01-31,352.057
1980-02-29,333.426
1980-03-31,276.906
1980-04-30,327.771
1980-05-30,333.13
1980-06-30,343.323
1980-07-31,337.36
1980-08-29,324.181
1980-09-30,320.526
1980-10-31,304.036
1980-11-28,290.522
1980-12-31,280.106
1981-01-30,263.885
1981-02-27,256.011
1981-03-31,246.615
1981-04-30,237.619
1981-05-29,207.363
1981-06-30,197.212
1981-07-31,185.975
1981-08-31,190.017
1981-09-30,189.342
1981-10-30,193.35
1981-11-30,201.853
1981-12-31,237.836
1982-01-29,250.974
1982-02-26,242.486
1982-03-31,226.485
1982-04-30,237.439
1982-05-31,223.157
1982-06-30,212.42
1982-07-30,222.811
1982-08-31,233.549
1982-09-30,238.716
1982-10-29,234.211
1982-11-30,241.573
1982-12-31,260.714
1983-01-31,259.512
1983-02-28,265.545
1983-03-31,297.276
1983-04-29,320.011
1983-05-31,306.997
1983-06-30,322.415
1983-07-29,329.293
1983-08-31,318.051
1983-09-30,319.926
1983-10-31,301.114
1983-11-30,312.244
1983-12-30,327.407
1984-01-31,346.488
1984-02-29,350.135
1984-03-30,370.121
1984-04-30,386.86
1984-05-31,370.978
