Date,BELGIUM Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,101.052
1970-02-27,101.236
1970-03-31,101.91
1970-04-30,100.871
1970-05-29,97.046
1970-06-30,98.031
1970-07-31,103.888
1970-08-31,103.641
1970-09-30,104.574
1970-10-30,106.101
1970-11-30,104.684
1970-12-31,106.905
1971-01-29,116.078
1971-02-26,119.338
1971-03-31,117.05
1971-04-30,120.689
1971-05-31,122.245
1971-06-30,123.558
1971-07-30,128.428
1971-08-31,127.123
1971-09-30,123.316
1971-10-29,120.286
1971-11-30,124.282
1971-12-31,130.49
1972-01-31,138.816
1972-02-29,146.068
1972-03-31,153.375
1972-04-28,152.426
1972-05-31,154.938
1972-06-30,156.683
1972-07-31,166.024
1972-08-31,164.253
1972-09-29,164.886
1972-10-31,163.894
1972-11-30,165.585
1972-12-29,172.05
1973-01-31,184.055
1973-02-28,214.983
1973-03-30,217.65
1973-04-30,222.031
1973-05-31,232.309
1973-06-29,248.721
1973-07-31,241.236
1973-08-31,222.084
1973-09-28,232.177
1973-10-31,239.377
1973-11-30,202.244
1973-12-31,196.893
1974-01-31,193.405
1974-02-28,200.313
1974-03-29,199.85
1974-04-30,207.05
1974-05-31,186.596
1974-06-28,177.461
1974-07-31,183.455
1974-08-30,163.407
1974-09-30,152.794
1974-10-31,165.625
1974-11-29,169.964
1974-12-31,167.491
1975-01-31,195.11
1975-02-28,209.075
1975-03-31,204.536
1975-04-30,213.324
1975-05-30,214.682
1975-06-30,207.284
1975-07-31,194.912
1975-08-29,195.836
1975-09-30,173.303
1975-10-31,180.458
1975-11-28,188.187
1975-12-31,189.198
1976-01-30,206.677
1976-02-27,201.446
1976-03-31,194.7
1976-04-30,195.836
1976-05-31,185.959
1976-06-30,187.417
1976-07-30,187.329
1976-08-31,181.391
1976-09-30,180.972
1976-10-29,179.777
1976-11-30,192.693
1976-12-31,204.548
1977-01-31,197.7
1977-02-28,203.927
1977-03-31,198.316
1977-04-29,203.027
1977-05-31,201.851
1977-06-30,208.338
1977-07-29,212.13
1977-08-31,207.607
1977-09-30,207.712
1977-10-31,209.24
1977-11-30,207.301
1977-12-30,218.33
1978-01-31,228.309
1978-02-28,236.314
1978-03-31,240.612
1978-04-28,252.281
1978-05-31,237.727
1978-06-30,234.207
1978-07-31,241.643
1978-08-31,249.119
1978-09-29,255.7
1978-10-31,283.176
1978-11-30,260.012
1978-12-29,276.846
1979-01-31,290.256
1979-02-28,295.516
1979-03-30,299.253
1979-04-30,295.549
1979-05-31,287.292
1979-06-29,295.267
1979-07-31,302.01
1979-08-31,301.618
1979-09-28,322.455
1979-10-31,304.964
1979-11-30,316.597
1979-12-31,318.818
1980-01-31,324.125
1980-02-29,306.552
