Date,BELGIUM Standard (Large+Mid Cap)
2001-01-01,4883.654
2001-01-02,4949.166
2001-01-03,4836.969
2001-01-04,4847.648
2001-01-05,4881.367
2001-01-08,4853.022
2001-01-09,4802.745
2001-01-10,4774.808
2001-01-11,4848.041
2001-01-12,4849.957
2001-01-15,4796.874
2001-01-16,4780.071
2001-01-17,4733.832
2001-01-18,4775.593
2001-01-19,4720.003
2001-01-22,4735.17
2001-01-23,4760.265
2001-01-24,4678.414
2001-01-25,4665.512
2001-01-26,4670.877
2001-01-29,4665.074
2001-01-30,4710.49
2001-01-31,4759.296
2001-02-01,4850.238
2001-02-02,4848.428
2001-02-05,4899.466
2001-02-06,4859.681
2001-02-07,4849.728
2001-02-08,4737.489
2001-02-09,4774.157
2001-02-12,4801.051
2001-02-13,4782.805
2001-02-14,4778.112
2001-02-15,4721.453
2001-02-16,4751.97
2001-02-19,4786.198
2001-02-20,4722.9
2001-02-21,4693.598
2001-02-22,4630.185
2001-02-23,4610.728
2001-02-26,4650.777
2001-02-27,4720.718
2001-02-28,4764.899
2001-03-01,4742.294
2001-03-02,4756.38
2001-03-05,4756.096
2001-03-06,4765.586
2001-03-07,4745.666
2001-03-08,4752.814
2001-03-09,4760.461
2001-03-12,4689.609
2001-03-13,4554.271
2001-03-14,4465.602
2001-03-15,4378.652
2001-03-16,4203.79
2001-03-19,4149.197
2001-03-20,4230.7
2001-03-21,4126.935
2001-03-22,3912.017
2001-03-23,4013.894
2001-03-26,4228.344
2001-03-27,4270.785
2001-03-28,4212.398
2001-03-29,4209.414
2001-03-30,4335.673
2001-04-02,4391.764
2001-04-03,4349.341
2001-04-04,4400.465
2001-04-05,4426.716
2001-04-06,4420.199
2001-04-09,4495.299
2001-04-10,4470.486
2001-04-11,4403.507
2001-04-12,4385.124
2001-04-13,4385.124
2001-04-16,4340.215
2001-04-17,4322.63
2001-04-18,4321.093
2001-04-19,4379.549
2001-04-20,4364.432
2001-04-23,4283.008
2001-04-24,4293.22
2001-04-25,4306.921
2001-04-26,4339.527
2001-04-27,4312.888
2001-04-30,4298.604
2001-05-01,4321.392
2001-05-02,4318.804
2001-05-03,4266.379
2001-05-04,4200.529
2001-05-07,4195.358
2001-05-08,4162.534
2001-05-09,4153.052
2001-05-10,4209.256
2001-05-11,4191.771
2001-05-14,4149.04
2001-05-15,4164.178
2001-05-16,4165.959
2001-05-17,4157.222
2001-05-18,4151.264
2001-05-21,4126.212
2001-05-22,4122.217
2001-05-23,4153.044
2001-05-24,4171.793
2001-05-25,4136.19
2001-05-28,4164.559
2001-05-29,4132.975
2001-05-30,4186.226
2001-05-31,4099.525
2001-06-01,4088.581
2001-06-04,4094.136
2001-06-05,4199.45
2001-06-06,4269.668
2001-06-07,4239.365
2001-06-08,4252.281
2001-06-11,4187.782
2001-06-12,4190.369
2001-06-13,4229.838
2001-06-14,4234.861
2001-06-15,4213.487
2001-06-18,4223.804
2001-06-19,4214.347
2001-06-20,4214.712
2001-06-21,4220.149
2001-06-22,4242.893
2001-06-25,4236.975
2001-06-26,4232.231
2001-06-27,4233.436
2001-06-28,4206.424
2001-06-29,4213.167
2001-07-02,4228.971
2001-07-03,4228.712
2001-07-04,4219.697
2001-07-05,4213.09
2001-07-06,4199.028
2001-07-09,4217.374
2001-07-10,4282.9
2001-07-11,4286.354
2001-07-12,4272.05
2001-07-13,4306.328
2001-07-16,4339.946
2001-07-17,4330.403
2001-07-18,4453.673
2001-07-19,4476.159
2001-07-20,4503.401
2001-07-23,4480.831
2001-07-24,4507.651
2001-07-25,4487.221
2001-07-26,4440.499
2001-07-27,4448.148
2001-07-30,4470.425
2001-07-31,4490.308
2001-08-01,4527.206
2001-08-02,4521.503
2001-08-03,4526.912
2001-08-06,4512.032
2001-08-07,4485.522
2001-08-08,4501.767
2001-08-09,4516.841
2001-08-10,4552.762
2001-08-13,4553.974
2001-08-14,4554.233
2001-08-15,4608.167
2001-08-16,4596.09
2001-08-17,4562.449
2001-08-20,4542.697
2001-08-21,4551.481
2001-08-22,4593.427
2001-08-23,4605.718
2001-08-24,4634.935
2001-08-27,4623.784
2001-08-28,4614.914
2001-08-29,4614.405
2001-08-30,4587.195
2001-08-31,4579.803
2001-09-03,4544.253
2001-09-04,4453.023
2001-09-05,4443.73
2001-09-06,4399.345
2001-09-07,4331.795
2001-09-10,4241.598
2001-09-11,4065.884
2001-09-12,4095.256
2001-09-13,4106.707
2001-09-14,4007.939
2001-09-17,4009.065
2001-09-18,4005.952
2001-09-19,4001.757
2001-09-20,3845.792
