Date,SWITZERLAND LARGE CAP Large Cap
1994-05-31,215.163
1994-06-30,218.189
1994-07-29,212.817
1994-08-31,221.109
1994-09-30,219.171
1994-10-31,221.969
1994-11-30,217.229
1994-12-30,223.514
1995-01-31,220.479
1995-02-28,233.093
1995-03-31,248.666
1995-04-28,254.242
1995-05-31,266.864
1995-06-30,275.724
1995-07-31,278.674
1995-08-31,272.233
1995-09-29,295.875
1995-10-31,308.296
1995-11-30,311.989
1995-12-29,325.076
1996-01-31,306.165
1996-02-29,317.749
1996-03-29,343.167
1996-04-30,330.268
1996-05-31,319.086
1996-06-28,336.438
1996-07-31,329.58
1996-08-30,343.391
1996-09-30,335.831
1996-10-31,333.968
1996-11-29,336.176
1996-12-31,326.991
1997-01-31,334.456
1997-02-28,337.753
1997-03-31,358.405
1997-04-30,368.554
1997-05-30,395.165
1997-06-30,427.636
1997-07-31,435.511
1997-08-29,395.095
1997-09-30,435.646
1997-10-31,433.329
1997-11-28,445.681
1997-12-31,470.538
1998-01-30,487.145
1998-02-27,531.673
1998-03-31,543.15
1998-04-30,541.543
1998-05-29,565.868
1998-06-30,565.632
1998-07-31,603.909
1998-08-31,510.287
1998-09-30,468.615
1998-10-30,538.472
1998-11-30,564.163
1998-12-31,579.148
1999-01-29,569.284
1999-02-26,547.8
1999-03-31,542.273
1999-04-30,544.765
1999-05-31,516.733
1999-06-30,510.075
1999-07-30,529.795
1999-08-31,529.89
1999-09-30,528.925
1999-10-29,535.501
1999-11-30,533.559
1999-12-31,545.227
2000-01-31,486.891
2000-02-29,477.916
2000-03-31,517.737
2000-04-28,499.064
2000-05-31,529.29
2000-06-30,550.658
2000-07-31,557.256
2000-08-31,547.199
2000-09-29,521.348
2000-10-31,520.408
2000-11-30,540.558
2000-12-29,589.763
2001-01-31,573.174
2001-02-28,536.951
2001-03-30,485.276
2001-04-30,497.524
2001-05-31,493.906
2001-06-29,476.748
2001-07-31,472.245
2001-08-31,472.128
2001-09-28,447.716
2001-10-31,447.376
2001-11-30,455.639
2001-12-31,464.952
2002-01-31,438.313
2002-02-28,449.697
2002-03-29,478.481
2002-04-30,489.781
2002-05-31,508.485
2002-06-28,488.584
2002-07-31,430.822
2002-08-30,430.095
2002-09-30,402.414
2002-10-31,414.941
2002-11-29,424.896
2002-12-31,414.169
2003-01-31,400.288
2003-02-28,380.5
2003-03-31,377.347
2003-04-30,420.182
2003-05-30,447.142
2003-06-30,447.112
2003-07-31,462.724
2003-08-29,454.618
2003-09-30,476.058
2003-10-31,484.658
2003-11-28,510.894
2003-12-31,551.883
2004-01-30,564.711
2004-02-27,569.468
2004-03-31,554.326
2004-04-30,561.962
2004-05-31,564.917
2004-06-30,563.344
2004-07-30,544.538
2004-08-31,536.796
2004-09-30,549.252
2004-10-29,559.077
2004-11-30,598.704
2004-12-31,627.019
2005-01-31,606.538
2005-02-28,639.699
2005-03-31,624.069
2005-04-29,625.118
2005-05-31,626.019
2005-06-30,620.917
2005-07-29,654.393
2005-08-31,659.855
2005-09-30,682.249
2005-10-31,696.515
2005-11-30,720.831
2005-12-30,734.912
2006-01-31,780.058
2006-02-28,768.391
2006-03-31,784.903
2006-04-28,832.176
2006-05-31,807.038
2006-06-30,805.663
2006-07-31,833.724
2006-08-31,856.635
2006-09-29,867.095
2006-10-31,887.468
2006-11-30,912.83
2006-12-29,926.512
2007-01-31,940.544
2007-02-28,922.771
2007-03-30,943.299
2007-04-30,1012.74
2007-05-31,1000.0
2007-06-29,973.297
2007-07-31,958.604
2007-08-31,958.271
2007-09-28,999.194
2007-10-31,1015.064
2007-11-30,1020.697
2007-12-31,978.736
2008-01-31,924.06
2008-02-29,944.055
2008-03-31,954.403
2008-04-30,955.422
