Date,SWITZERLAND LARGE CAP Large Cap
1994-05-31,200.392
1994-06-30,203.556
1994-07-29,198.565
1994-08-31,206.302
1994-09-30,204.493
1994-10-31,207.122
1994-11-30,202.736
1994-12-30,208.602
1995-01-31,205.769
1995-02-28,217.541
1995-03-31,232.076
1995-04-28,237.507
1995-05-31,249.904
1995-06-30,258.751
1995-07-31,261.523
1995-08-31,255.478
1995-09-29,277.685
1995-10-31,289.343
1995-11-30,292.809
1995-12-29,305.154
1996-01-31,287.402
1996-02-29,298.276
1996-03-29,322.163
1996-04-30,310.31
1996-05-31,299.966
1996-06-28,317.035
1996-07-31,310.587
1996-08-30,323.627
1996-09-30,316.502
1996-10-31,314.77
1996-11-29,316.932
1996-12-31,308.274
1997-01-31,315.311
1997-02-28,318.434
1997-03-31,337.905
1997-04-30,348.092
1997-05-30,373.389
1997-06-30,404.704
1997-07-31,412.252
1997-08-29,373.995
1997-09-30,412.38
1997-10-31,410.214
1997-11-28,421.907
1997-12-31,445.437
1998-01-30,461.159
1998-02-27,503.311
1998-03-31,514.176
1998-04-30,513.46
1998-05-29,536.697
1998-06-30,537.224
1998-07-31,573.72
1998-08-31,484.778
1998-09-30,445.223
1998-10-30,511.593
1998-11-30,536.001
1998-12-31,550.239
1999-01-29,540.867
1999-02-26,520.456
1999-03-31,515.204
1999-04-30,518.603
1999-05-31,491.949
1999-06-30,486.464
1999-07-30,505.407
1999-08-31,505.497
1999-09-30,504.577
1999-10-29,510.849
1999-11-30,508.997
1999-12-31,520.128
2000-01-31,464.477
2000-02-29,455.915
2000-03-31,494.068
2000-04-28,477.074
2000-05-31,506.666
2000-06-30,527.694
2000-07-31,534.155
2000-08-31,524.515
2000-09-29,499.735
2000-10-31,499.209
2000-11-30,518.538
2000-12-29,565.738
2001-01-31,549.826
2001-02-28,515.078
2001-03-30,466.119
2001-04-30,478.902
2001-05-31,475.742
2001-06-29,459.076
2001-07-31,454.739
2001-08-31,455.061
2001-09-28,431.532
2001-10-31,430.784
2001-11-30,438.74
2001-12-31,447.708
2002-01-31,422.057
2002-02-28,433.019
2002-03-29,461.222
2002-04-30,472.847
2002-05-31,491.398
2002-06-28,472.167
2002-07-31,416.346
2002-08-30,415.643
2002-09-30,388.952
2002-10-31,401.06
2002-11-29,410.682
2002-12-31,400.314
2003-01-31,386.898
2003-02-28,367.772
2003-03-31,365.457
2003-04-30,408.701
2003-05-30,435.145
2003-06-30,435.159
2003-07-31,450.353
2003-08-29,442.465
2003-09-30,463.406
2003-10-31,471.777
2003-11-28,497.316
2003-12-31,537.215
2004-01-30,549.702
2004-02-27,555.055
2004-03-31,540.296
2004-04-30,550.0
2004-05-31,553.054
2004-06-30,551.514
2004-07-30,533.13
2004-08-31,525.55
2004-09-30,537.846
2004-10-29,547.467
2004-11-30,586.271
2004-12-31,613.998
