Date,SWITZERLAND LARGE CAP Large Cap
2001-01-01,589.763
2001-01-02,594.458
2001-01-03,594.011
2001-01-04,593.262
2001-01-05,584.162
2001-01-08,582.13
2001-01-09,575.359
2001-01-10,567.702
2001-01-11,571.691
2001-01-12,566.916
2001-01-15,563.971
2001-01-16,564.536
2001-01-17,565.531
2001-01-18,573.915
2001-01-19,562.911
2001-01-22,562.832
2001-01-23,565.889
2001-01-24,560.28
2001-01-25,563.023
2001-01-26,567.223
2001-01-29,567.221
2001-01-30,571.476
2001-01-31,573.174
2001-02-01,571.625
2001-02-02,568.426
2001-02-05,575.22
2001-02-06,571.023
2001-02-07,569.785
2001-02-08,556.638
2001-02-09,558.883
2001-02-12,559.276
2001-02-13,554.598
2001-02-14,547.482
2001-02-15,542.607
2001-02-16,539.528
2001-02-19,543.545
2001-02-20,533.643
2001-02-21,531.698
2001-02-22,531.081
2001-02-23,526.928
2001-02-26,530.692
2001-02-27,536.307
2001-02-28,536.951
2001-03-01,534.114
2001-03-02,535.409
2001-03-05,535.597
2001-03-06,538.565
2001-03-07,535.501
2001-03-08,534.124
2001-03-09,530.98
2001-03-12,521.206
2001-03-13,512.947
2001-03-14,499.932
2001-03-15,501.062
2001-03-16,484.375
2001-03-19,480.37
2001-03-20,485.164
2001-03-21,476.199
2001-03-22,443.497
2001-03-23,457.664
2001-03-26,475.874
2001-03-27,479.115
2001-03-28,472.287
2001-03-29,475.531
2001-03-30,485.276
2001-04-02,474.696
2001-04-03,466.634
2001-04-04,472.149
2001-04-05,480.128
2001-04-06,479.671
2001-04-09,489.068
2001-04-10,490.7
2001-04-11,494.183
2001-04-12,499.153
2001-04-13,499.153
2001-04-16,494.075
2001-04-17,492.944
2001-04-18,492.926
2001-04-19,498.284
2001-04-20,502.13
2001-04-23,495.074
2001-04-24,499.499
2001-04-25,497.255
2001-04-26,497.918
2001-04-27,495.644
2001-04-30,497.524
2001-05-01,499.005
2001-05-02,501.968
2001-05-03,498.484
2001-05-04,502.945
2001-05-07,508.976
2001-05-08,504.691
2001-05-09,500.042
2001-05-10,508.188
2001-05-11,507.786
2001-05-14,503.914
2001-05-15,511.395
2001-05-16,515.709
2001-05-17,517.99
2001-05-18,516.738
2001-05-21,517.828
2001-05-22,515.217
2001-05-23,513.198
2001-05-24,511.928
2001-05-25,509.479
2001-05-28,510.231
2001-05-29,504.155
2001-05-30,502.773
2001-05-31,493.906
2001-06-01,495.584
2001-06-04,496.718
2001-06-05,503.009
2001-06-06,499.983
2001-06-07,501.809
2001-06-08,497.733
2001-06-11,492.415
2001-06-12,489.392
2001-06-13,493.892
2001-06-14,491.376
2001-06-15,490.802
2001-06-18,488.688
2001-06-19,483.436
2001-06-20,478.478
2001-06-21,480.897
2001-06-22,477.683
2001-06-25,480.423
2001-06-26,473.853
2001-06-27,468.105
2001-06-28,472.885
2001-06-29,476.748
2001-07-02,481.852
2001-07-03,477.317
2001-07-04,473.059
2001-07-05,463.77
2001-07-06,460.09
2001-07-09,462.771
2001-07-10,460.439
2001-07-11,459.799
2001-07-12,464.651
2001-07-13,465.785
2001-07-16,467.002
2001-07-17,462.414
2001-07-18,472.609
2001-07-19,480.758
2001-07-20,478.76
2001-07-23,475.885
2001-07-24,467.893
2001-07-25,464.005
2001-07-26,462.802
2001-07-27,466.661
2001-07-30,470.51
2001-07-31,472.245
2001-08-01,479.521
2001-08-02,482.701
2001-08-03,480.797
2001-08-06,479.732
2001-08-07,477.652
2001-08-08,476.603
2001-08-09,472.087
2001-08-10,466.887
2001-08-13,473.845
2001-08-14,480.734
2001-08-15,485.913
2001-08-16,482.323
2001-08-17,480.981
2001-08-20,476.819
2001-08-21,484.909
2001-08-22,483.728
2001-08-23,477.344
2001-08-24,483.516
2001-08-27,484.983
2001-08-28,478.584
2001-08-29,472.719
2001-08-30,467.81
2001-08-31,472.128
2001-09-03,462.188
2001-09-04,461.894
2001-09-05,458.144
2001-09-06,451.616
2001-09-07,447.305
2001-09-10,436.121
2001-09-11,412.48
2001-09-12,422.064
2001-09-13,428.474
2001-09-14,415.863
2001-09-17,431.771
2001-09-18,429.818
2001-09-19,427.57
2001-09-20,410.058
2001-09-21,392.998
2001-09-24,412.444
2001-09-25,428.401
2001-09-26,430.404
2001-09-27,436.463
2001-09-28,447.716
2001-10-01,441.497
2001-10-02,440.68
2001-10-03,440.307
2001-10-04,447.798
2001-10-05,446.109
2001-10-08,447.916
2001-10-09,445.297
2001-10-10,444.831
2001-10-11,449.758
2001-10-12,446.85
2001-10-15,445.015
2001-10-16,444.924
2001-10-17,444.916
2001-10-18,448.855
2001-10-19,445.337
2001-10-22,449.364
2001-10-23,454.06
2001-10-24,454.765
2001-10-25,452.182
2001-10-26,455.258
2001-10-29,452.156
2001-10-30,445.355
2001-10-31,447.376
2001-11-01,450.93
2001-11-02,450.606
2001-11-05,454.196
2001-11-06,454.991
2001-11-07,457.888
2001-11-08,465.953
2001-11-09,462.803
2001-11-12,456.301
2001-11-13,458.937
2001-11-14,463.123
2001-11-15,470.576
2001-11-16,475.379
2001-11-19,476.723
2001-11-20,471.614
