Date,SWITZERLAND LARGE CAP Large Cap
2001-01-01,565.738
2001-01-02,570.243
2001-01-03,569.814
2001-01-04,569.095
2001-01-05,560.366
2001-01-08,558.417
2001-01-09,551.921
2001-01-10,544.576
2001-01-11,548.403
2001-01-12,543.822
2001-01-15,540.998
2001-01-16,541.54
2001-01-17,542.494
2001-01-18,550.536
2001-01-19,539.98
2001-01-22,539.905
2001-01-23,542.838
2001-01-24,537.457
2001-01-25,540.088
2001-01-26,544.117
2001-01-29,544.115
2001-01-30,548.196
2001-01-31,549.826
2001-02-01,548.34
2001-02-02,545.271
2001-02-05,551.789
2001-02-06,547.763
2001-02-07,546.574
2001-02-08,533.963
2001-02-09,536.117
2001-02-12,536.494
2001-02-13,532.007
2001-02-14,525.18
2001-02-15,520.503
2001-02-16,517.55
2001-02-19,521.404
2001-02-20,511.905
2001-02-21,510.039
2001-02-22,509.447
2001-02-23,505.464
2001-02-26,509.074
2001-02-27,514.461
2001-02-28,515.078
2001-03-01,512.357
2001-03-02,513.599
2001-03-05,513.779
2001-03-06,516.627
2001-03-07,513.687
2001-03-08,512.367
2001-03-09,509.35
2001-03-12,499.975
2001-03-13,492.052
2001-03-14,479.567
2001-03-15,480.651
2001-03-16,464.644
2001-03-19,460.802
2001-03-20,465.401
2001-03-21,456.801
2001-03-22,425.431
2001-03-23,439.021
2001-03-26,456.65
2001-03-27,460.2
2001-03-28,453.642
2001-03-29,456.758
2001-03-30,466.119
2001-04-02,455.956
2001-04-03,448.212
2001-04-04,453.51
2001-04-05,461.174
2001-04-06,460.914
2001-04-09,469.944
2001-04-10,471.512
2001-04-11,475.247
2001-04-12,480.026
2001-04-13,480.026
2001-04-16,475.144
2001-04-17,474.494
2001-04-18,474.477
2001-04-19,479.634
2001-04-20,483.336
2001-04-23,476.544
2001-04-24,480.803
2001-04-25,478.644
2001-04-26,479.281
2001-04-27,477.093
2001-04-30,478.902
2001-05-01,480.328
2001-05-02,483.18
2001-05-03,479.826
2001-05-04,484.121
2001-05-07,489.926
2001-05-08,485.802
2001-05-09,481.326
2001-05-10,489.167
2001-05-11,488.78
2001-05-14,485.086
2001-05-15,492.287
2001-05-16,496.44
2001-05-17,498.636
2001-05-18,497.448
2001-05-21,498.497
2001-05-22,495.984
2001-05-23,494.324
2001-05-24,493.101
2001-05-25,490.742
2001-05-28,491.466
2001-05-29,485.614
2001-05-30,484.283
2001-05-31,475.742
2001-06-01,477.498
2001-06-04,478.59
2001-06-05,484.652
2001-06-06,481.86
2001-06-07,483.619
2001-06-08,479.692
2001-06-11,474.567
2001-06-12,471.653
2001-06-13,475.99
2001-06-14,473.565
2001-06-15,473.012
2001-06-18,470.974
2001-06-19,465.912
2001-06-20,461.171
2001-06-21,463.503
2001-06-22,460.405
2001-06-25,462.615
2001-06-26,456.287
2001-06-27,450.752
2001-06-28,455.356
2001-06-29,459.076
2001-07-02,463.99
2001-07-03,459.623
2001-07-04,455.523
2001-07-05,446.579
2001-07-06,443.035
2001-07-09,445.617
2001-07-10,443.371
2001-07-11,442.755
2001-07-12,447.427
