Date,JAPAN LARGE GROWTH Large Cap
2001-01-01,1036.324
2001-01-02,1033.654
2001-01-03,1034.648
2001-01-04,1034.108
2001-01-05,1042.834
2001-01-08,1042.609
2001-01-09,1010.855
2001-01-10,994.996
2001-01-11,966.355
2001-01-12,973.561
2001-01-15,978.039
2001-01-16,1011.315
2001-01-17,1036.18
2001-01-18,1067.595
2001-01-19,1080.899
2001-01-22,1084.877
2001-01-23,1070.785
2001-01-24,1054.4
2001-01-25,1066.529
2001-01-26,1053.149
2001-01-29,1050.796
2001-01-30,1051.71
2001-01-31,1054.444
2001-02-01,1055.866
2001-02-02,1037.963
2001-02-05,1020.874
2001-02-06,1017.053
2001-02-07,1025.168
2001-02-08,1001.51
2001-02-09,1000.189
2001-02-12,1000.189
2001-02-13,991.538
2001-02-14,983.241
2001-02-15,991.655
2001-02-16,985.743
2001-02-19,969.903
2001-02-20,984.608
2001-02-21,966.958
2001-02-22,969.381
2001-02-23,981.864
2001-02-26,982.708
2001-02-27,969.353
2001-02-28,947.299
2001-03-01,936.98
2001-03-02,892.385
2001-03-05,879.646
2001-03-06,914.482
2001-03-07,925.756
2001-03-08,917.329
2001-03-09,916.963
2001-03-12,879.204
2001-03-13,848.086
2001-03-14,840.91
2001-03-15,849.935
2001-03-16,866.718
2001-03-19,864.374
2001-03-20,861.412
2001-03-21,919.949
2001-03-22,902.111
2001-03-23,939.937
2001-03-26,982.481
2001-03-27,982.459
2001-03-28,999.067
2001-03-29,938.738
2001-03-30,910.403
2001-04-02,895.53
2001-04-03,909.21
2001-04-04,920.288
2001-04-05,938.393
2001-04-06,943.495
2001-04-09,907.736
2001-04-10,895.019
2001-04-11,923.824
2001-04-12,944.462
2001-04-13,945.492
2001-04-16,927.138
2001-04-17,920.179
2001-04-18,967.046
2001-04-19,1001.679
2001-04-20,976.566
2001-04-23,987.647
2001-04-24,969.378
2001-04-25,980.31
2001-04-26,986.509
2001-04-27,981.724
2001-04-30,983.711
2001-05-01,1035.174
