Date,JAPAN LARGE GROWTH Large Cap
2001-01-01,1042.366
2001-01-02,1039.681
2001-01-03,1040.681
2001-01-04,1040.137
2001-01-05,1048.913
2001-01-08,1048.688
2001-01-09,1016.748
2001-01-10,1000.797
2001-01-11,971.989
2001-01-12,979.237
2001-01-15,983.741
2001-01-16,1017.211
2001-01-17,1042.221
2001-01-18,1073.819
2001-01-19,1087.201
2001-01-22,1091.202
2001-01-23,1077.028
2001-01-24,1060.548
2001-01-25,1072.747
2001-01-26,1059.289
2001-01-29,1056.923
2001-01-30,1057.841
2001-01-31,1060.592
2001-02-01,1062.022
2001-02-02,1044.014
2001-02-05,1026.826
2001-02-06,1022.983
2001-02-07,1031.145
2001-02-08,1007.348
2001-02-09,1006.019
2001-02-12,1006.019
2001-02-13,997.318
2001-02-14,988.972
2001-02-15,997.436
2001-02-16,991.489
2001-02-19,975.557
2001-02-20,990.347
2001-02-21,972.595
2001-02-22,975.032
2001-02-23,987.569
2001-02-26,988.417
2001-02-27,974.985
2001-02-28,952.803
2001-03-01,942.423
2001-03-02,897.569
2001-03-05,884.757
2001-03-06,919.795
2001-03-07,931.135
2001-03-08,922.658
2001-03-09,922.29
2001-03-12,884.312
2001-03-13,853.013
2001-03-14,845.795
2001-03-15,854.872
2001-03-16,871.753
2001-03-19,869.395
2001-03-20,866.416
2001-03-21,925.293
2001-03-22,907.352
2001-03-23,945.398
2001-03-26,988.189
2001-03-27,987.81
2001-03-28,1004.508
2001-03-29,943.85
2001-03-30,915.361
2001-04-02,900.407
2001-04-03,914.162
2001-04-04,925.3
2001-04-05,943.504
2001-04-06,948.634
2001-04-09,912.679
2001-04-10,899.893
2001-04-11,928.856
2001-04-12,949.606
2001-04-13,950.641
2001-04-16,932.187
2001-04-17,925.191
2001-04-18,972.313
2001-04-19,1007.134
2001-04-20,981.884
2001-04-23,993.026
2001-04-24,974.657
2001-04-25,985.649
2001-04-26,991.882
2001-04-27,987.071
2001-04-30,989.069
2001-05-01,1040.811
2001-05-02,1063.393
2001-05-03,1071.739
2001-05-04,1071.916
2001-05-07,1097.038
2001-05-08,1062.279
2001-05-09,1040.75
2001-05-10,1023.381
2001-05-11,1019.723
2001-05-14,1002.811
2001-05-15,1021.732
2001-05-16,993.365
2001-05-17,1015.045
2001-05-18,996.661
2001-05-21,1012.622
2001-05-22,1013.989
2001-05-23,1022.57
2001-05-24,1020.796
2001-05-25,1005.746
2001-05-28,990.195
2001-05-29,1004.331
2001-05-30,976.641
2001-05-31,967.77
2001-06-01,967.031
2001-06-04,961.995
2001-06-05,952.749
2001-06-06,949.172
2001-06-07,956.821
2001-06-08,953.783
2001-06-11,930.959
2001-06-12,899.403
2001-06-13,895.665
2001-06-14,898.7
2001-06-15,881.794
2001-06-18,866.923
2001-06-19,863.582
2001-06-20,862.9
2001-06-21,878.194
2001-06-22,892.825
2001-06-25,875.897
2001-06-26,878.269
2001-06-27,870.905
2001-06-28,850.706
2001-06-29,875.081
2001-07-02,866.923
2001-07-03,871.969
2001-07-04,858.726
2001-07-05,843.225
2001-07-06,824.563
2001-07-09,818.202
2001-07-10,830.854
2001-07-11,821.381
2001-07-12,846.51
2001-07-13,836.315
2001-07-16,828.218
2001-07-17,815.716
2001-07-18,798.123
2001-07-19,802.799
2001-07-20,805.375
2001-07-23,772.068
2001-07-24,787.85
2001-07-25,799.757
2001-07-26,799.232
2001-07-27,783.522
2001-07-30,760.09
2001-07-31,781.876
2001-08-01,798.394
2001-08-02,828.798
2001-08-03,823.329
2001-08-06,815.73
2001-08-07,817.23
2001-08-08,816.754
2001-08-09,783.752
2001-08-10,789.285
2001-08-13,770.679
2001-08-14,799.576
2001-08-15,805.908
2001-08-16,783.664
2001-08-17,775.661
2001-08-20,761.177
2001-08-21,767.928
2001-08-22,766.322
2001-08-23,740.183
2001-08-24,739.637
2001-08-27,751.804
2001-08-28,740.296
2001-08-29,728.6
2001-08-30,719.485
