Date,JAPAN LARGE GROWTH Large Cap
1994-05-31,1372.047
1994-06-30,1440.333
1994-07-29,1385.599
1994-08-31,1399.728
1994-09-30,1366.381
1994-10-31,1399.565
1994-11-30,1314.318
1994-12-30,1341.423
1995-01-31,1268.291
1995-02-28,1190.732
1995-03-31,1299.466
1995-04-28,1373.963
1995-05-31,1293.601
1995-06-30,1229.795
1995-07-31,1325.648
1995-08-31,1260.389
1995-09-29,1272.952
1995-10-31,1197.393
1995-11-30,1271.776
1995-12-29,1326.943
1996-01-31,1285.883
1996-02-29,1260.476
1996-03-29,1317.562
1996-04-30,1387.024
1996-05-31,1321.329
1996-06-28,1319.469
1996-07-31,1256.016
1996-08-30,1204.234
1996-09-30,1246.445
1996-10-31,1158.742
1996-11-29,1161.861
1996-12-31,1082.255
1997-01-31,953.206
1997-02-28,987.347
1997-03-31,956.294
1997-04-30,983.758
1997-05-30,1124.14
1997-06-30,1198.927
1997-07-31,1187.377
1997-08-29,1084.581
1997-09-30,1095.22
1997-10-31,976.681
1997-11-28,942.334
1997-12-31,919.115
1998-01-30,957.233
1998-02-27,945.686
1998-03-31,887.851
1998-04-30,896.75
1998-05-29,845.067
1998-06-30,844.705
1998-07-31,847.815
1998-08-31,752.114
1998-09-30,741.85
1998-10-30,849.199
1998-11-30,894.041
1998-12-31,930.526
1999-01-29,942.189
1999-02-26,933.425
1999-03-31,1068.601
1999-04-30,1117.154
1999-05-31,1062.727
1999-06-30,1209.382
1999-07-30,1359.41
1999-08-31,1397.957
1999-09-30,1531.703
1999-10-29,1713.925
1999-11-30,2025.029
1999-12-31,2282.426
2000-01-31,2068.725
2000-02-29,2166.55
2000-03-31,2133.238
2000-04-28,1849.783
2000-05-31,1539.726
2000-06-30,1609.033
2000-07-31,1387.065
2000-08-31,1517.255
2000-09-29,1412.289
2000-10-31,1253.905
2000-11-30,1219.132
2000-12-29,1042.366
2001-01-31,1060.592
2001-02-28,952.803
2001-03-30,915.361
2001-04-30,989.069
2001-05-31,967.77
2001-06-29,875.081
2001-07-31,781.876
2001-08-31,718.33
2001-09-28,696.683
2001-10-31,709.754
2001-11-30,727.329
2001-12-31,666.832
2002-01-31,602.603
2002-02-28,626.017
2002-03-29,680.785
2002-04-30,715.877
2002-05-31,762.595
2002-06-28,716.47
2002-07-31,657.249
2002-08-30,646.299
2002-09-30,612.176
2002-10-31,582.266
2002-11-29,611.197
2002-12-31,583.226
2003-01-31,553.066
2003-02-28,548.364
2003-03-31,525.936
2003-04-30,510.462
2003-05-30,540.346
2003-06-30,578.474
2003-07-31,607.044
2003-08-29,662.084
2003-09-30,688.367
2003-10-31,707.873
2003-11-28,683.137
2003-12-31,719.473
2004-01-30,736.245
2004-02-27,725.756
2004-03-31,823.098
2004-04-30,780.593
2004-05-31,735.659
2004-06-30,755.816
2004-07-30,697.879
2004-08-31,706.135
2004-09-30,687.108
2004-10-29,711.141
2004-11-30,743.654
2004-12-31,785.068
2005-01-31,759.712
2005-02-28,770.525
2005-03-31,750.161
2005-04-29,725.95
2005-05-31,725.285
2005-06-30,719.501
2005-07-29,724.009
2005-08-31,777.835
2005-09-30,853.058
