Date,FINLAND MID GROWTH Mid Cap
1994-05-31,1000.0
1994-06-30,937.258
1994-07-29,1038.11
1994-08-31,1118.748
1994-09-30,1110.049
1994-10-31,1137.915
1994-11-30,1008.607
1994-12-30,1001.118
1995-01-31,1001.894
1995-02-28,945.866
1995-03-31,893.571
1995-04-28,1059.381
1995-05-31,970.995
1995-06-30,1006.219
1995-07-31,1062.354
1995-08-31,991.597
1995-09-29,1055.39
1995-10-31,922.948
1995-11-30,934.412
1995-12-29,902.098
1996-01-31,865.913
1996-02-29,937.235
1996-03-29,904.605
1996-04-30,938.796
1996-05-31,1000.214
1996-06-28,1065.598
1996-07-31,1069.266
1996-08-30,1154.317
1996-09-30,1085.937
1996-10-31,1066.19
1996-11-29,1066.566
1996-12-31,1151.848
1997-01-31,1103.409
1997-02-28,1172.18
1997-03-31,1229.787
1997-04-30,1191.073
1997-05-30,1269.93
1997-06-30,1271.937
1997-07-31,1272.513
1997-08-29,1129.721
1997-09-30,1218.252
1997-10-31,1131.264
1997-11-28,1088.447
1997-12-31,1078.078
1998-01-30,1253.92
1998-02-27,1340.748
1998-03-31,1288.144
1998-04-30,1509.975
1998-05-29,1550.068
1998-06-30,1492.114
1998-07-31,1550.242
1998-08-31,1128.492
1998-09-30,1102.0
1998-10-30,1167.418
1998-11-30,1204.85
1998-12-31,1316.434
1999-01-29,1318.254
1999-02-26,1175.739
1999-03-31,1149.268
1999-04-30,1112.299
1999-05-31,1120.901
1999-06-30,1133.341
1999-07-30,1136.468
1999-08-31,1053.124
1999-09-30,951.127
1999-10-29,1008.41
1999-11-30,1203.792
1999-12-31,1447.705
2000-01-31,1330.341
2000-02-29,1594.043
2000-03-31,1528.267
2000-04-28,1324.363
2000-05-31,1198.295
2000-06-30,1372.766
2000-07-31,1319.471
2000-08-31,1154.418
2000-09-29,1035.441
2000-10-31,839.671
2000-11-30,783.133
2000-12-29,1014.598
2001-01-31,977.124
2001-02-28,826.417
2001-03-30,762.311
2001-04-30,999.922
2001-05-31,918.131
2001-06-29,810.046
2001-07-31,837.305
2001-08-31,626.938
2001-09-28,576.765
2001-10-31,641.785
2001-11-30,704.245
2001-12-31,708.572
2002-01-31,658.828
2002-02-28,659.606
