Date,AUSTRALIA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,250.263
2001-01-02,255.835
2001-01-03,256.328
2001-01-04,259.457
2001-01-05,261.305
2001-01-08,257.767
2001-01-09,254.413
2001-01-10,252.392
2001-01-11,250.979
2001-01-12,250.539
2001-01-15,247.761
2001-01-16,246.844
2001-01-17,245.161
2001-01-18,249.35
2001-01-19,250.836
2001-01-22,250.295
2001-01-23,249.656
2001-01-24,246.345
2001-01-25,248.223
2001-01-26,247.54
2001-01-29,249.151
2001-01-30,250.152
2001-01-31,252.034
2001-02-01,256.043
2001-02-02,254.835
2001-02-05,252.982
2001-02-06,253.314
2001-02-07,249.193
2001-02-08,245.023
2001-02-09,243.081
2001-02-12,245.046
2001-02-13,243.288
2001-02-14,241.287
2001-02-15,238.277
2001-02-16,241.34
2001-02-19,239.702
2001-02-20,237.963
2001-02-21,240.614
2001-02-22,240.731
2001-02-23,240.545
2001-02-26,242.436
2001-02-27,243.641
2001-02-28,245.309
2001-03-01,248.253
2001-03-02,249.428
2001-03-05,248.031
2001-03-06,246.237
2001-03-07,243.153
2001-03-08,240.813
2001-03-09,239.397
2001-03-12,238.87
2001-03-13,233.096
2001-03-14,231.689
2001-03-15,227.077
2001-03-16,226.613
2001-03-19,227.762
2001-03-20,228.467
2001-03-21,226.087
2001-03-22,223.098
2001-03-23,221.149
2001-03-26,223.347
2001-03-27,223.113
2001-03-28,221.587
2001-03-29,221.871
2001-03-30,219.071
2001-04-02,220.474
2001-04-03,221.675
2001-04-04,225.278
2001-04-05,226.831
2001-04-06,229.687
2001-04-09,226.655
2001-04-10,228.244
2001-04-11,232.293
2001-04-12,235.757
2001-04-13,235.757
2001-04-16,236.5
2001-04-17,233.536
2001-04-18,228.842
2001-04-19,237.628
2001-04-20,242.581
2001-04-23,235.85
2001-04-24,235.601
2001-04-25,236.162
2001-04-26,238.989
2001-04-27,237.202
2001-04-30,239.19
2001-05-01,242.171
2001-05-02,243.402
2001-05-03,245.737
2001-05-04,244.346
2001-05-07,244.756
2001-05-08,244.099
2001-05-09,246.686
2001-05-10,251.471
2001-05-11,250.343
2001-05-14,248.632
2001-05-15,250.634
2001-05-16,252.485
2001-05-17,257.613
2001-05-18,255.464
2001-05-21,261.109
2001-05-22,257.883
2001-05-23,256.601
2001-05-24,256.485
2001-05-25,256.207
2001-05-28,257.308
2001-05-29,254.333
2001-05-30,253.174
2001-05-31,249.231
2001-06-01,251.782
2001-06-04,253.879
2001-06-05,252.723
2001-06-06,255.903
2001-06-07,260.655
2001-06-08,262.305
2001-06-11,261.768
2001-06-12,262.895
2001-06-13,265.077
2001-06-14,264.985
2001-06-15,266.431
2001-06-18,261.523
2001-06-19,261.502
2001-06-20,262.938
2001-06-21,262.83
2001-06-22,262.88
2001-06-25,262.174
2001-06-26,265.507
2001-06-27,262.373
2001-06-28,259.567
2001-06-29,262.113
2001-07-02,258.064
2001-07-03,260.808
2001-07-04,261.907
2001-07-05,256.086
2001-07-06,250.585
2001-07-09,249.081
2001-07-10,252.466
2001-07-11,251.888
2001-07-12,251.867
2001-07-13,253.617
2001-07-16,256.33
2001-07-17,253.331
2001-07-18,257.675
2001-07-19,257.805
2001-07-20,252.958
2001-07-23,252.932
2001-07-24,250.934
2001-07-25,249.057
2001-07-26,246.884
2001-07-27,244.879
2001-07-30,246.306
2001-07-31,247.551
2001-08-01,256.139
2001-08-02,259.513
2001-08-03,259.222
2001-08-06,260.039
2001-08-07,259.406
2001-08-08,260.236
2001-08-09,258.874
2001-08-10,259.163
2001-08-13,259.118
2001-08-14,258.088
2001-08-15,263.579
2001-08-16,261.807
2001-08-17,265.859
2001-08-20,262.685
2001-08-21,263.852
2001-08-22,265.763
2001-08-23,264.654
2001-08-24,266.049
2001-08-27,267.833
2001-08-28,267.73
2001-08-29,267.301
2001-08-30,266.541
2001-08-31,260.4
2001-09-03,257.684
2001-09-04,257.086
2001-09-05,255.433
2001-09-06,254.167
2001-09-07,250.939
2001-09-10,249.474
2001-09-11,252.962
2001-09-12,243.198
2001-09-13,242.383
2001-09-14,240.68
2001-09-17,226.384
2001-09-18,227.4
2001-09-19,226.436
2001-09-20,221.154
2001-09-21,214.758
2001-09-24,216.077
2001-09-25,221.469
2001-09-26,222.15
2001-09-27,221.471
2001-09-28,226.99
2001-10-01,230.293
2001-10-02,234.963
2001-10-03,235.683
2001-10-04,236.032
2001-10-05,243.374
2001-10-08,242.473
2001-10-09,240.579
2001-10-10,240.235
2001-10-11,242.507
2001-10-12,245.497
2001-10-15,250.818
2001-10-16,252.384
2001-10-17,255.422
2001-10-18,250.817
2001-10-19,248.134
2001-10-22,247.851
2001-10-23,250.208
2001-10-24,251.56
2001-10-25,252.877
2001-10-26,251.712
2001-10-29,253.86
2001-10-30,253.977
2001-10-31,252.681
2001-11-01,255.245
2001-11-02,254.303
2001-11-05,253.906
2001-11-06,260.761
2001-11-07,259.101
2001-11-08,261.146
2001-11-09,262.253
2001-11-12,267.639
2001-11-13,267.473
2001-11-14,270.496
2001-11-15,270.599
2001-11-16,269.032
2001-11-19,268.65
2001-11-20,269.735
2001-11-21,266.979
2001-11-22,266.376
2001-11-23,267.039
2001-11-26,268.965
2001-11-27,272.846
2001-11-28,270.578
2001-11-29,268.206
2001-11-30,269.234
2001-12-03,267.415
2001-12-04,266.622
2001-12-05,269.045
2001-12-06,268.201
2001-12-07,267.455
2001-12-10,267.541
2001-12-11,268.523
2001-12-12,269.127
2001-12-13,268.316
2001-12-14,266.489
2001-12-17,265.994
2001-12-18,268.181
2001-12-19,267.61
2001-12-20,264.495
2001-12-21,267.206
2001-12-24,269.687
2001-12-25,269.687
2001-12-26,269.501
2001-12-27,270.967
2001-12-28,272.862
2001-12-31,273.777
2002-01-01,273.777
2002-01-02,276.666
2002-01-03,275.891
2002-01-04,278.69
2002-01-07,279.465
2002-01-08,279.832
2002-01-09,278.756
2002-01-10,279.194
2002-01-11,279.299
2002-01-14,277.23
2002-01-15,276.921
2002-01-16,278.355
2002-01-17,275.103
2002-01-18,275.562
2002-01-21,278.204
2002-01-22,281.889
2002-01-23,283.362
2002-01-24,284.383
2002-01-25,283.782
2002-01-28,282.986
2002-01-29,285.298
2002-01-30,280.09
2002-01-31,282.081
2002-02-01,282.632
2002-02-04,285.079
2002-02-05,284.197
2002-02-06,282.919
2002-02-07,281.589
2002-02-08,285.962
2002-02-11,288.231
2002-02-12,286.72
2002-02-13,288.031
2002-02-14,294.369
2002-02-15,293.469
2002-02-18,293.253
2002-02-19,292.874
2002-02-20,290.491
2002-02-21,290.62
2002-02-22,289.718
2002-02-25,289.621
2002-02-26,291.135
2002-02-27,290.687
2002-02-28,292.242
2002-03-01,292.271
2002-03-04,293.201
2002-03-05,292.258
2002-03-06,291.647
2002-03-07,297.783
2002-03-08,294.428
2002-03-11,291.662
2002-03-12,291.074
2002-03-13,291.096
2002-03-14,292.622
2002-03-15,290.473
2002-03-18,293.799
2002-03-19,295.001
2002-03-20,300.434
2002-03-21,299.004
2002-03-22,298.989
2002-03-25,296.835
2002-03-26,292.039
2002-03-27,294.792
2002-03-28,298.054
2002-03-29,298.054
2002-04-01,298.585
2002-04-02,295.527
2002-04-03,293.73
2002-04-04,293.974
2002-04-05,295.381
2002-04-08,292.643
2002-04-09,292.27
2002-04-10,295.129
2002-04-11,295.687
2002-04-12,295.328
2002-04-15,295.657
2002-04-16,296.898
2002-04-17,301.141
2002-04-18,302.472
2002-04-19,304.383
2002-04-22,304.269
2002-04-23,304.643
2002-04-24,304.723
2002-04-25,306.017
2002-04-26,306.717
2002-04-29,301.555
2002-04-30,300.603
2002-05-01,303.09
2002-05-02,302.025
2002-05-03,305.14
2002-05-06,304.233
2002-05-07,305.146
2002-05-08,306.77
2002-05-09,305.959
2002-05-10,307.027
2002-05-13,306.243
2002-05-14,307.482
2002-05-15,311.258
2002-05-16,311.994
2002-05-17,315.395
2002-05-20,314.778
2002-05-21,315.245
2002-05-22,317.541
2002-05-23,316.436
2002-05-24,317.39
2002-05-27,317.376
2002-05-28,320.704
2002-05-29,322.182
2002-05-30,323.651
2002-05-31,324.161
2002-06-03,327.207
2002-06-04,327.581
2002-06-05,326.233
2002-06-06,329.142
2002-06-07,330.082
2002-06-10,327.895
2002-06-11,328.194
2002-06-12,328.284
2002-06-13,325.798
2002-06-14,319.738
2002-06-17,318.869
2002-06-18,321.061
2002-06-19,322.258
2002-06-20,324.68
2002-06-21,324.97
2002-06-24,325.28
2002-06-25,320.913
2002-06-26,313.86
2002-06-27,315.28
2002-06-28,315.134
2002-07-01,313.53
2002-07-02,313.966
2002-07-03,307.748
2002-07-04,306.381
2002-07-05,307.715
2002-07-08,314.049
2002-07-09,318.634
2002-07-10,316.055
2002-07-11,308.573
2002-07-12,308.32
2002-07-15,309.442
2002-07-16,307.929
2002-07-17,301.442
2002-07-18,304.638
2002-07-19,301.122
2002-07-22,297.798
2002-07-23,294.108
2002-07-24,283.834
2002-07-25,287.18
2002-07-26,281.922
2002-07-29,286.322
2002-07-30,292.638
2002-07-31,293.561
2002-08-01,290.565
2002-08-02,289.208
2002-08-05,282.491
2002-08-06,278.455
2002-08-07,288.477
2002-08-08,288.935
2002-08-09,290.541
2002-08-12,293.285
2002-08-13,294.62
2002-08-14,294.48
2002-08-15,299.457
2002-08-16,300.73
2002-08-19,299.01
2002-08-20,301.89
2002-08-21,300.205
2002-08-22,301.263
2002-08-23,301.628
2002-08-26,303.138
2002-08-27,306.084
2002-08-28,303.811
2002-08-29,304.576
2002-08-30,303.99
2002-09-02,306.338
2002-09-03,305.008
2002-09-04,300.296
2002-09-05,300.978
2002-09-06,302.173
2002-09-09,305.466
2002-09-10,304.088
2002-09-11,306.519
2002-09-12,308.067
2002-09-13,307.195
2002-09-16,305.604
2002-09-17,307.641
2002-09-18,304.873
2002-09-19,303.651
2002-09-20,300.458
2002-09-23,297.924
2002-09-24,297.155
2002-09-25,293.881
2002-09-26,292.251
2002-09-27,292.19
2002-09-30,288.948
2002-10-01,289.822
2002-10-02,291.612
2002-10-03,292.984
2002-10-04,291.257
2002-10-07,288.228
2002-10-08,286.728
2002-10-09,284.99
2002-10-10,281.606
2002-10-11,284.576
2002-10-14,285.879
2002-10-15,290.829
2002-10-16,290.157
2002-10-17,289.272
2002-10-18,289.831
2002-10-21,290.704
2002-10-22,292.406
2002-10-23,295.083
2002-10-24,295.382
2002-10-25,292.803
2002-10-28,297.815
2002-10-29,294.637
2002-10-30,293.131
2002-10-31,298.982
2002-11-01,296.55
2002-11-04,300.612
2002-11-05,299.764
2002-11-06,299.563
2002-11-07,297.236
2002-11-08,295.608
2002-11-11,289.143
2002-11-12,291.873
2002-11-13,290.059
2002-11-14,291.909
2002-11-15,294.476
2002-11-18,294.924
2002-11-19,292.999
2002-11-20,293.119
2002-11-21,297.414
2002-11-22,299.289
2002-11-25,297.634
2002-11-26,297.205
2002-11-27,293.853
2002-11-28,299.074
2002-11-29,299.439
2002-12-02,300.22
2002-12-03,298.95
2002-12-04,295.583
2002-12-05,297.409
2002-12-06,296.185
2002-12-09,297.303
2002-12-10,293.771
2002-12-11,291.129
2002-12-12,295.774
2002-12-13,295.28
2002-12-16,293.264
2002-12-17,296.472
2002-12-18,293.981
2002-12-19,294.662
2002-12-20,295.294
2002-12-23,297.334
2002-12-24,298.236
2002-12-25,298.236
2002-12-26,298.236
2002-12-27,296.793
2002-12-30,295.275
2002-12-31,296.04
2003-01-01,296.04
2003-01-02,297.74
2003-01-03,300.946
2003-01-06,309.728
2003-01-07,309.187
2003-01-08,308.169
2003-01-09,309.169
2003-01-10,311.439
2003-01-13,311.526
2003-01-14,313.416
2003-01-15,313.943
2003-01-16,313.005
2003-01-17,315.038
2003-01-20,316.175
