Date,AUSTRALIA IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,275.427
2001-01-02,281.554
2001-01-03,282.097
2001-01-04,285.541
2001-01-05,287.575
2001-01-08,283.681
2001-01-09,279.989
2001-01-10,277.765
2001-01-11,276.211
2001-01-12,275.726
2001-01-15,272.669
2001-01-16,271.66
2001-01-17,269.808
2001-01-18,274.417
2001-01-19,276.053
2001-01-22,275.457
2001-01-23,274.754
2001-01-24,271.111
2001-01-25,273.178
2001-01-26,272.426
2001-01-29,274.199
2001-01-30,275.281
2001-01-31,277.351
2001-02-01,281.763
2001-02-02,280.434
2001-02-05,278.373
2001-02-06,278.739
2001-02-07,274.205
2001-02-08,269.615
2001-02-09,267.478
2001-02-12,269.583
2001-02-13,267.649
2001-02-14,265.446
2001-02-15,262.12
2001-02-16,265.431
2001-02-19,263.435
2001-02-20,261.523
2001-02-21,264.437
2001-02-22,264.566
2001-02-23,264.361
2001-02-26,266.396
2001-02-27,267.716
2001-02-28,269.549
2001-03-01,272.75
2001-03-02,274.039
2001-03-05,272.431
2001-03-06,270.456
2001-03-07,267.056
2001-03-08,264.461
2001-03-09,262.885
2001-03-12,262.305
2001-03-13,255.962
2001-03-14,254.416
2001-03-15,249.35
2001-03-16,248.838
2001-03-19,250.072
2001-03-20,250.846
2001-03-21,248.233
2001-03-22,244.933
2001-03-23,242.791
2001-03-26,245.12
2001-03-27,244.864
2001-03-28,243.153
2001-03-29,243.454
2001-03-30,240.381
2001-04-02,241.918
2001-04-03,243.236
2001-04-04,247.185
2001-04-05,248.855
2001-04-06,251.986
2001-04-09,248.653
2001-04-10,250.396
2001-04-11,254.836
2001-04-12,258.637
2001-04-13,258.637
2001-04-16,259.452
2001-04-17,256.193
2001-04-18,251.044
2001-04-19,260.682
2001-04-20,266.116
2001-04-23,258.731
2001-04-24,258.459
2001-04-25,259.074
2001-04-26,262.175
2001-04-27,260.214
2001-04-30,262.395
2001-05-01,265.665
2001-05-02,267.015
2001-05-03,269.556
2001-05-04,268.018
2001-05-07,268.468
2001-05-08,267.743
2001-05-09,270.579
2001-05-10,275.823
2001-05-11,274.47
2001-05-14,272.594
2001-05-15,274.789
2001-05-16,276.818
2001-05-17,282.411
2001-05-18,280.055
2001-05-21,286.243
2001-05-22,282.69
2001-05-23,281.284
2001-05-24,281.158
2001-05-25,280.853
2001-05-28,282.059
