Date,AUSTRALIA IMI VALUE IMI (Large+Mid+Small Cap)
2020-07-31,1199.705
2020-08-31,1272.883
2020-09-30,1172.078
2020-10-30,1180.059
2020-11-30,1431.317
2020-12-31,1539.192
2021-01-29,1548.914
2021-02-26,1649.222
2021-03-31,1648.435
2021-04-30,1723.007
2021-05-31,1781.009
2021-06-30,1740.07
2021-07-30,1712.443
2021-08-31,1711.542
2021-09-30,1677.064
2021-10-29,1730.769
2021-11-30,1575.212
2021-12-31,1690.174
2022-01-31,1597.756
2022-02-28,1715.708
2022-03-31,1915.97
2022-04-29,1795.076
2022-05-31,1784.355
2022-06-30,1545.993
2022-07-29,1619.279
2022-08-31,1623.238
2022-09-30,1447.862
2022-10-31,1524.447
2022-11-30,1736.336
2022-12-30,1724.705
2023-01-31,1902.217
2023-02-28,1756.984
2023-03-31,1751.772
2023-04-28,1736.238
2023-05-31,1640.157
2023-06-30,1740.179
2023-07-31,1835.482
2023-08-31,1737.207
2023-09-29,1704.255
2023-10-31,1627.051
2023-11-30,1767.224
2023-12-29,1959.376
2024-01-31,1917.103
2024-02-29,1873.949
2024-03-29,1936.592
2024-04-30,1873.443
2024-05-31,1931.325
2024-06-28,1933.19
2024-07-31,1952.447
2024-08-30,2026.362
2024-09-30,2169.623
2024-10-31,1997.56
2024-11-29,2019.79
2024-12-31,1855.74
2025-01-31,1947.374
2025-02-28,1871.224
2025-03-31,1847.634
2025-04-30,1944.183
2025-05-30,2011.554
2025-06-30,2077.229
2025-07-31,2104.129
2025-08-29,2288.64
2025-09-30,2293.096
2025-10-31,2309.385
2025-11-28,2252.707
