Date,AUSTRALIA IMI VALUE IMI (Large+Mid+Small Cap)
1997-05-30,241.816
1997-06-30,252.586
1997-07-31,259.2
1997-08-29,244.326
1997-09-30,263.309
1997-10-31,234.896
1997-11-28,232.011
1997-12-31,236.111
1998-01-30,249.773
1998-02-27,250.313
1998-03-31,249.745
1998-04-30,248.221
1998-05-29,237.082
1998-06-30,225.669
1998-07-31,226.951
1998-08-31,196.316
1998-09-30,211.437
1998-10-30,229.924
1998-11-30,244.52
1998-12-31,243.585
1999-01-29,254.983
1999-02-26,252.419
1999-03-31,267.276
1999-04-30,294.801
1999-05-31,268.354
1999-06-30,275.579
1999-07-30,275.398
1999-08-31,267.222
1999-09-30,268.056
1999-10-29,260.76
1999-11-30,265.395
1999-12-31,282.48
2000-01-31,267.077
2000-02-29,249.567
2000-03-31,247.159
2000-04-28,250.066
2000-05-31,248.68
2000-06-30,276.655
2000-07-31,264.463
2000-08-31,269.32
2000-09-29,249.901
2000-10-31,246.329
2000-11-30,263.112
2000-12-29,275.427
2001-01-31,277.351
2001-02-28,269.549
2001-03-30,240.381
2001-04-30,262.395
2001-05-31,273.193
2001-06-29,286.594
2001-07-31,270.647
2001-08-31,284.241
2001-09-28,247.417
2001-10-31,275.316
2001-11-30,292.614
2001-12-31,297.424
2002-01-31,306.428
2002-02-28,317.059
2002-03-29,322.91
2002-04-30,325.562
2002-05-31,350.846
2002-06-28,340.196
2002-07-31,316.871
2002-08-30,327.477
2002-09-30,310.613
2002-10-31,321.322
2002-11-29,321.089
2002-12-31,317.258
2003-01-31,325.632
2003-02-28,321.623
2003-03-31,334.669
2003-04-30,361.857
2003-05-30,377.88
2003-06-30,397.255
2003-07-31,388.283
2003-08-29,387.909
2003-09-30,405.594
2003-10-31,433.427
2003-11-28,432.104
2003-12-31,466.607
2004-01-30,472.971
2004-02-27,492.797
2004-03-31,505.163
2004-04-30,468.555
2004-05-31,473.3
2004-06-30,473.134
2004-07-30,472.142
2004-08-31,482.129
2004-09-30,507.375
2004-10-29,546.98
2004-11-30,580.6
2004-12-31,605.134
2005-01-31,606.346
2005-02-28,622.74
2005-03-31,598.245
2005-04-29,601.219
2005-05-31,597.449
2005-06-30,618.312
2005-07-29,628.548
2005-08-31,626.717
2005-09-30,665.406
2005-10-31,636.598
2005-11-30,656.542
2005-12-30,664.264
2006-01-31,702.173
2006-02-28,704.547
2006-03-31,687.404
2006-04-28,744.2
2006-05-31,702.39
2006-06-30,709.143
2006-07-31,727.224
2006-08-31,753.424
2006-09-29,751.223
2006-10-31,808.105
2006-11-30,844.523
2006-12-29,874.324
2007-01-31,876.656
2007-02-28,891.948
2007-03-30,927.141
2007-04-30,990.147
2007-05-31,1000.0
2007-06-29,1009.272
2007-07-31,988.559
