Date,JAPAN Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,98.486
1970-02-27,99.768
1970-03-31,103.893
1970-04-30,91.389
1970-05-29,89.027
1970-06-30,90.73
1970-07-31,90.997
1970-08-31,90.094
1970-09-30,89.131
1970-10-30,90.358
1970-11-30,87.839
1970-12-31,88.621
1971-01-29,93.552
1971-02-26,97.927
1971-03-31,106.087
1971-04-30,111.659
1971-05-31,110.941
1971-06-30,121.637
1971-07-30,122.295
1971-08-31,114.296
1971-09-30,118.163
1971-10-29,113.602
1971-11-30,121.595
1971-12-31,137.317
1972-01-31,148.362
1972-02-29,161.969
1972-03-31,170.436
1972-04-28,179.437
1972-05-31,194.676
1972-06-30,202.531
1972-07-31,219.908
1972-08-31,225.42
1972-09-29,235.724
1972-10-31,243.398
1972-11-30,286.819
1972-12-29,311.61
1973-01-31,316.923
1973-02-28,343.744
1973-03-30,344.66
1973-04-30,306.562
1973-05-31,314.579
1973-06-29,320.233
1973-07-31,339.74
1973-08-31,323.753
1973-09-28,306.423
1973-10-31,304.958
1973-11-30,263.148
1973-12-31,248.746
1974-01-31,247.978
1974-02-28,257.623
1974-03-29,262.08
1974-04-30,266.083
1974-05-31,275.771
1974-06-28,266.144
1974-07-31,239.773
1974-08-30,213.469
1974-09-30,215.877
1974-10-31,197.977
1974-11-29,218.609
1974-12-31,209.823
1975-01-31,220.491
1975-02-28,252.746
1975-03-31,259.137
1975-04-30,259.907
1975-05-30,258.724
1975-06-30,261.687
1975-07-31,248.368
1975-08-29,237.442
1975-09-30,222.522
1975-10-31,246.591
1975-11-28,248.794
1975-12-31,251.691
1976-01-30,267.278
1976-02-27,269.243
1976-03-31,269.239
1976-04-30,271.07
1976-05-31,272.665
1976-06-30,286.394
1976-07-30,281.173
1976-08-31,291.125
1976-09-30,292.787
1976-10-29,277.544
1976-11-30,274.563
1976-12-31,316.493
1977-01-31,307.139
1977-02-28,322.995
1977-03-31,319.984
1977-04-29,325.998
1977-05-31,324.064
1977-06-30,336.973
1977-07-29,333.077
1977-08-31,350.798
1977-09-30,355.909
1977-10-31,362.999
1977-11-30,364.158
1977-12-30,366.883
1978-01-31,382.469
1978-02-28,397.108
1978-03-31,448.638
1978-04-28,445.94
1978-05-31,450.178
1978-06-30,492.62
1978-07-31,544.146
1978-08-31,536.195
1978-09-29,548.215
1978-10-31,590.943
1978-11-30,536.602
1978-12-29,562.876
1979-01-31,561.114
1979-02-28,539.673
1979-03-30,520.623
1979-04-30,504.627
1979-05-31,512.434
1979-06-29,515.972
1979-07-31,514.631
1979-08-31,516.715
1979-09-28,526.673
1979-10-31,485.976
1979-11-30,466.628
1979-12-31,496.216
1980-01-31,506.212
1980-02-29,486.583
1980-03-31,473.016
1980-04-30,511.674
1980-05-30,542.228
1980-06-30,563.458
1980-07-31,535.553
1980-08-29,571.234
1980-09-30,608.91
1980-10-31,623.786
1980-11-28,603.847
1980-12-31,646.327
1981-01-30,659.186
1981-02-27,649.877
1981-03-31,688.879
1981-04-30,739.109
1981-05-29,720.212
1981-06-30,745.687
1981-07-31,718.316
1981-08-31,746.25
1981-09-30,675.835
1981-10-30,675.275
1981-11-30,736.878
1981-12-31,748.906
1982-01-29,736.461
1982-02-26,677.925
1982-03-31,612.892
1982-04-30,667.537
1982-05-31,642.049
1982-06-30,603.422
1982-07-30,581.059
1982-08-31,584.441
1982-09-30,562.18
1982-10-29,564.382
1982-11-30,669.032
1982-12-31,745.128
1983-01-31,714.381
1983-02-28,726.244
1983-03-31,755.454
1983-04-29,771.539
1983-05-31,773.38
1983-06-30,798.034
1983-07-29,804.67
1983-08-31,794.793
1983-09-30,857.584
1983-10-31,853.453
1983-11-30,864.049
1983-12-30,930.699
1984-01-31,974.33
1984-02-29,971.488
1984-03-30,1146.853
1984-04-30,1121.909
1984-05-31,984.081
1984-06-29,988.759
1984-07-31,919.013
1984-08-31,997.884
1984-09-28,993.682
1984-10-31,1042.756
1984-11-30,1049.894
1984-12-31,1090.155
1985-01-31,1084.727
1985-02-28,1120.343
1985-03-29,1184.311
1985-04-30,1143.925
1985-05-31,1183.919
1985-06-28,1237.441
1985-07-31,1243.782
1985-08-30,1273.785
1985-09-30,1409.083
1985-10-31,1453.672
1985-11-29,1475.511
1985-12-31,1562.93
