Date,JAPAN Standard (Large+Mid Cap)
2001-01-01,3758.617
2001-01-02,3748.933
2001-01-03,3752.538
2001-01-04,3715.86
2001-01-05,3730.855
2001-01-08,3730.052
2001-01-09,3658.252
2001-01-10,3620.592
2001-01-11,3521.776
2001-01-12,3523.499
2001-01-15,3524.369
2001-01-16,3609.7
2001-01-17,3643.296
2001-01-18,3684.797
2001-01-19,3715.878
2001-01-22,3724.689
2001-01-23,3709.357
2001-01-24,3668.75
2001-01-25,3691.482
2001-01-26,3670.707
2001-01-29,3694.657
2001-01-30,3698.254
2001-01-31,3713.909
2001-02-01,3742.516
2001-02-02,3691.814
2001-02-05,3645.371
2001-02-06,3625.421
2001-02-07,3617.148
2001-02-08,3578.416
2001-02-09,3583.008
2001-02-12,3583.008
2001-02-13,3580.205
2001-02-14,3584.632
2001-02-15,3620.028
2001-02-16,3599.474
2001-02-19,3553.698
2001-02-20,3594.924
2001-02-21,3537.258
2001-02-22,3562.459
2001-02-23,3606.439
2001-02-26,3620.963
2001-02-27,3607.862
2001-02-28,3546.863
2001-03-01,3505.589
2001-03-02,3375.925
2001-03-05,3375.605
2001-03-06,3451.196
2001-03-07,3465.212
2001-03-08,3475.487
2001-03-09,3474.499
2001-03-12,3361.367
2001-03-13,3287.091
2001-03-14,3236.979
2001-03-15,3291.046
2001-03-16,3285.972
2001-03-19,3309.839
2001-03-20,3298.498
2001-03-21,3493.515
2001-03-22,3407.729
2001-03-23,3514.993
2001-03-26,3644.681
2001-03-27,3632.088
2001-03-28,3687.865
2001-03-29,3513.329
2001-03-30,3441.572
2001-04-02,3382.514
2001-04-03,3465.579
2001-04-04,3510.913
2001-04-05,3562.936
2001-04-06,3571.663
2001-04-09,3438.691
2001-04-10,3395.468
2001-04-11,3464.91
2001-04-12,3526.002
2001-04-13,3511.105
2001-04-16,3469.477
2001-04-17,3474.829
2001-04-18,3601.0
2001-04-19,3658.455
2001-04-20,3618.397
2001-04-23,3634.945
2001-04-24,3615.585
2001-04-25,3645.663
2001-04-26,3684.794
2001-04-27,3667.907
2001-04-30,3675.389
2001-05-01,3837.028
2001-05-02,3873.226
2001-05-03,3903.625
2001-05-04,3904.27
2001-05-07,3920.785
2001-05-08,3827.461
2001-05-09,3773.869
2001-05-10,3728.828
2001-05-11,3737.779
2001-05-14,3676.955
2001-05-15,3699.375
2001-05-16,3631.269
2001-05-17,3698.79
2001-05-18,3667.598
2001-05-21,3726.51
2001-05-22,3726.278
2001-05-23,3783.525
2001-05-24,3768.601
2001-05-25,3734.724
2001-05-28,3697.376
2001-05-29,3747.363
2001-05-30,3669.865
2001-05-31,3666.577
2001-06-01,3657.702
2001-06-04,3648.302
2001-06-05,3613.186
2001-06-06,3606.573
2001-06-07,3626.288
2001-06-08,3614.646
2001-06-11,3560.238
2001-06-12,3473.626
2001-06-13,3472.945
2001-06-14,3481.466
2001-06-15,3442.079
2001-06-18,3416.147
2001-06-19,3403.425
2001-06-20,3397.501
2001-06-21,3448.361
2001-06-22,3477.374
2001-06-25,3455.281
2001-06-26,3465.171
