Date,JAPAN Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,98.416
1970-02-27,99.625
1970-03-31,103.672
1970-04-30,91.122
1970-05-29,88.696
1970-06-30,90.32
1970-07-31,90.511
1970-08-31,89.539
1970-09-30,88.505
1970-10-30,89.647
1970-11-30,87.069
1970-12-31,87.768
1971-01-29,92.574
1971-02-26,96.828
1971-03-31,104.821
1971-04-30,110.251
1971-05-31,109.468
1971-06-30,119.945
1971-07-30,120.519
1971-08-31,112.552
1971-09-30,116.279
1971-10-29,111.709
1971-11-30,119.487
1971-12-31,134.854
1972-01-31,145.387
1972-02-29,158.647
1972-03-31,167.155
1972-04-28,175.58
1972-05-31,190.688
1972-06-30,198.294
1972-07-31,215.223
1972-08-31,220.534
1972-09-29,230.529
1972-10-31,237.948
1972-11-30,280.31
1972-12-29,304.45
1973-01-31,309.551
1973-02-28,335.56
1973-03-30,336.442
1973-04-30,299.15
1973-05-31,306.867
1973-06-29,312.276
1973-07-31,331.195
1973-08-31,315.503
1973-09-28,298.507
1973-10-31,296.973
1973-11-30,256.153
1973-12-31,242.026
1974-01-31,240.693
1974-02-28,250.458
1974-03-29,254.679
1974-04-30,258.463
1974-05-31,267.769
1974-06-28,258.318
1974-07-31,232.627
1974-08-30,207.011
1974-09-30,209.251
1974-10-31,191.804
1974-11-29,211.696
1974-12-31,203.088
1975-01-31,213.316
1975-02-28,244.414
1975-03-31,250.491
1975-04-30,251.125
1975-05-30,249.88
1975-06-30,252.638
1975-07-31,239.751
1975-08-29,229.102
1975-09-30,214.601
1975-10-31,237.709
1975-11-28,239.728
1975-12-31,242.413
1976-01-30,257.319
1976-02-27,259.105
1976-03-31,258.995
1976-04-30,260.65
1976-05-31,262.076
1976-06-30,275.165
1976-07-30,270.041
1976-08-31,279.487
1976-09-30,280.97
1976-10-29,266.234
1976-11-30,263.259
1976-12-31,303.344
1977-01-31,294.261
1977-02-28,309.332
1977-03-31,306.326
1977-04-29,311.962
1977-05-31,309.988
1977-06-30,322.207
1977-07-29,318.355
1977-08-31,335.162
1977-09-30,339.912
1977-10-31,346.545
1977-11-30,347.513
1977-12-30,349.97
1978-01-31,364.692
1978-02-28,378.504
1978-03-31,427.466
1978-04-28,424.731
1978-05-31,428.613
1978-06-30,468.854
1978-07-31,517.707
1978-08-31,509.959
1978-09-29,521.209
1978-10-31,561.636
1978-11-30,509.812
1978-12-29,534.587
1979-01-31,532.733
1979-02-28,512.197
1979-03-30,493.945
1979-04-30,478.601
1979-05-31,485.836
1979-06-29,489.02
1979-07-31,487.578
1979-08-31,489.381
1979-09-28,498.643
1979-10-31,459.951
1979-11-30,441.485
1979-12-31,469.319
1980-01-31,478.61
1980-02-29,459.895
1980-03-31,446.916
1980-04-30,483.277
1980-05-30,511.961
1980-06-30,531.841
1980-07-31,505.345
1980-08-29,538.846
1980-09-30,574.208
1980-10-31,588.06
1980-11-28,569.086
1980-12-31,608.914
1981-01-30,620.818
1981-02-27,611.843
1981-03-31,648.362
1981-04-30,695.436
1981-05-29,677.46
1981-06-30,701.241
1981-07-31,675.326
1981-08-31,701.399
1981-09-30,635.026
