Date,JAPAN Standard (Large+Mid Cap)
2001-01-01,4138.857
2001-01-02,4128.193
2001-01-03,4132.163
2001-01-04,4091.774
2001-01-05,4108.286
2001-01-08,4107.402
2001-01-09,4028.338
2001-01-10,3986.869
2001-01-11,3878.055
2001-01-12,3879.953
2001-01-15,3880.911
2001-01-16,3974.874
2001-01-17,4011.869
2001-01-18,4057.569
2001-01-19,4091.794
2001-01-22,4101.496
2001-01-23,4084.613
2001-01-24,4039.898
2001-01-25,4064.93
2001-01-26,4042.109
2001-01-29,4068.482
2001-01-30,4072.443
2001-01-31,4089.682
2001-02-01,4121.183
2001-02-02,4065.352
2001-02-05,4014.21
2001-02-06,3992.241
2001-02-07,3983.131
2001-02-08,3940.484
2001-02-09,3945.54
2001-02-12,3945.54
2001-02-13,3942.453
2001-02-14,3947.328
2001-02-15,3986.338
2001-02-16,3963.704
2001-02-19,3913.297
2001-02-20,3958.694
2001-02-21,3895.193
2001-02-22,3922.944
2001-02-23,3971.433
2001-02-26,3987.427
2001-02-27,3973.0
2001-02-28,3905.828
2001-03-01,3860.376
2001-03-02,3717.591
2001-03-05,3717.238
2001-03-06,3800.479
2001-03-07,3815.913
2001-03-08,3827.229
2001-03-09,3826.141
2001-03-12,3701.559
2001-03-13,3619.766
2001-03-14,3564.582
2001-03-15,3624.126
2001-03-16,3618.539
2001-03-19,3644.82
2001-03-20,3632.333
2001-03-21,3847.086
2001-03-22,3752.618
2001-03-23,3870.738
2001-03-26,4013.551
2001-03-27,4002.839
2001-03-28,4064.342
2001-03-29,3872.002
2001-03-30,3792.919
2001-04-02,3727.896
2001-04-03,3819.443
2001-04-04,3869.406
2001-04-05,3926.741
2001-04-06,3936.359
2001-04-09,3789.81
2001-04-10,3742.174
2001-04-11,3818.706
2001-04-12,3886.036
2001-04-13,3869.617
2001-04-16,3823.739
2001-04-17,3829.64
2001-04-18,3968.695
2001-04-19,4032.017
2001-04-20,3987.868
2001-04-23,4006.106
2001-04-24,3984.769
2001-04-25,4018.012
2001-04-26,4061.139
2001-04-27,4042.528
2001-04-30,4050.79
2001-05-01,4228.94
2001-05-02,4268.841
2001-05-03,4302.346
2001-05-04,4303.057
2001-05-07,4321.258
2001-05-08,4218.402
2001-05-09,4159.336
2001-05-10,4109.695
2001-05-11,4119.559
2001-05-14,4052.523
2001-05-15,4077.237
2001-05-16,4002.174
2001-05-17,4076.592
2001-05-18,4042.215
2001-05-21,4107.152
2001-05-22,4106.898
2001-05-23,4169.992
2001-05-24,4153.56
2001-05-25,4116.223
2001-05-28,4075.058
2001-05-29,4130.15
2001-05-30,4044.706
2001-05-31,4041.107
2001-06-01,4031.326
2001-06-04,4020.965
