Date,ITALY SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,233.395
1994-06-30,221.488
1994-07-29,224.986
1994-08-31,220.315
1994-09-30,221.403
1994-10-31,214.066
1994-11-30,202.762
1994-12-30,205.954
1995-01-31,213.117
1995-02-28,190.94
1995-03-31,176.727
1995-04-28,186.667
1995-05-31,190.513
1995-06-30,185.852
1995-07-31,192.497
1995-08-31,189.163
1995-09-29,185.49
1995-10-31,180.967
1995-11-30,169.251
1995-12-29,178.817
1996-01-31,180.79
1996-02-29,189.254
1996-03-29,187.227
1996-04-30,197.674
1996-05-31,210.425
1996-06-28,209.007
1996-07-31,195.176
1996-08-30,200.23
1996-09-30,201.678
1996-10-31,192.983
1996-11-29,204.864
1996-12-31,203.189
1997-01-31,218.582
1997-02-28,199.065
1997-03-31,207.286
1997-04-30,207.154
1997-05-30,211.448
1997-06-30,229.07
1997-07-31,238.409
1997-08-29,241.784
1997-09-30,285.626
1997-10-31,273.851
1997-11-28,276.38
1997-12-31,289.415
1998-01-30,318.554
1998-02-27,355.599
1998-03-31,449.07
1998-04-30,426.529
1998-05-29,446.433
1998-06-30,407.173
1998-07-31,431.348
1998-08-31,381.916
1998-09-30,353.56
1998-10-30,390.718
1998-11-30,431.458
1998-12-31,466.805
1999-01-29,466.785
1999-02-26,437.218
1999-03-31,443.019
1999-04-30,444.829
1999-05-31,447.502
1999-06-30,452.26
1999-07-30,462.816
1999-08-31,466.934
1999-09-30,480.382
1999-10-29,477.546
1999-11-30,492.24
1999-12-31,649.658
2000-01-31,614.543
2000-02-29,893.432
2000-03-31,794.585
2000-04-28,724.512
2000-05-31,698.87
2000-06-30,702.393
2000-07-31,693.231
2000-08-31,709.368
2000-09-29,664.257
2000-10-31,634.267
2000-11-30,618.793
2000-12-29,605.893
2001-01-31,606.157
2001-02-28,514.487
2001-03-30,449.776
2001-04-30,453.025
2001-05-31,428.396
2001-06-29,393.788
2001-07-31,381.807
2001-08-31,363.857
2001-09-28,295.196
2001-10-31,309.601
2001-11-30,345.396
2001-12-31,340.967
2002-01-31,327.804
2002-02-28,326.459
2002-03-29,355.97
2002-04-30,362.717
2002-05-31,362.321
2002-06-28,352.742
2002-07-31,310.56
2002-08-30,313.024
2002-09-30,276.659
2002-10-31,298.478
2002-11-29,330.601
2002-12-31,321.334
2003-01-31,314.462
2003-02-28,322.806
2003-03-31,316.727
2003-04-30,358.406
2003-05-30,388.638
2003-06-30,381.354
2003-07-31,388.907
2003-08-29,382.825
2003-09-30,404.454
2003-10-31,428.083
2003-11-28,454.49
2003-12-31,463.349
2004-01-30,472.05
2004-02-27,473.103
2004-03-31,449.651
2004-04-30,453.398
2004-05-31,457.429
2004-06-30,473.387
2004-07-30,456.287
2004-08-31,453.985
2004-09-30,473.954
2004-10-29,496.228
2004-11-30,534.856
2004-12-31,574.467
2005-01-31,568.071
2005-02-28,590.716
2005-03-31,583.102
2005-04-29,569.054
2005-05-31,572.16
2005-06-30,577.668
2005-07-29,598.391
2005-08-31,601.013
2005-09-30,619.737
2005-10-31,584.523
2005-11-30,596.139
2005-12-30,607.829
2006-01-31,663.143
2006-02-28,697.73
2006-03-31,729.632
2006-04-28,771.197
2006-05-31,746.165
2006-06-30,736.386
2006-07-31,754.045
2006-08-31,776.387
2006-09-29,769.824
2006-10-31,817.097
2006-11-30,863.54
2006-12-29,898.45
2007-01-31,916.033
2007-02-28,916.487
2007-03-30,950.142
2007-04-30,1014.449
2007-05-31,1000.0
2007-06-29,961.29
2007-07-31,912.844
2007-08-31,890.08
2007-09-28,886.308
2007-10-31,932.221
2007-11-30,852.801
2007-12-31,825.951
2008-01-31,721.804
2008-02-29,736.182
2008-03-31,719.354
2008-04-30,731.194
2008-05-30,732.534
2008-06-30,678.137
2008-07-31,649.106
2008-08-29,644.795
2008-09-30,535.591
2008-10-31,402.623
2008-11-28,376.024
2008-12-31,411.588
2009-01-30,366.523
2009-02-27,337.861
2009-03-31,361.818
2009-04-30,419.315
2009-05-29,477.051
2009-06-30,465.335
2009-07-31,499.296
2009-08-31,534.086
2009-09-30,563.859
2009-10-30,540.336
2009-11-30,546.345
2009-12-31,541.223
2010-01-29,519.468
2010-02-26,493.501
2010-03-31,533.229
2010-04-30,509.241
2010-05-31,443.219
2010-06-30,434.106
2010-07-30,489.53
2010-08-31,452.08
2010-09-30,521.403
2010-10-29,558.84
2010-11-30,488.899
2010-12-31,540.999
2011-01-31,564.6
2011-02-28,567.096
2011-03-31,602.95
2011-04-29,668.36
2011-05-31,632.061
2011-06-30,618.738
2011-07-29,576.336
2011-08-31,518.69
2011-09-30,465.752
2011-10-31,504.829
2011-11-30,461.948
2011-12-30,430.274
2012-01-31,469.384
2012-02-29,498.028
2012-03-30,502.906
2012-04-30,475.148
2012-05-31,415.458
2012-06-29,443.618
2012-07-31,434.805
2012-08-31,466.888
2012-09-28,489.56
2012-10-31,511.021
2012-11-30,509.626
2012-12-31,533.729
2013-01-31,597.401
2013-02-28,574.446
2013-03-29,563.488
2013-04-30,598.625
2013-05-31,644.164
2013-06-28,617.591
2013-07-31,692.135
2013-08-30,687.063
2013-09-30,732.285
2013-10-31,772.199
2013-11-29,796.404
2013-12-31,808.88
2014-01-31,813.568
2014-02-28,888.721
2014-03-31,911.47
2014-04-30,914.952
2014-05-30,876.123
2014-06-30,818.592
2014-07-31,767.751
2014-08-29,753.841
2014-09-30,714.48
2014-10-31,661.751
2014-11-28,693.869
2014-12-31,644.798
2015-01-30,672.171
2015-02-27,750.064
2015-03-31,776.112
2015-04-30,801.584
2015-05-29,809.479
2015-06-30,794.653
2015-07-31,829.102
2015-08-31,783.289
2015-09-30,743.013
2015-10-30,788.252
2015-11-30,768.823
2015-12-31,766.605
2016-01-29,632.335
2016-02-29,603.811
2016-03-31,667.546
2016-04-29,690.915
2016-05-31,672.749
2016-06-30,607.7
2016-07-29,638.791
2016-08-31,647.445
2016-09-30,647.44
2016-10-31,653.881
2016-11-30,643.999
2016-12-30,704.682
2017-01-31,729.377
2017-02-28,745.921
2017-03-31,810.194
2017-04-28,868.61
2017-05-31,920.465
2017-06-30,909.284
2017-07-31,994.373
2017-08-31,1037.251
2017-09-29,1102.319
2017-10-31,1114.509
2017-11-30,1070.515
2017-12-29,1072.589
2018-01-31,1171.864
2018-02-28,1097.142
2018-03-30,1089.442
2018-04-30,1118.627
2018-05-31,1071.114
2018-06-29,1076.129
2018-07-31,1096.73
2018-08-31,1078.126
2018-09-28,1088.832
2018-10-31,930.529
2018-11-30,906.656
2018-12-31,864.451
2019-01-31,960.283
2019-02-28,1006.681
2019-03-29,1016.859
2019-04-30,1048.027
