Date,ITALY SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,605.893
2001-01-02,585.216
2001-01-03,554.931
2001-01-04,562.94
2001-01-05,556.087
2001-01-08,544.614
2001-01-09,547.422
2001-01-10,556.191
2001-01-11,563.493
2001-01-12,584.885
2001-01-15,574.581
2001-01-16,575.753
2001-01-17,603.719
2001-01-18,606.149
2001-01-19,603.196
2001-01-22,601.059
2001-01-23,596.699
2001-01-24,594.457
2001-01-25,588.402
2001-01-26,585.179
2001-01-29,581.259
2001-01-30,591.017
2001-01-31,606.157
2001-02-01,602.499
2001-02-02,591.291
2001-02-05,583.242
2001-02-06,581.623
2001-02-07,570.72
2001-02-08,561.201
2001-02-09,553.847
2001-02-12,558.671
2001-02-13,551.679
2001-02-14,535.578
2001-02-15,535.187
2001-02-16,530.986
2001-02-19,526.725
2001-02-20,513.457
2001-02-21,514.26
2001-02-22,514.91
2001-02-23,510.229
2001-02-26,517.705
2001-02-27,519.08
2001-02-28,514.487
2001-03-01,506.862
2001-03-02,501.766
2001-03-05,495.63
2001-03-06,509.769
2001-03-07,508.276
2001-03-08,504.923
2001-03-09,490.468
2001-03-12,469.002
2001-03-13,456.307
2001-03-14,448.329
2001-03-15,451.409
2001-03-16,441.323
2001-03-19,442.956
2001-03-20,454.492
2001-03-21,441.321
2001-03-22,416.772
2001-03-23,432.065
2001-03-26,443.32
2001-03-27,451.504
2001-03-28,446.825
2001-03-29,447.348
2001-03-30,449.776
2001-04-02,446.85
2001-04-03,432.982
2001-04-04,439.595
2001-04-05,446.072
2001-04-06,446.843
2001-04-09,449.699
2001-04-10,448.941
2001-04-11,450.021
2001-04-12,455.614
2001-04-13,455.614
2001-04-16,450.948
2001-04-17,447.905
2001-04-18,457.355
2001-04-19,463.003
2001-04-20,471.6
2001-04-23,452.49
2001-04-24,449.808
2001-04-25,450.476
2001-04-26,453.444
2001-04-27,450.258
2001-04-30,453.025
2001-05-01,455.426
2001-05-02,456.99
2001-05-03,452.406
2001-05-04,452.704
2001-05-07,451.735
2001-05-08,448.695
2001-05-09,447.921
2001-05-10,445.411
2001-05-11,440.889
2001-05-14,439.378
2001-05-15,439.051
2001-05-16,437.541
2001-05-17,436.686
2001-05-18,433.928
2001-05-21,435.509
2001-05-22,437.08
2001-05-23,434.538
2001-05-24,432.985
2001-05-25,430.706
2001-05-28,433.958
2001-05-29,426.182
2001-05-30,416.835
2001-05-31,428.396
2001-06-01,423.622
2001-06-04,421.383
2001-06-05,422.807
2001-06-06,420.388
2001-06-07,423.012
2001-06-08,422.467
2001-06-11,418.618
2001-06-12,416.215
2001-06-13,419.978
2001-06-14,416.691
2001-06-15,415.457
2001-06-18,410.377
2001-06-19,408.992
2001-06-20,400.718
2001-06-21,401.725
2001-06-22,401.458
2001-06-25,404.085
2001-06-26,398.586
2001-06-27,396.577
2001-06-28,389.723
2001-06-29,393.788
2001-07-02,394.304
2001-07-03,394.737
2001-07-04,390.362
2001-07-05,383.44
2001-07-06,379.606
2001-07-09,380.348
2001-07-10,381.489
2001-07-11,378.707
2001-07-12,378.679
2001-07-13,377.561
2001-07-16,376.797
2001-07-17,369.811
2001-07-18,373.959
2001-07-19,375.319
2001-07-20,374.458
2001-07-23,372.906
2001-07-24,371.548
2001-07-25,371.853
2001-07-26,371.408
2001-07-27,373.604
2001-07-30,379.909
2001-07-31,381.807
2001-08-01,388.352
2001-08-02,394.853
2001-08-03,394.3
2001-08-06,391.567
2001-08-07,391.29
2001-08-08,391.647
2001-08-09,391.672
2001-08-10,390.802
2001-08-13,393.676
2001-08-14,393.135
2001-08-15,399.136
2001-08-16,395.708
2001-08-17,391.218
2001-08-20,384.908
2001-08-21,386.918
2001-08-22,388.094
2001-08-23,382.546
2001-08-24,385.725
2001-08-27,382.634
2001-08-28,378.525
2001-08-29,377.237
2001-08-30,366.625
2001-08-31,363.857
2001-09-03,357.827
2001-09-04,353.73
2001-09-05,347.186
2001-09-06,342.124
2001-09-07,343.298
2001-09-10,333.109
2001-09-11,313.731
2001-09-12,306.702
2001-09-13,307.445
2001-09-14,292.694
2001-09-17,286.715
2001-09-18,282.713
2001-09-19,281.334
2001-09-20,269.899
2001-09-21,252.985
2001-09-24,267.831
2001-09-25,277.842
2001-09-26,283.837
2001-09-27,287.649
2001-09-28,295.196
2001-10-01,287.092
2001-10-02,290.336
2001-10-03,290.896
2001-10-04,301.822
2001-10-05,298.288
2001-10-08,300.218
2001-10-09,300.329
2001-10-10,306.788
2001-10-11,310.647
2001-10-12,309.328
2001-10-15,304.5
2001-10-16,309.385
2001-10-17,312.415
2001-10-18,309.098
2001-10-19,303.494
2001-10-22,306.15
2001-10-23,310.725
2001-10-24,312.976
2001-10-25,309.866
2001-10-26,316.567
2001-10-29,318.741
2001-10-30,306.547
2001-10-31,309.601
2001-11-01,311.652
2001-11-02,309.365
2001-11-05,313.116
2001-11-06,310.095
2001-11-07,316.118
2001-11-08,320.224
2001-11-09,320.557
2001-11-12,310.816
2001-11-13,315.924
2001-11-14,320.211
2001-11-15,324.276
2001-11-16,331.652
2001-11-19,344.324
2001-11-20,340.917
2001-11-21,335.598
2001-11-22,340.538
2001-11-23,341.965
2001-11-26,345.106
2001-11-27,337.86
2001-11-28,338.604
2001-11-29,341.836
2001-11-30,345.396
2001-12-03,341.933
2001-12-04,347.18
2001-12-05,354.764
2001-12-06,355.66
2001-12-07,356.612
2001-12-10,350.767
2001-12-11,351.23
2001-12-12,349.778
2001-12-13,342.153
2001-12-14,342.551
2001-12-17,350.171
2001-12-18,347.074
2001-12-19,341.715
2001-12-20,337.141
2001-12-21,334.257
2001-12-24,330.922
2001-12-25,330.922
2001-12-26,331.204
2001-12-27,338.616
2001-12-28,337.674
2001-12-31,340.967
2002-01-01,340.967
2002-01-02,346.428
2002-01-03,351.103
2002-01-04,349.343
2002-01-07,347.162
2002-01-08,347.126
2002-01-09,348.671
2002-01-10,346.41
2002-01-11,344.886
2002-01-14,340.41
2002-01-15,339.467
2002-01-16,330.937
2002-01-17,331.576
2002-01-18,332.42
2002-01-21,329.595
2002-01-22,330.508
2002-01-23,331.12
2002-01-24,331.603
2002-01-25,325.776
