Date,AUSTRALIA LARGE VALUE Large Cap
1994-05-31,155.732
1994-06-30,146.416
1994-07-29,152.859
1994-08-31,156.454
1994-09-30,148.903
1994-10-31,151.07
1994-11-30,148.76
1994-12-30,154.494
1995-01-31,147.841
1995-02-28,155.22
1995-03-31,155.255
1995-04-28,162.697
1995-05-31,159.107
1995-06-30,156.717
1995-07-31,170.544
1995-08-31,176.554
1995-09-29,181.144
1995-10-31,179.578
1995-11-30,182.429
1995-12-29,187.755
1996-01-31,197.097
1996-02-29,199.461
1996-03-29,196.468
1996-04-30,204.961
1996-05-31,203.576
1996-06-28,202.647
1996-07-31,197.226
1996-08-30,210.773
1996-09-30,219.24
1996-10-31,225.166
1996-11-29,239.41
1996-12-31,241.167
1997-01-31,236.56
1997-02-28,249.774
1997-03-31,252.427
1997-04-30,261.539
1997-05-30,267.717
1997-06-30,280.97
1997-07-31,289.664
1997-08-29,271.153
1997-09-30,297.833
1997-10-31,266.682
1997-11-28,266.877
1997-12-31,272.014
1998-01-30,284.967
1998-02-27,285.496
1998-03-31,286.94
1998-04-30,284.958
1998-05-29,273.07
1998-06-30,262.793
1998-07-31,264.763
1998-08-31,224.938
1998-09-30,239.458
1998-10-30,263.73
1998-11-30,285.068
1998-12-31,285.162
1999-01-29,300.149
1999-02-26,295.627
1999-03-31,318.967
1999-04-30,354.739
1999-05-31,316.82
1999-06-30,324.573
1999-07-30,318.82
1999-08-31,308.647
1999-09-30,309.225
1999-10-29,305.901
1999-11-30,312.845
1999-12-31,338.044
2000-01-31,320.073
2000-02-29,298.152
2000-03-31,291.713
2000-04-28,303.084
2000-05-31,308.221
2000-06-30,344.371
2000-07-31,320.885
2000-08-31,327.096
2000-09-29,307.816
2000-10-31,305.486
2000-11-30,331.815
2000-12-29,341.07
2001-01-31,342.994
2001-02-28,337.158
2001-03-30,296.321
2001-04-30,325.948
2001-05-31,343.918
2001-06-29,362.71
2001-07-31,333.309
2001-08-31,350.678
2001-09-28,293.166
2001-10-31,335.37
2001-11-30,355.599
2001-12-31,364.144
2002-01-31,378.595
2002-02-28,395.336
2002-03-29,395.989
2002-04-30,401.417
2002-05-31,430.953
2002-06-28,419.405
2002-07-31,384.437
2002-08-30,394.094
2002-09-30,368.957
2002-10-31,386.449
2002-11-29,376.605
2002-12-31,363.004
2003-01-31,368.628
2003-02-28,356.934
2003-03-31,380.78
2003-04-30,414.371
2003-05-30,426.966
2003-06-30,448.261
2003-07-31,431.158
2003-08-29,422.696
2003-09-30,440.142
2003-10-31,462.157
2003-11-28,462.127
2003-12-31,500.054
2004-01-30,510.534
2004-02-27,530.823
2004-03-31,545.1
2004-04-30,504.266
2004-05-31,507.675
2004-06-30,507.281
2004-07-30,488.72
2004-08-31,495.498
2004-09-30,517.755
2004-10-29,563.421
2004-11-30,590.21
2004-12-31,613.762
2005-01-31,615.251
2005-02-28,643.546
2005-03-31,616.972
2005-04-29,631.951
2005-05-31,628.968
2005-06-30,642.06
2005-07-29,647.586
2005-08-31,638.529
2005-09-30,677.054
2005-10-31,655.48
2005-11-30,675.727
2005-12-30,682.752
2006-01-31,723.306
2006-02-28,731.602
2006-03-31,711.062
2006-04-28,774.915
2006-05-31,725.058
2006-06-30,734.064
2006-07-31,752.079
2006-08-31,781.271
2006-09-29,771.558
2006-10-31,830.611
2006-11-30,864.665
2006-12-29,893.055
2007-01-31,897.291
2007-02-28,909.316
2007-03-30,943.976
2007-04-30,1002.365
2007-05-31,1000.0
2007-06-29,1006.229
2007-07-31,985.052
2007-08-31,968.255
2007-09-28,1080.274
2007-10-31,1175.42
2007-11-30,1072.988
2007-12-31,1033.449
2008-01-31,940.771
2008-02-29,907.586
2008-03-31,886.401
2008-04-30,937.33
2008-05-30,930.505
2008-06-30,833.247
2008-07-31,801.969
2008-08-29,756.198
2008-09-30,676.416
2008-10-31,514.188
2008-11-28,460.459
2008-12-31,479.69
2009-01-30,402.149
2009-02-27,391.553
2009-03-31,470.881
2009-04-30,523.793
