Date,AUSTRALIA LARGE VALUE Large Cap
2001-01-01,310.484
2001-01-02,318.339
2001-01-03,318.488
2001-01-04,322.024
2001-01-05,324.409
2001-01-08,319.855
2001-01-09,315.475
2001-01-10,311.746
2001-01-11,309.673
2001-01-12,309.619
2001-01-15,306.417
2001-01-16,303.423
2001-01-17,300.302
2001-01-18,305.37
2001-01-19,307.757
2001-01-22,306.876
2001-01-23,305.781
2001-01-24,302.674
2001-01-25,305.661
2001-01-26,304.819
2001-01-29,307.184
2001-01-30,309.605
2001-01-31,312.236
2001-02-01,316.989
2001-02-02,316.292
2001-02-05,313.775
2001-02-06,313.976
2001-02-07,308.226
2001-02-08,302.655
2001-02-09,299.765
2001-02-12,301.964
2001-02-13,299.355
2001-02-14,297.524
2001-02-15,295.394
2001-02-16,299.528
2001-02-19,296.506
2001-02-20,293.953
2001-02-21,298.239
2001-02-22,299.445
2001-02-23,300.205
2001-02-26,304.094
2001-02-27,305.308
2001-02-28,307.462
2001-03-01,313.17
2001-03-02,313.037
2001-03-05,311.837
2001-03-06,308.719
2001-03-07,304.283
2001-03-08,300.297
2001-03-09,298.528
2001-03-12,297.93
2001-03-13,290.268
2001-03-14,287.594
2001-03-15,281.914
2001-03-16,281.164
2001-03-19,282.5
2001-03-20,283.447
2001-03-21,279.109
2001-03-22,274.261
2001-03-23,269.78
2001-03-26,272.615
2001-03-27,271.438
2001-03-28,271.46
2001-03-29,273.764
2001-03-30,270.265
2001-04-02,271.649
2001-04-03,274.78
2001-04-04,279.61
2001-04-05,282.042
2001-04-06,284.829
2001-04-09,279.265
2001-04-10,281.763
2001-04-11,287.622
2001-04-12,292.158
2001-04-13,292.158
2001-04-16,293.078
2001-04-17,288.294
2001-04-18,281.472
2001-04-19,293.192
2001-04-20,300.563
2001-04-23,293.716
2001-04-24,294.583
2001-04-25,295.285
2001-04-26,297.579
2001-04-27,293.937
2001-04-30,297.359
2001-05-01,300.132
2001-05-02,301.498
2001-05-03,305.108
2001-05-04,302.738
2001-05-07,302.916
2001-05-08,301.369
2001-05-09,304.388
2001-05-10,311.662
2001-05-11,312.211
2001-05-14,310.108
2001-05-15,312.881
2001-05-16,315.376
2001-05-17,322.724
2001-05-18,319.257
2001-05-21,327.369
2001-05-22,324.132
2001-05-23,322.291
2001-05-24,322.783
2001-05-25,321.698
2001-05-28,323.947
2001-05-29,319.755
2001-05-30,318.346
2001-05-31,314.034
2001-06-01,317.575
2001-06-04,321.344
2001-06-05,319.509
2001-06-06,324.716
2001-06-07,330.787
2001-06-08,333.813
2001-06-11,333.143
2001-06-12,335.816
2001-06-13,337.129
2001-06-14,336.868
2001-06-15,339.369
2001-06-18,332.581
2001-06-19,333.022
2001-06-20,335.948
2001-06-21,334.33
2001-06-22,333.394
2001-06-25,331.652
2001-06-26,336.82
2001-06-27,331.425
2001-06-28,328.454
2001-06-29,332.152
2001-07-02,325.283
2001-07-03,328.017
2001-07-04,329.926
2001-07-05,318.644
2001-07-06,312.621
2001-07-09,309.139
2001-07-10,314.458
2001-07-11,314.097
2001-07-12,314.174
2001-07-13,316.31
2001-07-16,320.63
2001-07-17,316.07
2001-07-18,322.305
2001-07-19,322.103
2001-07-20,315.512
2001-07-23,315.059
2001-07-24,311.172
2001-07-25,308.249
2001-07-26,304.438
2001-07-27,301.503
2001-07-30,303.991
2001-07-31,305.228
2001-08-01,318.712
2001-08-02,322.778
2001-08-03,322.859
2001-08-06,323.81
2001-08-07,323.317
2001-08-08,323.341
2001-08-09,320.446
2001-08-10,320.037
2001-08-13,318.28
2001-08-14,317.155
2001-08-15,326.348
2001-08-16,324.591
2001-08-17,329.437
2001-08-20,325.675
2001-08-21,327.654
2001-08-22,329.042
2001-08-23,327.478
2001-08-24,330.392
2001-08-27,333.622
2001-08-28,333.792
2001-08-29,332.241
2001-08-30,330.578
2001-08-31,321.654
2001-09-03,314.527
2001-09-04,314.392
2001-09-05,313.078
2001-09-06,310.659
2001-09-07,306.015
2001-09-10,305.639
2001-09-11,308.141
2001-09-12,294.426
2001-09-13,293.087
2001-09-14,289.129
2001-09-17,270.5
2001-09-18,271.688
2001-09-19,268.96
2001-09-20,259.613
2001-09-21,252.05
2001-09-24,254.709
2001-09-25,263.186
2001-09-26,264.848
2001-09-27,263.486
2001-09-28,268.973
2001-10-01,274.776
2001-10-02,280.734
2001-10-03,281.555
2001-10-04,281.976
2001-10-05,292.96
2001-10-08,290.508
2001-10-09,288.049
2001-10-10,287.315
2001-10-11,292.005
2001-10-12,297.148
2001-10-15,303.739
2001-10-16,305.941
2001-10-17,310.459
2001-10-18,304.35
2001-10-19,300.521
2001-10-22,299.075
2001-10-23,303.544
2001-10-24,306.691
2001-10-25,308.325
2001-10-26,306.937
2001-10-29,309.428
2001-10-30,309.211
2001-10-31,307.762
2001-11-01,310.595
2001-11-02,309.024
2001-11-05,309.417
2001-11-06,318.497
2001-11-07,313.959
2001-11-08,317.592
2001-11-09,321.061
2001-11-12,330.81
2001-11-13,330.933
2001-11-14,336.257
2001-11-15,337.201
2001-11-16,332.953
2001-11-19,330.209
2001-11-20,332.205
2001-11-21,327.842
2001-11-22,326.553
2001-11-23,327.512
2001-11-26,330.996
2001-11-27,337.488
2001-11-28,332.502
2001-11-29,328.585
2001-11-30,327.611
2001-12-03,325.67
2001-12-04,326.228
2001-12-05,330.266
2001-12-06,328.463
2001-12-07,326.339
2001-12-10,327.172
2001-12-11,328.821
2001-12-12,330.192
2001-12-13,327.612
2001-12-14,324.852
2001-12-17,325.212
2001-12-18,328.289
2001-12-19,328.164
2001-12-20,324.268
2001-12-21,327.983
2001-12-24,331.396
2001-12-25,331.396
2001-12-26,331.168
2001-12-27,332.541
2001-12-28,334.748
2001-12-31,335.484
2002-01-01,335.484
2002-01-02,339.039
2002-01-03,338.721
2002-01-04,341.996
2002-01-07,342.832
2002-01-08,342.534
2002-01-09,340.097
2002-01-10,339.861
2002-01-11,340.502
2002-01-14,339.021
2002-01-15,337.38
2002-01-16,340.176
2002-01-17,337.16
2002-01-18,337.529
2002-01-21,341.046
2002-01-22,346.521
2002-01-23,348.507
2002-01-24,350.744
2002-01-25,350.232
2002-01-28,349.25
2002-01-29,353.328
2002-01-30,346.549
2002-01-31,348.798
2002-02-01,349.68
2002-02-04,354.282
2002-02-05,352.614
2002-02-06,350.492
2002-02-07,348.558
2002-02-08,354.979
2002-02-11,357.949
2002-02-12,355.527
2002-02-13,357.841
2002-02-14,367.515
2002-02-15,365.512
2002-02-18,365.221
2002-02-19,364.542
2002-02-20,360.504
2002-02-21,360.828
2002-02-22,359.193
2002-02-25,359.519
2002-02-26,361.239
2002-02-27,362.158
2002-02-28,364.619
2002-03-01,363.227
2002-03-04,363.602
2002-03-05,361.239
2002-03-06,359.003
2002-03-07,368.237
2002-03-08,362.988
2002-03-11,358.029
2002-03-12,357.579
2002-03-13,357.648
2002-03-14,359.557
2002-03-15,356.251
2002-03-18,361.499
2002-03-19,363.709
2002-03-20,370.429
2002-03-21,366.965
2002-03-22,367.05
2002-03-25,363.983
2002-03-26,357.472
2002-03-27,361.506
2002-03-28,365.285
2002-03-29,365.285
2002-04-01,365.935
2002-04-02,361.481
2002-04-03,359.146
2002-04-04,359.938
2002-04-05,362.427
2002-04-08,358.252
2002-04-09,357.85
2002-04-10,362.24
2002-04-11,361.584
2002-04-12,361.588
2002-04-15,362.928
2002-04-16,364.76
2002-04-17,370.45
2002-04-18,372.163
2002-04-19,374.632
2002-04-22,374.737
2002-04-23,375.711
2002-04-24,376.074
2002-04-25,377.671
2002-04-26,378.634
2002-04-29,371.101
2002-04-30,370.441
2002-05-01,373.312
2002-05-02,371.386
2002-05-03,376.151
2002-05-06,373.3
2002-05-07,374.53
2002-05-08,376.925
2002-05-09,375.616
2002-05-10,376.429
2002-05-13,375.126
2002-05-14,377.294
2002-05-15,382.591
2002-05-16,382.696
2002-05-17,386.625
2002-05-20,385.133
2002-05-21,385.46
2002-05-22,388.538
2002-05-23,386.908
2002-05-24,388.567
2002-05-27,388.871
2002-05-28,393.863
2002-05-29,395.658
2002-05-30,398.08
2002-05-31,398.001
2002-06-03,401.53
2002-06-04,405.082
2002-06-05,402.59
2002-06-06,405.934
2002-06-07,408.965
