Date,AUSTRALIA LARGE VALUE Large Cap
1994-05-31,129.184
1994-06-30,121.737
1994-07-29,127.142
1994-08-31,130.164
1994-09-30,124.174
1994-10-31,126.134
1994-11-30,124.338
1994-12-30,129.566
1995-01-31,123.987
1995-02-28,130.224
1995-03-31,130.652
1995-04-28,136.957
1995-05-31,134.025
1995-06-30,132.536
1995-07-31,144.276
1995-08-31,149.401
1995-09-29,153.576
1995-10-31,152.651
1995-11-30,155.16
1995-12-29,160.195
1996-01-31,168.208
1996-02-29,170.526
1996-03-29,168.156
1996-04-30,175.667
1996-05-31,174.655
1996-06-28,174.39
1996-07-31,169.726
1996-08-30,181.672
1996-09-30,189.239
1996-10-31,194.647
1996-11-29,207.022
1996-12-31,209.109
1997-01-31,205.153
1997-02-28,217.076
1997-03-31,219.596
1997-04-30,227.752
1997-05-30,233.216
1997-06-30,245.462
1997-07-31,253.058
1997-08-29,237.339
1997-09-30,260.997
1997-10-31,233.836
1997-11-28,234.455
1997-12-31,239.22
1998-01-30,250.611
1998-02-27,251.499
1998-03-31,253.065
1998-04-30,251.371
1998-05-29,241.018
1998-06-30,232.585
1998-07-31,234.328
1998-08-31,199.44
1998-09-30,212.653
1998-10-30,234.359
1998-11-30,253.897
1998-12-31,254.163
1999-01-29,267.521
1999-02-26,263.573
1999-03-31,284.615
1999-04-30,316.611
1999-05-31,282.961
1999-06-30,290.766
1999-07-30,285.612
1999-08-31,276.537
1999-09-30,277.299
1999-10-29,274.477
1999-11-30,281.397
1999-12-31,304.298
2000-01-31,288.12
2000-02-29,268.509
2000-03-31,262.961
2000-04-28,273.211
2000-05-31,278.071
2000-06-30,311.558
2000-07-31,290.31
2000-08-31,296.15
2000-09-29,279.129
2000-10-31,277.141
2000-11-30,302.059
2000-12-29,310.484
2001-01-31,312.236
2001-02-28,307.462
2001-03-30,270.265
2001-04-30,297.359
2001-05-31,314.034
2001-06-29,332.152
2001-07-31,305.228
2001-08-31,321.654
2001-09-28,268.973
2001-10-31,307.762
2001-11-30,327.611
2001-12-31,335.484
2002-01-31,348.798
2002-02-28,364.619
2002-03-29,365.285
2002-04-30,370.441
2002-05-31,398.001
2002-06-28,388.602
2002-07-31,356.202
2002-08-30,365.904
2002-09-30,342.952
2002-10-31,359.212
2002-11-29,351.465
2002-12-31,338.771
2003-01-31,344.021
2003-02-28,333.978
2003-03-31,356.791
2003-04-30,388.266
2003-05-30,400.376
2003-06-30,421.692
2003-07-31,405.603
2003-08-29,398.845
2003-09-30,415.613
2003-10-31,436.4
2003-11-28,438.437
2003-12-31,474.475
2004-01-30,484.419
2004-02-27,504.837
2004-03-31,518.887
2004-04-30,480.016
2004-05-31,483.9
2004-06-30,484.81
2004-07-30,467.128
2004-08-31,474.7
2004-09-30,496.729
2004-10-29,540.542
2004-11-30,568.734
2004-12-31,591.691
2005-01-31,593.126
2005-02-28,621.609
2005-03-31,596.528
2005-04-29,611.011
2005-05-31,608.918
2005-06-30,623.634
2005-07-29,629.002
2005-08-31,621.449
2005-09-30,659.827
2005-10-31,638.802
2005-11-30,661.226
2005-12-30,668.465
2006-01-31,708.171
2006-02-28,718.291
2006-03-31,698.802
2006-04-28,761.554
2006-05-31,713.513
2006-06-30,724.364
2006-07-31,742.141
2006-08-31,773.315
2006-09-29,764.385
2006-10-31,822.986
2006-11-30,859.483
2006-12-29,888.16
2007-01-31,892.373
2007-02-28,906.681
2007-03-30,942.101
2007-04-30,1000.374
2007-05-31,1000.0
2007-06-29,1007.464
2007-07-31,986.261
2007-08-31,973.113
2007-09-28,1086.161
2007-10-31,1181.954
2007-11-30,1082.286
2007-12-31,1042.939
2008-01-31,949.682
2008-02-29,918.818
2008-03-31,898.941
2008-04-30,950.682
2008-05-30,947.041
2008-06-30,848.864
2008-07-31,817.0
