Date,AUSTRALIA LARGE VALUE Large Cap
2001-01-01,341.07
2001-01-02,349.699
2001-01-03,349.862
2001-01-04,353.747
2001-01-05,356.367
2001-01-08,351.364
2001-01-09,346.552
2001-01-10,342.455
2001-01-11,340.179
2001-01-12,340.119
2001-01-15,336.602
2001-01-16,333.313
2001-01-17,329.885
2001-01-18,335.452
2001-01-19,338.074
2001-01-22,337.106
2001-01-23,335.903
2001-01-24,332.49
2001-01-25,335.772
2001-01-26,334.847
2001-01-29,337.444
2001-01-30,340.103
2001-01-31,342.994
2001-02-01,348.215
2001-02-02,347.449
2001-02-05,344.685
2001-02-06,344.905
2001-02-07,338.59
2001-02-08,332.47
2001-02-09,329.295
2001-02-12,331.71
2001-02-13,328.844
2001-02-14,326.832
2001-02-15,324.493
2001-02-16,328.921
2001-02-19,325.209
2001-02-20,322.41
2001-02-21,327.11
2001-02-22,328.432
2001-02-23,329.267
2001-02-26,333.464
2001-02-27,334.796
2001-02-28,337.158
2001-03-01,343.417
2001-03-02,343.271
2001-03-05,341.901
2001-03-06,338.482
2001-03-07,333.618
2001-03-08,329.249
2001-03-09,327.308
2001-03-12,326.653
2001-03-13,318.252
2001-03-14,315.32
2001-03-15,309.093
2001-03-16,308.271
2001-03-19,309.735
2001-03-20,310.773
2001-03-21,306.017
2001-03-22,300.702
2001-03-23,295.789
2001-03-26,298.898
2001-03-27,297.606
2001-03-28,297.631
2001-03-29,300.157
2001-03-30,296.321
2001-04-02,297.838
2001-04-03,301.272
2001-04-04,306.567
2001-04-05,309.158
2001-04-06,312.214
2001-04-09,306.115
2001-04-10,308.853
2001-04-11,315.275
2001-04-12,320.247
2001-04-13,320.247
2001-04-16,321.256
2001-04-17,316.011
2001-04-18,308.534
2001-04-19,321.38
2001-04-20,329.46
2001-04-23,321.955
2001-04-24,322.906
2001-04-25,323.675
2001-04-26,326.189
2001-04-27,322.197
2001-04-30,325.948
2001-05-01,328.988
2001-05-02,330.486
2001-05-03,334.442
2001-05-04,331.844
2001-05-07,332.04
2001-05-08,330.344
2001-05-09,333.652
2001-05-10,341.626
2001-05-11,341.979
2001-05-14,339.675
2001-05-15,342.712
2001-05-16,345.445
2001-05-17,353.434
2001-05-18,349.637
2001-05-21,358.521
2001-05-22,354.976
2001-05-23,352.96
2001-05-24,353.499
2001-05-25,352.31
2001-05-28,354.774
2001-05-29,350.183
2001-05-30,348.639
2001-05-31,343.918
2001-06-01,347.795
2001-06-04,351.687
2001-06-05,349.678
2001-06-06,355.378
