Date,SPAIN VALUE Standard (Large+Mid Cap)
2001-01-01,1192.311
2001-01-02,1212.564
2001-01-03,1235.639
2001-01-04,1257.241
2001-01-05,1261.765
2001-01-08,1269.407
2001-01-09,1258.11
2001-01-10,1254.371
2001-01-11,1272.144
2001-01-12,1282.48
2001-01-15,1270.361
2001-01-16,1253.907
2001-01-17,1250.765
2001-01-18,1276.802
2001-01-19,1252.68
2001-01-22,1257.562
2001-01-23,1267.491
2001-01-24,1239.913
2001-01-25,1249.243
2001-01-26,1252.071
2001-01-29,1232.033
2001-01-30,1255.678
2001-01-31,1276.73
2001-02-01,1300.016
2001-02-02,1265.187
2001-02-05,1277.278
2001-02-06,1283.127
2001-02-07,1283.511
2001-02-08,1289.724
2001-02-09,1296.736
2001-02-12,1324.043
2001-02-13,1310.808
2001-02-14,1294.636
2001-02-15,1268.618
2001-02-16,1271.765
2001-02-19,1287.791
2001-02-20,1254.846
2001-02-21,1255.234
2001-02-22,1231.133
2001-02-23,1222.655
2001-02-26,1229.202
2001-02-27,1246.506
2001-02-28,1247.287
2001-03-01,1250.486
2001-03-02,1259.604
2001-03-05,1253.058
2001-03-06,1272.67
2001-03-07,1279.253
2001-03-08,1286.345
2001-03-09,1280.816
2001-03-12,1259.55
2001-03-13,1239.905
2001-03-14,1218.018
2001-03-15,1225.493
2001-03-16,1190.347
2001-03-19,1185.639
2001-03-20,1195.73
2001-03-21,1161.524
2001-03-22,1111.131
2001-03-23,1147.414
2001-03-26,1165.705
2001-03-27,1190.988
2001-03-28,1177.229
2001-03-29,1173.843
2001-03-30,1188.773
2001-04-02,1188.176
2001-04-03,1166.536
2001-04-04,1202.587
2001-04-05,1207.269
2001-04-06,1216.128
2001-04-09,1228.51
2001-04-10,1216.309
2001-04-11,1200.988
2001-04-12,1222.997
2001-04-13,1222.997
2001-04-16,1210.472
2001-04-17,1196.617
2001-04-18,1204.641
2001-04-19,1216.054
2001-04-20,1211.499
2001-04-23,1194.563
2001-04-24,1208.585
2001-04-25,1207.464
2001-04-26,1228.2
2001-04-27,1224.999
2001-04-30,1231.637
2001-05-01,1238.167
2001-05-02,1220.056
2001-05-03,1210.864
2001-05-04,1212.846
2001-05-07,1215.26
2001-05-08,1211.671
2001-05-09,1211.671
2001-05-10,1227.684
2001-05-11,1213.164
2001-05-14,1207.819
2001-05-15,1214.791
2001-05-16,1223.764
2001-05-17,1229.753
2001-05-18,1237.022
2001-05-21,1223.512
2001-05-22,1202.579
2001-05-23,1194.05
2001-05-24,1193.734
2001-05-25,1177.508
2001-05-28,1189.488
2001-05-29,1177.32
2001-05-30,1186.203
2001-05-31,1178.088
2001-06-01,1170.602
2001-06-04,1184.868
2001-06-05,1191.012
2001-06-06,1184.863
2001-06-07,1186.614
2001-06-08,1193.435
2001-06-11,1183.948
2001-06-12,1180.632
2001-06-13,1193.057
2001-06-14,1200.852
2001-06-15,1202.542
2001-06-18,1180.678
2001-06-19,1178.088
2001-06-20,1167.994
2001-06-21,1155.967
2001-06-22,1154.032
2001-06-25,1165.143
2001-06-26,1150.501
2001-06-27,1143.584
2001-06-28,1132.729
2001-06-29,1140.344
2001-07-02,1155.595
2001-07-03,1150.322
2001-07-04,1140.73
2001-07-05,1122.083
2001-07-06,1109.728
2001-07-09,1116.267
2001-07-10,1111.937
2001-07-11,1105.422
2001-07-12,1087.365
2001-07-13,1107.697
2001-07-16,1111.254
2001-07-17,1113.769
2001-07-18,1128.078
2001-07-19,1132.278
2001-07-20,1127.26
2001-07-23,1135.012
2001-07-24,1146.644
2001-07-25,1129.247
2001-07-26,1131.146
2001-07-27,1124.59
2001-07-30,1141.429
2001-07-31,1149.465
2001-08-01,1162.403
2001-08-02,1169.067
2001-08-03,1164.795
2001-08-06,1166.77
2001-08-07,1158.055
2001-08-08,1149.373
2001-08-09,1152.585
2001-08-10,1156.642
2001-08-13,1170.04
2001-08-14,1180.278
2001-08-15,1198.297
2001-08-16,1184.703
2001-08-17,1176.773
2001-08-20,1169.835
2001-08-21,1176.59
2001-08-22,1203.603
2001-08-23,1205.047
2001-08-24,1213.947
2001-08-27,1206.085
2001-08-28,1191.889
