Date,SPAIN VALUE Standard (Large+Mid Cap)
2001-01-01,1780.1
2001-01-02,1812.021
2001-01-03,1846.503
2001-01-04,1878.899
2001-01-05,1885.699
2001-01-08,1897.139
2001-01-09,1880.31
2001-01-10,1875.393
2001-01-11,1902.887
2001-01-12,1918.348
2001-01-15,1900.325
2001-01-16,1875.716
2001-01-17,1871.016
2001-01-18,1909.965
2001-01-19,1873.882
2001-01-22,1881.184
2001-01-23,1896.037
2001-01-24,1854.783
2001-01-25,1868.739
2001-01-26,1872.969
2001-01-29,1843.003
2001-01-30,1878.373
2001-01-31,1909.865
2001-02-01,1944.698
2001-02-02,1892.597
2001-02-05,1910.685
2001-02-06,1919.434
2001-02-07,1920.008
2001-02-08,1929.303
2001-02-09,1939.792
2001-02-12,1980.641
2001-02-13,1960.842
2001-02-14,1936.651
2001-02-15,1897.73
2001-02-16,1902.438
2001-02-19,1926.411
2001-02-20,1877.129
2001-02-21,1877.709
2001-02-22,1841.656
2001-02-23,1828.975
2001-02-26,1838.767
2001-02-27,1864.653
2001-02-28,1865.821
2001-03-01,1870.606
2001-03-02,1884.246
2001-03-05,1874.454
2001-03-06,1903.791
2001-03-07,1913.639
2001-03-08,1924.247
2001-03-09,1915.977
2001-03-12,1884.165
2001-03-13,1854.778
2001-03-14,1822.037
2001-03-15,1833.219
2001-03-16,1780.644
2001-03-19,1773.602
2001-03-20,1788.696
2001-03-21,1737.528
2001-03-22,1662.145
2001-03-23,1716.42
2001-03-26,1743.782
2001-03-27,1781.603
2001-03-28,1761.02
2001-03-29,1755.956
2001-03-30,1778.29
2001-04-02,1777.396
2001-04-03,1745.025
2001-04-04,1798.954
2001-04-05,1805.995
2001-04-06,1819.247
2001-04-09,1837.771
2001-04-10,1820.272
2001-04-11,1797.343
2001-04-12,1830.281
2001-04-13,1830.281
2001-04-16,1811.537
2001-04-17,1790.802
2001-04-18,1802.81
2001-04-19,1819.891
2001-04-20,1813.073
2001-04-23,1787.728
2001-04-24,1808.712
2001-04-25,1807.035
2001-04-26,1838.068
2001-04-27,1833.278
2001-04-30,1843.212
2001-05-01,1852.984
2001-05-02,1825.88
2001-05-03,1812.233
2001-05-04,1815.2
2001-05-07,1818.812
2001-05-08,1813.441
2001-05-09,1813.44
2001-05-10,1837.406
2001-05-11,1815.675
2001-05-14,1807.676
2001-05-15,1818.11
2001-05-16,1831.54
2001-05-17,1840.503
2001-05-18,1851.382
2001-05-21,1831.196
2001-05-22,1799.865
2001-05-23,1787.1
2001-05-24,1786.628
2001-05-25,1762.342
2001-05-28,1780.272
2001-05-29,1762.061
2001-05-30,1775.357
2001-05-31,1763.21
2001-06-01,1752.517
2001-06-04,1773.875
2001-06-05,1783.117
2001-06-06,1773.912
2001-06-07,1776.533
2001-06-08,1786.746
2001-06-11,1772.542
2001-06-12,1767.577
2001-06-13,1786.18
2001-06-14,1797.85
2001-06-15,1800.381
2001-06-18,1767.645
2001-06-19,1763.768
2001-06-20,1748.674
2001-06-21,1730.667
2001-06-22,1727.77
2001-06-25,1744.404
2001-06-26,1722.483
2001-06-27,1712.128
2001-06-28,1695.876
2001-06-29,1707.277
2001-07-02,1731.995
2001-07-03,1724.14
2001-07-04,1710.163
2001-07-05,1682.207
2001-07-06,1663.684
2001-07-09,1673.513
2001-07-10,1667.641
2001-07-11,1657.869
2001-07-12,1631.573
2001-07-13,1662.082
2001-07-16,1667.431
2001-07-17,1671.205
2001-07-18,1692.675
2001-07-19,1698.978
2001-07-20,1691.448
2001-07-23,1703.079
2001-07-24,1720.533
2001-07-25,1694.43
2001-07-26,1697.279
2001-07-27,1687.441
2001-07-30,1712.727
2001-07-31,1724.785
2001-08-01,1744.199
2001-08-02,1754.2
2001-08-03,1747.788
2001-08-06,1750.753
2001-08-07,1737.675
2001-08-08,1724.647
2001-08-09,1729.467
2001-08-10,1735.556
2001-08-13,1755.66
2001-08-14,1771.021
2001-08-15,1798.058
2001-08-16,1777.661
2001-08-17,1765.763
2001-08-20,1755.351
2001-08-21,1765.487
2001-08-22,1806.021
2001-08-23,1808.187
2001-08-24,1821.542
2001-08-27,1809.745
