Date,ACWI GROWTH Standard (Large+Mid Cap)
2001-01-01,149.853
2001-01-02,146.152
2001-01-03,150.938
2001-01-04,151.331
2001-01-05,148.764
2001-01-08,147.735
2001-01-09,147.401
2001-01-10,147.917
2001-01-11,150.391
2001-01-12,150.773
2001-01-15,150.735
2001-01-16,150.521
2001-01-17,151.996
2001-01-18,154.879
2001-01-19,155.177
2001-01-22,154.869
2001-01-23,155.822
2001-01-24,155.377
2001-01-25,154.252
2001-01-26,154.184
2001-01-29,154.47
2001-01-30,155.055
2001-01-31,155.311
2001-02-01,155.907
2001-02-02,152.772
2001-02-05,152.366
2001-02-06,152.338
2001-02-07,150.282
2001-02-08,148.251
2001-02-09,145.468
2001-02-12,147.381
2001-02-13,145.658
2001-02-14,144.946
2001-02-15,146.251
2001-02-16,143.032
2001-02-19,142.832
2001-02-20,140.4
2001-02-21,138.303
2001-02-22,137.107
2001-02-23,136.053
2001-02-26,137.874
2001-02-27,137.225
2001-02-28,135.692
2001-03-01,135.717
2001-03-02,134.013
2001-03-05,134.818
2001-03-06,136.475
2001-03-07,136.595
2001-03-08,136.084
2001-03-09,133.273
2001-03-12,127.735
2001-03-13,128.036
2001-03-14,125.667
2001-03-15,126.334
2001-03-16,123.455
2001-03-19,124.394
2001-03-20,123.446
2001-03-21,122.372
2001-03-22,120.37
2001-03-23,123.706
2001-03-26,126.096
2001-03-27,128.524
2001-03-28,125.857
2001-03-29,124.078
2001-03-30,124.537
2001-04-02,122.982
2001-04-03,119.544
2001-04-04,120.153
2001-04-05,124.369
2001-04-06,123.521
2001-04-09,123.704
2001-04-10,125.678
2001-04-11,126.041
2001-04-12,127.887
2001-04-13,127.82
2001-04-16,126.64
2001-04-17,127.231
2001-04-18,131.895
2001-04-19,134.526
2001-04-20,133.959
2001-04-23,131.719
2001-04-24,130.196
2001-04-25,131.746
2001-04-26,132.607
2001-04-27,133.93
2001-04-30,134.5
2001-05-01,136.472
2001-05-02,137.161
2001-05-03,135.235
2001-05-04,136.623
2001-05-07,136.687
2001-05-08,136.354
2001-05-09,135.017
2001-05-10,135.391
2001-05-11,134.261
2001-05-14,132.949
2001-05-15,133.54
2001-05-16,135.753
2001-05-17,136.939
2001-05-18,136.849
2001-05-21,138.72
2001-05-22,138.56
2001-05-23,136.998
2001-05-24,137.106
2001-05-25,135.588
2001-05-28,135.682
2001-05-29,134.632
2001-05-30,132.261
2001-05-31,131.966
2001-06-01,132.483
2001-06-04,133.129
2001-06-05,134.537
2001-06-06,133.695
2001-06-07,134.711
2001-06-08,133.746
2001-06-11,131.823
2001-06-12,130.843
2001-06-13,130.137
2001-06-14,128.961
2001-06-15,127.747
2001-06-18,126.881
2001-06-19,127.017
2001-06-20,127.654
2001-06-21,128.553
2001-06-22,128.032
2001-06-25,127.73
2001-06-26,126.896
2001-06-27,126.325
2001-06-28,127.416
2001-06-29,127.429
2001-07-02,128.888
2001-07-03,128.182
2001-07-04,127.545
2001-07-05,125.149
2001-07-06,122.295
2001-07-09,123.082
2001-07-10,121.972
2001-07-11,121.536
2001-07-12,123.965
2001-07-13,124.476
2001-07-16,123.327
2001-07-17,123.583
2001-07-18,123.495
2001-07-19,124.951
2001-07-20,124.454
2001-07-23,122.595
2001-07-24,121.665
2001-07-25,122.488
2001-07-26,123.035
2001-07-27,123.661
2001-07-30,123.856
2001-07-31,125.327
2001-08-01,126.155
2001-08-02,127.211
2001-08-03,126.438
