Date,ACWI GROWTH Standard (Large+Mid Cap)
2001-01-01,99.983
2001-01-02,97.514
2001-01-03,100.707
2001-01-04,100.969
2001-01-05,99.256
2001-01-08,98.57
2001-01-09,98.347
2001-01-10,98.691
2001-01-11,100.341
2001-01-12,100.596
2001-01-15,100.571
2001-01-16,100.428
2001-01-17,101.412
2001-01-18,103.336
2001-01-19,103.534
2001-01-22,103.329
2001-01-23,103.964
2001-01-24,103.667
2001-01-25,102.917
2001-01-26,102.872
2001-01-29,103.062
2001-01-30,103.452
2001-01-31,103.622
2001-02-01,104.019
2001-02-02,101.928
2001-02-05,101.656
2001-02-06,101.637
2001-02-07,100.264
2001-02-08,98.909
2001-02-09,97.052
2001-02-12,98.328
2001-02-13,97.177
2001-02-14,96.699
2001-02-15,97.569
2001-02-16,95.422
2001-02-19,95.287
2001-02-20,93.665
2001-02-21,92.265
2001-02-22,91.467
2001-02-23,90.764
2001-02-26,91.979
2001-02-27,91.545
2001-02-28,90.523
2001-03-01,90.54
2001-03-02,89.403
2001-03-05,89.935
2001-03-06,91.039
2001-03-07,91.116
2001-03-08,90.775
2001-03-09,88.9
2001-03-12,85.205
2001-03-13,85.401
2001-03-14,83.821
2001-03-15,84.266
2001-03-16,82.345
2001-03-19,82.971
2001-03-20,82.338
2001-03-21,81.62
2001-03-22,80.281
2001-03-23,82.506
2001-03-26,84.098
2001-03-27,85.706
2001-03-28,83.927
2001-03-29,82.74
2001-03-30,83.046
2001-04-02,82.009
2001-04-03,79.716
2001-04-04,80.12
2001-04-05,82.931
2001-04-06,82.364
2001-04-09,82.486
2001-04-10,83.801
2001-04-11,84.039
2001-04-12,85.27
2001-04-13,85.225
2001-04-16,84.438
2001-04-17,84.827
2001-04-18,87.935
2001-04-19,89.689
2001-04-20,89.311
2001-04-23,87.812
2001-04-24,86.797
2001-04-25,87.829
2001-04-26,88.403
2001-04-27,89.283
2001-04-30,89.662
2001-05-01,90.976
2001-05-02,91.435
2001-05-03,90.149
2001-05-04,91.072
2001-05-07,91.113
2001-05-08,90.89
2001-05-09,89.998
2001-05-10,90.247
2001-05-11,89.491
2001-05-14,88.616
2001-05-15,89.01
2001-05-16,90.482
2001-05-17,91.271
2001-05-18,91.21
2001-05-21,92.454
2001-05-22,92.347
2001-05-23,91.305
2001-05-24,91.377
2001-05-25,90.364
2001-05-28,90.426
2001-05-29,89.727
2001-05-30,88.146
2001-05-31,87.946
2001-06-01,88.288
2001-06-04,88.717
2001-06-05,89.655
2001-06-06,89.093
2001-06-07,89.769
2001-06-08,89.124
2001-06-11,87.842
2001-06-12,87.189
2001-06-13,86.713
2001-06-14,85.927
2001-06-15,85.118
2001-06-18,84.538
2001-06-19,84.629
2001-06-20,85.052
2001-06-21,85.65
2001-06-22,85.303
2001-06-25,85.107
2001-06-26,84.55
2001-06-27,84.17
2001-06-28,84.897
2001-06-29,84.906
2001-07-02,85.877
2001-07-03,85.404
2001-07-04,84.98
2001-07-05,83.378
2001-07-06,81.477
2001-07-09,82.001
2001-07-10,81.261
2001-07-11,80.969
2001-07-12,82.587
2001-07-13,82.927
