Date,PORTUGAL Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,105.818
1988-02-29,90.17
1988-03-31,95.139
1988-04-29,87.952
1988-05-31,82.467
1988-06-30,77.043
1988-07-29,73.361
1988-08-31,70.364
1988-09-30,67.973
1988-10-31,73.989
1988-11-30,77.351
1988-12-30,71.347
1989-01-31,69.947
1989-02-28,73.876
1989-03-31,72.479
1989-04-28,73.863
1989-05-31,68.61
1989-06-30,68.079
1989-07-31,72.456
1989-08-31,79.055
1989-09-29,101.516
1989-10-31,98.953
1989-11-30,101.488
1989-12-29,100.838
1990-01-31,95.674
1990-02-28,93.52
1990-03-30,90.221
1990-04-30,94.531
1990-05-31,94.59
1990-06-29,96.692
1990-07-31,97.481
1990-08-31,88.672
1990-09-28,76.791
1990-10-31,77.648
1990-11-30,70.32
1990-12-31,70.033
1991-01-31,73.086
1991-02-28,85.142
1991-03-29,76.183
1991-04-30,73.077
1991-05-31,69.655
1991-06-28,65.14
1991-07-31,68.355
1991-08-30,68.217
1991-09-30,68.123
1991-10-31,63.842
1991-11-29,60.819
1991-12-31,66.224
1992-01-31,61.283
1992-02-28,61.287
1992-03-31,64.445
1992-04-30,66.603
1992-05-29,68.812
1992-06-30,70.836
1992-07-31,70.653
1992-08-31,71.409
1992-09-30,67.105
1992-10-30,57.92
1992-11-30,55.784
1992-12-31,55.269
1993-01-29,58.886
1993-02-26,62.177
1993-03-31,62.592
1993-04-30,61.272
1993-05-31,67.82
1993-06-30,64.475
1993-07-30,62.85
1993-08-31,76.491
1993-09-30,71.87
1993-10-29,75.997
1993-11-30,73.278
1993-12-31,73.669
1994-01-31,83.203
1994-02-28,84.846
1994-03-31,86.388
1994-04-29,82.281
1994-05-31,74.496
1994-06-30,70.862
1994-07-29,75.432
1994-08-31,80.974
1994-09-30,80.739
1994-10-31,84.061
1994-11-30,82.702
1994-12-30,81.925
1995-01-31,74.823
1995-02-28,80.13
1995-03-31,85.589
1995-04-28,85.303
1995-05-31,85.541
1995-06-30,85.351
1995-07-31,86.462
1995-08-31,79.507
1995-09-29,82.876
1995-10-31,82.655
1995-11-30,79.424
1995-12-29,81.989
1996-01-31,89.251
1996-02-29,92.237
1996-03-29,93.607
1996-04-30,90.705
1996-05-31,95.335
1996-06-28,100.32
1996-07-31,101.614
1996-08-30,105.394
1996-09-30,102.713
1996-10-31,104.693
1996-11-29,106.377
1996-12-31,111.256
1997-01-31,122.339
1997-02-28,123.719
1997-03-31,127.713
1997-04-30,127.966
1997-05-30,136.84
