Date,PORTUGAL Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,105.818
1988-02-29,90.17
1988-03-31,95.145
1988-04-29,88.067
1988-05-31,82.665
1988-06-30,77.228
1988-07-29,73.537
1988-08-31,70.533
1988-09-30,68.137
1988-10-31,74.167
1988-11-30,77.537
1988-12-30,71.518
1989-01-31,70.115
1989-02-28,74.053
1989-03-31,72.653
1989-04-28,74.223
1989-05-31,69.183
1989-06-30,68.648
1989-07-31,73.062
1989-08-31,79.716
1989-09-29,102.364
1989-10-31,99.78
1989-11-30,102.336
1989-12-29,101.681
1990-01-31,96.474
1990-02-28,94.302
1990-03-30,90.975
1990-04-30,95.692
1990-05-31,95.923
1990-06-29,98.055
1990-07-31,98.855
1990-08-31,89.922
1990-09-28,77.874
1990-10-31,78.742
1990-11-30,71.312
1990-12-31,71.02
1991-01-31,74.195
1991-02-28,86.434
1991-03-29,77.339
1991-04-30,74.406
1991-05-31,71.087
1991-06-28,66.479
1991-07-31,69.76
1991-08-30,69.619
1991-09-30,69.523
1991-10-31,65.154
1991-11-29,62.069
1991-12-31,67.585
1992-01-31,62.581
1992-02-28,62.623
1992-03-31,65.889
1992-04-30,68.132
1992-05-29,70.429
1992-06-30,72.54
1992-07-31,72.408
1992-08-31,73.238
1992-09-30,68.878
1992-10-30,59.5
1992-11-30,57.354
1992-12-31,56.871
1993-01-29,60.641
1993-02-26,64.076
1993-03-31,64.55
1993-04-30,63.234
1993-05-31,70.035
1993-06-30,66.621
1993-07-30,64.98
1993-08-31,79.121
1993-09-30,74.381
1993-10-29,78.692
1993-11-30,75.914
1993-12-31,76.359
1994-01-31,86.28
1994-02-28,88.024
1994-03-31,89.663
1994-04-29,85.451
1994-05-31,77.413
1994-06-30,73.686
1994-07-29,78.488
1994-08-31,84.305
1994-09-30,84.112
1994-10-31,87.625
1994-11-30,86.259
1994-12-30,85.5
1995-01-31,78.134
1995-02-28,83.723
1995-03-31,89.476
1995-04-28,89.224
1995-05-31,89.519
1995-06-30,89.353
1995-07-31,90.55
1995-08-31,83.298
1995-09-29,86.863
1995-10-31,86.667
1995-11-30,83.315
1995-12-29,86.042
1996-01-31,93.698
1996-02-29,96.867
1996-03-29,98.342
1996-04-30,95.342
1996-05-31,100.259
1996-06-28,105.551
1996-07-31,106.964
1996-08-30,110.995
1996-09-30,108.222
1996-10-31,110.36
1996-11-29,112.186
1996-12-31,117.382
1997-01-31,129.124
1997-02-28,130.628
1997-03-31,134.899
1997-04-30,135.216
1997-05-30,144.645
