Date,NEW ZEALAND SMID VALUE SMID (Small+Mid Cap)
1994-05-31,250.704
1994-06-30,232.05
1994-07-29,232.867
1994-08-31,239.095
1994-09-30,225.636
1994-10-31,224.314
1994-11-30,223.149
1994-12-30,233.297
1995-01-31,228.309
1995-02-28,233.347
1995-03-31,248.42
1995-04-28,273.026
1995-05-31,259.791
1995-06-30,253.999
1995-07-31,260.304
1995-08-31,260.4
1995-09-29,262.322
1995-10-31,281.192
1995-11-30,277.524
1995-12-29,283.693
1996-01-31,290.919
1996-02-29,290.383
1996-03-29,305.355
1996-04-30,310.376
1996-05-31,291.34
1996-06-28,306.282
1996-07-31,316.673
1996-08-30,338.66
1996-09-30,334.036
1996-10-31,358.392
1996-11-29,364.876
1996-12-31,366.758
1997-01-31,364.111
1997-02-28,361.34
1997-03-31,349.523
1997-04-30,347.648
1997-05-30,345.418
1997-06-30,351.617
1997-07-31,348.476
1997-08-29,337.531
1997-09-30,341.455
1997-10-31,314.237
1997-11-28,305.017
1997-12-31,287.616
1998-01-30,280.383
1998-02-27,284.21
1998-03-31,267.505
1998-04-30,267.783
1998-05-29,249.08
1998-06-30,221.175
1998-07-31,232.184
1998-08-31,190.459
1998-09-30,179.837
1998-10-30,222.923
1998-11-30,239.585
1998-12-31,254.104
1999-01-29,264.057
1999-02-26,251.346
1999-03-31,258.386
1999-04-30,299.234
1999-05-31,273.768
1999-06-30,285.175
1999-07-30,292.158
1999-08-31,269.836
1999-09-30,261.448
1999-10-29,261.577
1999-11-30,264.078
1999-12-31,273.678
2000-01-31,242.698
2000-02-29,228.084
2000-03-31,240.798
2000-04-28,241.557
2000-05-31,229.071
2000-06-30,246.953
2000-07-31,247.731
2000-08-31,231.819
2000-09-29,210.505
2000-10-31,205.543
2000-11-30,211.686
2000-12-29,228.227
2001-01-31,232.268
2001-02-28,232.622
2001-03-30,217.485
2001-04-30,227.403
2001-05-31,225.075
2001-06-29,224.052
2001-07-31,240.881
2001-08-31,246.858
2001-09-28,202.33
2001-10-31,215.1
2001-11-30,227.328
2001-12-31,228.222
2002-01-31,236.235
2002-02-28,242.59
2002-03-29,251.358
2002-04-30,251.855
2002-05-31,286.635
2002-06-28,279.797
2002-07-31,257.813
2002-08-30,268.416
2002-09-30,264.466
2002-10-31,282.148
