Date,NEW ZEALAND SMID VALUE SMID (Small+Mid Cap)
1994-05-31,214.135
1994-06-30,198.202
1994-07-29,198.9
1994-08-31,204.219
1994-09-30,192.724
1994-10-31,191.878
1994-11-30,191.326
1994-12-30,200.555
1995-01-31,196.267
1995-02-28,200.662
1995-03-31,213.969
1995-04-28,235.867
1995-05-31,224.588
1995-06-30,220.003
1995-07-31,225.505
1995-08-31,225.588
1995-09-29,227.363
1995-10-31,244.555
1995-11-30,241.394
1995-12-29,247.525
1996-01-31,253.829
1996-02-29,253.45
1996-03-29,266.967
1996-04-30,271.808
1996-05-31,255.355
1996-06-28,269.243
1996-07-31,278.541
1996-08-30,297.893
1996-09-30,294.329
1996-10-31,316.137
1996-11-29,322.085
1996-12-31,324.657
1997-01-31,322.4
1997-02-28,320.068
1997-03-31,310.039
1997-04-30,308.782
1997-05-30,307.08
1997-06-30,313.146
1997-07-31,310.813
1997-08-29,301.222
1997-09-30,305.248
1997-10-31,281.03
1997-11-28,273.104
1997-12-31,258.133
1998-01-30,251.712
1998-02-27,255.215
1998-03-31,240.914
1998-04-30,241.346
1998-05-29,224.535
1998-06-30,200.255
1998-07-31,210.235
1998-08-31,172.486
1998-09-30,163.026
1998-10-30,202.423
1998-11-30,218.128
1998-12-31,231.517
1999-01-29,240.608
1999-02-26,229.026
1999-03-31,235.834
1999-04-30,273.177
1999-05-31,250.052
1999-06-30,260.533
1999-07-30,266.913
1999-08-31,246.583
1999-09-30,239.156
1999-10-29,239.309
1999-11-30,241.718
1999-12-31,250.803
2000-01-31,222.582
2000-02-29,209.179
2000-03-31,221.09
2000-04-28,221.787
2000-05-31,210.422
2000-06-30,226.975
2000-07-31,227.69
2000-08-31,213.141
2000-09-29,193.728
2000-10-31,189.31
2000-11-30,195.154
2000-12-29,210.623
2001-01-31,214.398
2001-02-28,214.75
2001-03-30,201.085
2001-04-30,210.386
2001-05-31,208.602
2001-06-29,207.751
2001-07-31,223.473
2001-08-31,229.091
2001-09-28,188.469
2001-10-31,200.365
2001-11-30,211.927
2001-12-31,213.094
2002-01-31,220.711
2002-02-28,226.965
2002-03-29,235.628
2002-04-30,236.094
2002-05-31,268.754
2002-06-28,262.941
2002-07-31,242.399
2002-08-30,252.569
2002-09-30,249.472
2002-10-31,266.402
2002-11-29,263.735
2002-12-31,284.627
2003-01-31,306.221
2003-02-28,307.519
2003-03-31,308.727
2003-04-30,308.725
2003-05-30,326.415
2003-06-30,350.925
2003-07-31,346.306
2003-08-29,355.866
2003-09-30,372.848
2003-10-31,399.767
2003-11-28,410.564
2003-12-31,443.23
2004-01-30,448.398
2004-02-27,464.117
2004-03-31,490.918
2004-04-30,470.954
2004-05-31,460.381
2004-06-30,480.03
2004-07-30,500.064
2004-08-31,518.666
2004-09-30,558.639
2004-10-29,560.149
2004-11-30,620.658
2004-12-31,631.094
2005-01-31,628.261
2005-02-28,655.33
2005-03-31,604.795
2005-04-29,593.331
2005-05-31,590.369
2005-06-30,636.938
2005-07-29,649.203
2005-08-31,662.175
2005-09-30,683.085
2005-10-31,667.497
2005-11-30,673.19
2005-12-30,657.609
2006-01-31,665.015
2006-02-28,664.077
2006-03-31,668.635
2006-04-28,705.817
2006-05-31,711.94
2006-06-30,700.563
2006-07-31,702.384
2006-08-31,724.051
2006-09-29,758.002
2006-10-31,799.374
2006-11-30,832.185
2006-12-29,897.768
2007-01-31,892.871
2007-02-28,892.761
2007-03-30,949.007
2007-04-30,980.844
2007-05-31,1000.0
2007-06-29,1070.065
2007-07-31,1042.286
2007-08-31,920.083
2007-09-28,1033.982
2007-10-31,1055.654
2007-11-30,1010.792
2007-12-31,1018.808
2008-01-31,955.358
2008-02-29,947.557
2008-03-31,895.127
2008-04-30,896.569
2008-05-30,933.818
2008-06-30,818.167
2008-07-31,819.066
2008-08-29,742.705
2008-09-30,639.955
2008-10-31,497.682
2008-11-28,467.029
2008-12-31,487.925
2009-01-30,453.419
2009-02-27,402.53
2009-03-31,468.845
2009-04-30,525.53
2009-05-29,576.174
2009-06-30,597.157
2009-07-31,647.562
2009-08-31,690.624
2009-09-30,740.277
2009-10-30,731.764
2009-11-30,706.404
2009-12-31,736.475
2010-01-29,702.827
2010-02-26,692.917
2010-03-31,709.965
2010-04-30,738.541
2010-05-31,632.287
2010-06-30,636.026
2010-07-30,686.702
2010-08-31,678.729
2010-09-30,744.066
2010-10-29,798.161
2010-11-30,789.43
2010-12-31,830.409
2011-01-31,838.762
2011-02-28,811.037
2011-03-31,831.207
2011-04-29,906.763
2011-05-31,959.228
2011-06-30,938.179
2011-07-29,1004.922
2011-08-31,992.437
2011-09-30,908.239
2011-10-31,957.332
2011-11-30,925.86
2011-12-30,932.954
2012-01-31,1020.744
2012-02-29,1048.682
2012-03-30,1124.32
2012-04-30,1139.824
2012-05-31,1020.485
2012-06-29,1048.147
2012-07-31,1109.237
2012-08-31,1130.883
2012-09-28,1222.27
2012-10-31,1241.551
2012-11-30,1278.254
2012-12-31,1309.736
2013-01-31,1438.562
2013-02-28,1408.636
2013-03-29,1419.353
2013-04-30,1508.03
2013-05-31,1340.304
2013-06-28,1267.575
2013-07-31,1327.419
2013-08-30,1322.106
2013-09-30,1486.366
2013-10-31,1523.656
2013-11-29,1431.616
2013-12-31,1454.965
2014-01-31,1438.168
2014-02-28,1546.8
2014-03-31,1644.429
2014-04-30,1730.657
2014-05-30,1691.399
2014-06-30,1729.805
2014-07-31,1706.866
2014-08-29,1708.592
2014-09-30,1651.944
2014-10-31,1731.735
2014-11-28,1758.271
2014-12-31,1777.991
2015-01-30,1745.171
2015-02-27,1832.485
2015-03-31,1795.987
2015-04-30,1795.981
2015-05-29,1671.476
2015-06-30,1549.207
2015-07-31,1564.614
2015-08-31,1461.889
2015-09-30,1450.09
2015-10-30,1652.71
2015-11-30,1631.552
2015-12-31,1708.392
2016-01-29,1584.06
2016-02-29,1623.525
2016-03-31,1880.355
2016-04-29,1951.594
2016-05-31,1918.087
2016-06-30,1972.055
2016-07-29,2122.424
2016-08-31,2186.583
2016-09-30,2191.959
2016-10-31,2058.114
2016-11-30,2025.989
2016-12-30,1976.53
2017-01-31,2114.724
2017-02-28,2091.36
2017-03-31,2042.811
2017-04-28,2062.786
2017-05-31,2156.675
2017-06-30,2287.967
2017-07-31,2344.183
2017-08-31,2256.504
2017-09-29,2274.538
2017-10-31,2146.295
2017-11-30,2136.83
2017-12-29,2277.094
2018-01-31,2351.168
2018-02-28,2138.751
2018-03-30,2160.082
2018-04-30,2180.041
2018-05-31,2247.581
2018-06-29,2227.067
2018-07-31,2263.982
2018-08-31,2226.4
2018-09-28,2302.28
2018-10-31,2157.613
2018-11-30,2325.938
2018-12-31,2266.932
2019-01-31,2360.1
2019-02-28,2316.445
2019-03-29,2501.361
2019-04-30,2436.668
2019-05-31,2458.723
2019-06-28,2711.011
2019-07-31,2631.558
2019-08-30,2617.659
2019-09-30,2677.697
2019-10-31,2632.35
2019-11-29,2666.526
2019-12-31,2805.41
2020-01-31,2788.747
2020-02-28,2465.945
2020-03-31,1834.796
2020-04-30,2135.595
2020-05-29,2180.336
2020-06-30,2325.802
2020-07-31,2446.3
2020-08-31,2548.3
2020-09-30,2589.008
2020-10-30,2632.972
2020-11-30,3106.562
2020-12-31,3401.696
2021-01-29,3436.955
2021-02-26,3267.954
2021-03-31,3226.629
2021-04-30,3295.097
2021-05-31,3313.404
2021-06-30,3240.0
2021-07-30,3199.051
2021-08-31,3334.451
2021-09-30,3264.734
2021-10-29,3338.271
2021-11-30,3018.553
2021-12-31,3116.189
2022-01-31,2735.076
2022-02-28,2910.372
2022-03-31,3060.213
2022-04-29,2867.054
2022-05-31,2750.687
2022-06-30,2585.603
2022-07-29,2761.227
2022-08-31,2784.652
2022-09-30,2467.18
2022-10-31,2582.113
2022-11-30,2735.567
2022-12-30,2808.861
2023-01-31,2938.581
2023-02-28,2793.256
2023-03-31,2863.211
2023-04-28,2870.999
2023-05-31,2816.71
2023-06-30,2882.923
2023-07-31,2963.763
2023-08-31,2725.647
2023-09-29,2727.574
2023-10-31,2546.462
2023-11-30,2816.143
2023-12-29,3010.598
2024-01-31,2902.149
2024-02-29,2736.89
2024-03-29,2698.867
2024-04-30,2567.962
2024-05-31,2538.498
2024-06-28,2457.798
2024-07-31,2471.898
2024-08-30,2511.003
2024-09-30,2476.448
2024-10-31,2341.046
2024-11-29,2407.337
2024-12-31,2304.941
2025-01-31,2289.36
2025-02-28,2127.681
2025-03-31,2100.844
2025-04-30,2095.57
2025-05-30,2143.96
2025-06-30,2243.56
2025-07-31,2182.214
2025-08-29,2213.316
2025-09-30,2237.042
2025-10-31,2283.257
