Date,NEW ZEALAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,210.623
2001-01-02,210.29
2001-01-03,211.415
2001-01-04,213.222
2001-01-05,218.148
2001-01-08,217.361
2001-01-09,215.362
2001-01-10,212.774
2001-01-11,214.927
2001-01-12,213.962
2001-01-15,213.214
2001-01-16,213.903
2001-01-17,214.947
2001-01-18,216.674
2001-01-19,219.056
2001-01-22,220.775
2001-01-23,218.695
2001-01-24,213.136
2001-01-25,209.363
2001-01-26,210.08
2001-01-29,209.172
2001-01-30,211.274
2001-01-31,214.398
2001-02-01,219.593
2001-02-02,217.68
2001-02-05,216.619
2001-02-06,216.643
2001-02-07,220.17
2001-02-08,217.438
2001-02-09,218.272
2001-02-12,220.593
2001-02-13,218.333
2001-02-14,211.73
2001-02-15,211.383
2001-02-16,215.16
2001-02-19,216.272
2001-02-20,216.908
2001-02-21,216.805
2001-02-22,217.109
2001-02-23,218.101
2001-02-26,217.421
2001-02-27,219.275
2001-02-28,214.75
2001-03-01,218.333
2001-03-02,221.144
2001-03-05,220.691
2001-03-06,222.477
2001-03-07,222.733
2001-03-08,221.021
2001-03-09,218.692
2001-03-12,218.301
2001-03-13,214.017
2001-03-14,214.773
2001-03-15,212.897
2001-03-16,213.296
2001-03-19,216.876
2001-03-20,220.828
2001-03-21,217.178
2001-03-22,209.445
2001-03-23,214.988
2001-03-26,211.783
2001-03-27,209.354
2001-03-28,204.94
2001-03-29,201.494
2001-03-30,201.085
2001-04-02,201.306
2001-04-03,203.138
2001-04-04,202.761
2001-04-05,203.077
2001-04-06,203.446
2001-04-09,203.451
2001-04-10,203.061
2001-04-11,203.208
2001-04-12,204.855
2001-04-13,204.855
2001-04-16,205.257
2001-04-17,200.562
2001-04-18,200.068
2001-04-19,207.343
2001-04-20,211.196
2001-04-23,206.701
2001-04-24,204.503
2001-04-25,205.757
2001-04-26,207.327
2001-04-27,209.832
2001-04-30,210.386
2001-05-01,213.142
2001-05-02,215.715
2001-05-03,217.165
2001-05-04,213.961
2001-05-07,213.419
2001-05-08,212.073
2001-05-09,213.527
2001-05-10,216.629
2001-05-11,214.8
2001-05-14,213.207
2001-05-15,212.985
2001-05-16,214.9
2001-05-17,218.811
2001-05-18,218.763
2001-05-21,220.187
2001-05-22,220.616
2001-05-23,217.393
2001-05-24,218.27
2001-05-25,217.457
2001-05-28,216.716
2001-05-29,216.371
2001-05-30,212.977
2001-05-31,208.602
2001-06-01,208.246
2001-06-04,207.713
2001-06-05,212.791
2001-06-06,217.258
2001-06-07,219.086
2001-06-08,216.955
2001-06-11,214.76
2001-06-12,216.58
2001-06-13,219.859
2001-06-14,216.114
2001-06-15,215.14
2001-06-18,214.231
2001-06-19,214.821
2001-06-20,209.279
2001-06-21,210.709
2001-06-22,211.736
2001-06-25,211.42
2001-06-26,213.442
2001-06-27,213.638
2001-06-28,212.714
2001-06-29,207.751
2001-07-02,210.144
2001-07-03,211.069
2001-07-04,211.599
2001-07-05,212.486
2001-07-06,210.994
2001-07-09,211.816
2001-07-10,214.7
2001-07-11,214.428
2001-07-12,213.394
2001-07-13,215.528
2001-07-16,215.313
2001-07-17,214.059
2001-07-18,216.389
2001-07-19,219.261
2001-07-20,217.278
2001-07-23,218.552
2001-07-24,220.221
2001-07-25,221.589
2001-07-26,223.903
2001-07-27,223.181
2001-07-30,223.697
2001-07-31,223.473
2001-08-01,223.49
2001-08-02,223.364
2001-08-03,222.901
2001-08-06,220.076
2001-08-07,220.107
2001-08-08,221.364
2001-08-09,224.482
2001-08-10,225.464
2001-08-13,225.666
2001-08-14,225.485
2001-08-15,228.045
2001-08-16,229.227
2001-08-17,232.371
2001-08-20,228.232
2001-08-21,228.456
2001-08-22,230.844
2001-08-23,230.292
2001-08-24,232.719
2001-08-27,234.181
2001-08-28,233.178
2001-08-29,235.607
2001-08-30,233.031
2001-08-31,229.091
2001-09-03,226.793
2001-09-04,224.657
2001-09-05,225.029
2001-09-06,223.995
2001-09-07,221.53
2001-09-10,215.823
2001-09-11,217.515
2001-09-12,203.524
2001-09-13,204.128
2001-09-14,197.484
2001-09-17,177.99
2001-09-18,182.873
2001-09-19,183.363
2001-09-20,181.903
2001-09-21,176.222
2001-09-24,172.582
2001-09-25,178.941
2001-09-26,181.232
2001-09-27,181.664
2001-09-28,188.469
2001-10-01,187.42
2001-10-02,191.87
2001-10-03,196.15
2001-10-04,195.698
2001-10-05,197.329
2001-10-08,195.591
2001-10-09,194.461
2001-10-10,195.091
2001-10-11,196.264
2001-10-12,199.055
2001-10-15,202.45
2001-10-16,204.121
2001-10-17,204.984
2001-10-18,201.21
2001-10-19,198.064
2001-10-22,198.254
2001-10-23,201.474
2001-10-24,202.025
2001-10-25,202.207
2001-10-26,200.832
2001-10-29,201.362
2001-10-30,201.44
2001-10-31,200.365
2001-11-01,201.95
2001-11-02,203.032
2001-11-05,204.778
2001-11-06,207.191
2001-11-07,205.224
2001-11-08,202.275
2001-11-09,202.162
2001-11-12,203.476
2001-11-13,205.827
2001-11-14,208.286
2001-11-15,205.361
2001-11-16,208.028
2001-11-19,207.813
2001-11-20,211.052
2001-11-21,207.189
2001-11-22,204.922
2001-11-23,204.252
2001-11-26,206.469
2001-11-27,211.385
2001-11-28,212.996
2001-11-29,212.702
2001-11-30,211.927
2001-12-03,205.976
2001-12-04,203.986
2001-12-05,209.438
2001-12-06,213.425
2001-12-07,213.026
2001-12-10,211.234
2001-12-11,211.96
2001-12-12,214.088
2001-12-13,213.978
2001-12-14,210.749
2001-12-17,211.051
2001-12-18,208.859
2001-12-19,209.57
2001-12-20,206.003
2001-12-21,207.748
2001-12-24,208.667
2001-12-25,208.667
2001-12-26,208.818
2001-12-27,209.792
2001-12-28,210.583
2001-12-31,213.094
2002-01-01,213.094
2002-01-02,215.244
2002-01-03,218.859
2002-01-04,221.629
2002-01-07,223.016
2002-01-08,223.396
2002-01-09,221.596
2002-01-10,222.51
2002-01-11,221.507
2002-01-14,219.576
2002-01-15,220.878
2002-01-16,218.506
2002-01-17,217.517
2002-01-18,219.348
2002-01-21,220.941
2002-01-22,224.762
2002-01-23,225.274
2002-01-24,224.129
2002-01-25,225.316
2002-01-28,223.128
2002-01-29,225.08
2002-01-30,219.412
2002-01-31,220.711
2002-02-01,221.267
2002-02-04,221.947
2002-02-05,221.367
2002-02-06,221.553
2002-02-07,220.362
2002-02-08,221.012
2002-02-11,222.281
2002-02-12,221.064
2002-02-13,220.891
2002-02-14,222.177
2002-02-15,221.789
2002-02-18,222.09
2002-02-19,223.195
2002-02-20,224.047
2002-02-21,222.552
2002-02-22,225.818
2002-02-25,224.224
2002-02-26,224.97
2002-02-27,225.665
2002-02-28,226.965
2002-03-01,227.856
2002-03-04,228.551
2002-03-05,229.097
2002-03-06,229.015
2002-03-07,232.394
2002-03-08,230.308
2002-03-11,230.54
2002-03-12,232.224
2002-03-13,230.117
2002-03-14,229.586
2002-03-15,233.302
2002-03-18,232.234
2002-03-19,230.871
2002-03-20,237.345
2002-03-21,235.631
2002-03-22,235.713
2002-03-25,234.598
2002-03-26,233.231
2002-03-27,232.261
2002-03-28,235.628
2002-03-29,235.628
2002-04-01,236.699
2002-04-02,236.937
2002-04-03,232.91
2002-04-04,232.65
2002-04-05,232.355
2002-04-08,229.042
2002-04-09,230.085
2002-04-10,231.002
2002-04-11,234.219
2002-04-12,233.338
2002-04-15,233.09
2002-04-16,231.7
2002-04-17,235.371
2002-04-18,236.575
2002-04-19,235.635
2002-04-22,235.803
2002-04-23,236.269
2002-04-24,235.876
2002-04-25,237.828
2002-04-26,236.677
2002-04-29,236.616
2002-04-30,236.094
2002-05-01,239.898
2002-05-02,237.986
2002-05-03,239.477
2002-05-06,237.689
2002-05-07,237.944
2002-05-08,238.719
2002-05-09,236.955
2002-05-10,239.654
2002-05-13,239.959
2002-05-14,240.151
2002-05-15,245.803
2002-05-16,247.117
2002-05-17,250.815
2002-05-20,251.895
2002-05-21,251.36
2002-05-22,254.142
2002-05-23,257.725
2002-05-24,258.307
2002-05-27,260.102
2002-05-28,263.551
2002-05-29,267.525
2002-05-30,270.335
2002-05-31,268.754
2002-06-03,272.569
2002-06-04,275.908
2002-06-05,271.251
2002-06-06,275.058
2002-06-07,275.757
2002-06-10,275.271
2002-06-11,275.128
2002-06-12,274.827
2002-06-13,275.127
2002-06-14,271.81
2002-06-17,273.562
2002-06-18,277.747
2002-06-19,277.744
2002-06-20,278.053
2002-06-21,277.779
2002-06-24,272.151
2002-06-25,268.792
2002-06-26,261.653
2002-06-27,264.889
2002-06-28,262.941
2002-07-01,263.25
2002-07-02,264.647
2002-07-03,263.699
2002-07-04,259.26
2002-07-05,262.972
2002-07-08,268.34
2002-07-09,267.771
2002-07-10,268.215
2002-07-11,259.703
2002-07-12,263.241
2002-07-15,260.831
2002-07-16,261.437
2002-07-17,256.524
2002-07-18,259.412
2002-07-19,262.012
2002-07-22,253.046
2002-07-23,249.892
2002-07-24,238.675
2002-07-25,241.593
2002-07-26,235.825
2002-07-29,242.084
2002-07-30,246.25
2002-07-31,242.399
2002-08-01,240.933
2002-08-02,239.15
2002-08-05,239.745
2002-08-06,234.282
2002-08-07,239.022
2002-08-08,240.545
2002-08-09,244.58
2002-08-12,247.73
2002-08-13,247.044
2002-08-14,246.465
2002-08-15,248.036
2002-08-16,248.115
2002-08-19,249.153
2002-08-20,249.558
2002-08-21,246.718
2002-08-22,249.426
2002-08-23,250.28
2002-08-26,250.531
2002-08-27,253.342
2002-08-28,253.416
2002-08-29,252.768
2002-08-30,252.569
2002-09-02,255.058
2002-09-03,256.744
2002-09-04,252.411
2002-09-05,251.606
2002-09-06,250.147
2002-09-09,249.502
2002-09-10,249.742
2002-09-11,252.395
2002-09-12,256.444
2002-09-13,254.459
2002-09-16,252.179
2002-09-17,252.656
2002-09-18,251.651
2002-09-19,252.733
2002-09-20,250.419
2002-09-23,247.973
2002-09-24,246.39
2002-09-25,245.538
2002-09-26,248.588
2002-09-27,247.701
2002-09-30,249.472
2002-10-01,250.609
2002-10-02,254.344
2002-10-03,254.75
2002-10-04,253.481
2002-10-07,256.351
2002-10-08,256.066
2002-10-09,257.462
2002-10-10,254.306
2002-10-11,257.573
2002-10-14,258.702
2002-10-15,258.182
2002-10-16,257.049
2002-10-17,258.106
2002-10-18,260.499
2002-10-21,262.854
2002-10-22,266.339
2002-10-23,267.155
2002-10-24,265.36
2002-10-25,264.707
2002-10-28,265.904
2002-10-29,263.261
2002-10-30,262.73
2002-10-31,266.402
2002-11-01,271.803
2002-11-04,272.601
2002-11-05,260.126
2002-11-06,263.788
