Date,NEW ZEALAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,228.227
2001-01-02,227.866
2001-01-03,229.085
2001-01-04,231.043
2001-01-05,236.38
2001-01-08,235.528
2001-01-09,233.361
2001-01-10,230.557
2001-01-11,232.89
2001-01-12,231.845
2001-01-15,230.985
2001-01-16,231.732
2001-01-17,232.863
2001-01-18,234.734
2001-01-19,237.314
2001-01-22,239.177
2001-01-23,236.923
2001-01-24,230.9
2001-01-25,226.813
2001-01-26,227.59
2001-01-29,226.606
2001-01-30,228.884
2001-01-31,232.268
2001-02-01,237.896
2001-02-02,235.824
2001-02-05,234.674
2001-02-06,234.701
2001-02-07,238.521
2001-02-08,235.562
2001-02-09,236.465
2001-02-12,238.98
2001-02-13,236.531
2001-02-14,229.378
2001-02-15,229.002
2001-02-16,233.094
2001-02-19,234.298
2001-02-20,234.988
2001-02-21,234.876
2001-02-22,235.205
2001-02-23,236.28
2001-02-26,235.543
2001-02-27,237.551
2001-02-28,232.622
2001-03-01,236.503
2001-03-02,239.548
2001-03-05,239.056
2001-03-06,240.992
2001-03-07,241.269
2001-03-08,239.414
2001-03-09,236.881
2001-03-12,236.403
2001-03-13,231.763
2001-03-14,232.582
2001-03-15,230.55
2001-03-16,230.968
2001-03-19,234.69
2001-03-20,238.966
2001-03-21,235.017
2001-03-22,226.648
2001-03-23,232.648
2001-03-26,229.178
2001-03-27,226.551
2001-03-28,221.773
2001-03-29,218.045
2001-03-30,217.485
2001-04-02,217.724
2001-04-03,219.705
2001-04-04,219.298
2001-04-05,219.64
2001-04-06,220.039
2001-04-09,219.907
2001-04-10,219.486
2001-04-11,219.644
2001-04-12,221.425
2001-04-13,221.425
2001-04-16,221.86
2001-04-17,216.785
2001-04-18,216.251
2001-04-19,224.114
2001-04-20,228.279
2001-04-23,223.42
2001-04-24,221.045
2001-04-25,222.4
2001-04-26,224.097
2001-04-27,226.805
2001-04-30,227.403
2001-05-01,230.382
2001-05-02,233.164
2001-05-03,234.731
2001-05-04,231.267
2001-05-07,230.442
2001-05-08,228.988
2001-05-09,230.559
2001-05-10,233.908
2001-05-11,231.934
2001-05-14,230.213
2001-05-15,229.974
2001-05-16,232.041
2001-05-17,236.264
2001-05-18,236.213
2001-05-21,237.575
2001-05-22,238.038
2001-05-23,234.561
2001-05-24,235.507
2001-05-25,234.63
2001-05-28,233.831
2001-05-29,233.458
2001-05-30,229.796
2001-05-31,225.075
2001-06-01,224.691
2001-06-04,224.116
2001-06-05,229.595
2001-06-06,234.415
2001-06-07,236.388
2001-06-08,234.088
2001-06-11,231.719
2001-06-12,233.683
2001-06-13,237.221
2001-06-14,233.181
2001-06-15,232.13
2001-06-18,231.149
2001-06-19,231.785
2001-06-20,225.806
2001-06-21,227.349
2001-06-22,228.457
2001-06-25,228.009
2001-06-26,230.189
2001-06-27,230.401
2001-06-28,229.404
2001-06-29,224.052
2001-07-02,226.632
2001-07-03,227.63
2001-07-04,228.201
2001-07-05,229.157
2001-07-06,227.549
2001-07-09,228.436
2001-07-10,231.546
2001-07-11,231.252
2001-07-12,230.137
2001-07-13,232.439
2001-07-16,232.103
2001-07-17,230.751
2001-07-18,233.263
2001-07-19,236.359
2001-07-20,234.221
2001-07-23,235.595
2001-07-24,237.393
2001-07-25,238.869
